index	start	end	alignment-start	alignment-end
1	00:01:44.320	00:01:47.610	0	75
2	00:01:47.620	00:01:51.340	76	143
3	00:01:51.350	00:01:55.670	144	208
4	00:01:55.680	00:01:58.810	209	260
5	00:01:58.820	00:02:01.460	261	306
6	00:02:01.470	00:02:05.080	307	364
7	00:02:05.090	00:02:08.390	365	415
8	00:02:08.400	00:02:50.630	416	510
9	00:02:50.640	00:02:54.820	511	581
10	00:02:54.830	00:02:59.370	582	659
11	00:02:59.380	00:03:04.230	660	736
12	00:03:04.240	00:03:07.090	737	789
13	00:03:07.100	00:03:11.260	790	850
14	00:03:11.270	00:03:15.400	851	929
15	00:03:15.410	00:03:18.800	930	987
16	00:03:18.810	00:03:23.020	988	1052
17	00:03:23.030	00:03:26.480	1053	1109
18	00:03:26.490	00:03:29.890	1110	1170
19	00:03:29.900	00:03:35.470	1171	1228
20	00:03:35.480	00:03:40.020	1229	1290
21	00:03:40.030	00:03:46.330	1291	1375
22	00:03:46.340	00:03:49.220	1376	1426
23	00:03:49.230	00:03:54.540	1427	1488
24	00:03:54.550	00:03:58.280	1489	1553
25	00:03:58.290	00:04:04.060	1554	1602
26	00:04:04.070	00:04:08.100	1603	1649
27	00:04:08.110	00:04:12.600	1650	1722
28	00:04:12.610	00:04:16.360	1723	1779
29	00:04:16.370	00:04:19.510	1780	1842
30	00:04:19.520	00:04:22.570	1843	1898
31	00:04:22.580	00:04:27.480	1899	1976
32	00:04:27.490	00:04:29.960	1977	2026
33	00:04:29.970	00:04:33.630	2027	2092
34	00:04:33.640	00:04:38.380	2093	2166
35	00:04:38.390	00:04:41.690	2167	2220
36	00:04:41.700	00:04:45.240	2221	2283
37	00:04:45.250	00:04:49.780	2284	2361
38	00:04:49.790	00:04:54.440	2362	2428
39	00:04:54.450	00:04:57.970	2429	2489
40	00:04:57.980	00:05:04.200	2490	2569
41	00:05:04.210	00:05:10.250	2570	2621
42	00:05:10.260	00:05:15.170	2622	2686
43	00:05:15.180	00:05:19.810	2687	2741
44	00:05:19.820	00:05:25.500	2742	2798
45	00:05:25.510	00:05:27.750	2799	2858
46	00:05:27.760	00:05:33.000	2859	2916
47	00:05:33.010	00:05:37.290	2917	2976
48	00:05:37.300	00:05:42.620	2977	3053
49	00:05:42.630	00:05:45.840	3054	3103
50	00:05:45.850	00:05:49.260	3104	3160
51	00:05:49.270	00:05:53.750	3161	3232
52	00:05:53.760	00:05:57.490	3233	3291
53	00:05:57.500	00:06:00.710	3292	3360
54	00:06:00.720	00:06:03.700	3361	3414
55	00:06:03.710	00:06:07.330	3415	3474
56	00:06:07.340	00:06:11.900	3475	3549
57	00:06:11.910	00:06:14.910	3550	3605
58	00:06:14.920	00:06:19.080	3606	3670
59	00:06:19.090	00:06:22.720	3671	3729
60	00:06:22.730	00:06:26.810	3730	3796
61	00:06:26.820	00:06:30.820	3797	3861
62	00:06:30.830	00:06:33.490	3862	3910
63	00:06:33.500	00:06:37.840	3911	3983
64	00:06:37.850	00:06:41.900	3984	4053
65	00:06:41.910	00:06:46.140	4054	4117
66	00:06:46.150	00:06:49.100	4118	4177
67	00:06:49.110	00:06:52.490	4178	4232
68	00:06:52.500	00:06:56.390	4233	4298
69	00:06:56.400	00:07:00.340	4299	4360
70	00:07:00.350	00:07:05.100	4361	4441
71	00:07:05.110	00:07:09.550	4442	4511
72	00:07:09.560	00:07:13.090	4512	4567
73	00:07:13.100	00:07:15.740	4568	4613
74	00:07:15.750	00:07:19.400	4614	4674
75	00:07:19.410	00:07:22.360	4675	4733
76	00:07:22.370	00:07:26.270	4734	4793
77	00:07:26.280	00:07:30.820	4794	4861
78	00:07:30.830	00:07:34.720	4862	4924
79	00:07:34.730	00:07:38.990	4925	4991
80	00:07:39.000	00:07:42.470	4992	5046
81	00:07:42.480	00:07:45.660	5047	5104
82	00:07:45.670	00:07:49.280	5105	5158
83	00:07:49.290	00:08:01.480	5159	5249
84	00:08:01.490	00:08:04.970	5250	5321
85	00:08:04.980	00:08:07.850	5322	5375
86	00:08:07.860	00:08:11.830	5376	5430
87	00:08:11.840	00:08:15.230	5431	5492
88	00:08:15.240	00:08:19.990	5493	5570
89	00:08:20.000	00:08:21.960	5571	5617
90	00:08:21.970	00:08:26.310	5618	5718
91	00:08:26.320	00:08:32.050	5719	5790
92	00:08:32.060	00:08:35.920	5791	5866
93	00:08:35.930	00:08:39.680	5867	5927
94	00:08:39.690	00:08:43.750	5928	5984
95	00:08:43.760	00:08:48.020	5985	6029
96	00:08:48.030	00:08:52.180	6030	6084
97	00:08:52.190	00:08:56.860	6085	6146
98	00:08:56.870	00:09:00.300	6147	6206
99	00:09:00.310	00:09:03.520	6207	6262
100	00:09:03.530	00:09:06.170	6263	6316
101	00:09:06.180	00:09:08.900	6317	6378
102	00:09:08.910	00:09:12.280	6379	6440
103	00:09:12.290	00:09:16.940	6441	6494
104	00:09:16.950	00:09:19.800	6495	6543
105	00:09:19.810	00:09:23.380	6544	6587
106	00:09:23.390	00:09:27.810	6588	6654
107	00:09:27.820	00:09:30.240	6655	6700
108	00:09:30.250	00:09:36.670	6701	6787
109	00:09:36.680	00:09:41.110	6788	6849
110	00:09:41.120	00:09:45.020	6850	6909
111	00:09:45.030	00:09:48.050	6910	6989
112	00:09:48.060	00:09:53.000	6990	7072
113	00:09:53.010	00:09:55.710	7073	7135
114	00:09:55.720	00:09:59.940	7136	7186
115	00:09:59.950	00:10:02.740	7187	7237
116	00:10:02.750	00:10:06.490	7238	7293
117	00:10:06.500	00:10:10.320	7294	7362
118	00:10:10.330	00:10:13.870	7363	7426
119	00:10:13.880	00:10:15.680	7427	7477
120	00:10:15.690	00:10:17.800	7478	7525
121	00:10:17.810	00:10:21.230	7526	7584
122	00:10:21.240	00:10:26.060	7585	7637
123	00:10:26.070	00:10:28.960	7638	7685
124	00:10:28.970	00:10:33.820	7686	7757
125	00:10:33.830	00:10:35.970	7758	7801
126	00:10:35.980	00:10:37.050	7802	7838
127	00:10:37.060	00:10:40.600	7839	7894
128	00:10:40.610	00:10:43.800	7895	7944
129	00:10:43.810	00:10:46.950	7945	7998
130	00:10:46.960	00:10:50.560	7999	8066
131	00:10:50.570	00:10:55.240	8067	8125
132	00:10:55.250	00:10:59.090	8126	8177
133	00:10:59.100	00:11:02.250	8178	8220
134	00:11:02.260	00:11:05.650	8221	8275
135	00:11:05.660	00:11:09.550	8276	8339
136	00:11:09.560	00:11:13.510	8340	8396
137	00:11:13.520	00:11:17.880	8397	8445
138	00:11:17.890	00:11:20.500	8446	8492
139	00:11:20.510	00:11:23.020	8493	8547
140	00:11:23.030	00:11:26.030	8548	8604
141	00:11:26.040	00:11:29.020	8605	8655
142	00:11:29.030	00:11:31.570	8656	8749
143	00:11:31.580	00:11:33.810	8750	8800
144	00:11:33.820	00:11:44.710	8801	8891
145	00:11:44.720	00:11:48.120	8892	8961
146	00:11:48.130	00:11:50.930	8962	9017
147	00:11:50.940	00:11:53.110	9018	9068
148	00:11:53.120	00:11:56.660	9069	9132
149	00:11:56.670	00:11:59.250	9133	9178
150	00:11:59.260	00:12:01.210	9179	9227
151	00:12:01.220	00:12:03.920	9228	9280
152	00:12:03.930	00:12:06.610	9281	9333
153	00:12:06.620	00:12:09.660	9334	9392
154	00:12:09.670	00:12:12.910	9393	9440
155	00:12:12.920	00:12:15.910	9441	9483
156	00:12:15.920	00:12:18.950	9484	9548
157	00:12:18.960	00:12:21.920	9549	9603
158	00:12:21.930	00:12:26.500	9604	9656
159	00:12:26.510	00:12:29.560	9657	9704
160	00:12:29.570	00:12:33.080	9705	9756
161	00:12:33.090	00:12:37.510	9757	9810
162	00:12:37.520	00:12:40.140	9811	9866
163	00:12:40.150	00:12:43.220	9867	9915
164	00:12:43.230	00:12:45.620	9916	9959
165	00:12:45.630	00:12:49.930	9960	10053
