start	end	alignment-start	alignment-end
00:01:53.210	00:01:55.870	2	75
00:01:55.880	00:01:59.380	76	140
00:01:59.390	00:02:03.130	141	213
00:02:03.140	00:02:07.190	214	269
00:02:07.200	00:02:49.050	270	372
00:02:49.060	00:02:51.960	373	433
00:02:51.970	00:02:55.610	434	497
00:02:55.620	00:02:58.750	498	548
00:02:58.760	00:03:01.670	549	595
00:03:01.680	00:03:05.220	596	651
00:03:05.230	00:03:08.730	652	710
00:03:08.740	00:03:13.380	711	777
00:03:13.390	00:03:16.210	778	841
00:03:16.220	00:03:20.970	842	903
00:03:20.980	00:03:25.150	904	968
00:03:25.160	00:03:29.060	969	1069
00:03:29.070	00:03:33.330	1070	1129
00:03:33.340	00:03:39.070	1130	1185
00:03:39.080	00:03:45.620	1186	1249
00:03:45.630	00:03:52.910	1250	1312
00:03:52.920	00:04:01.160	1313	1377
00:04:01.170	00:04:05.040	1378	1446
00:04:05.050	00:04:08.290	1447	1513
00:04:08.300	00:04:12.720	1514	1588
00:04:12.730	00:04:17.170	1589	1681
00:04:17.180	00:04:19.720	1682	1732
00:04:19.730	00:04:23.890	1733	1803
00:04:23.900	00:04:27.540	1804	1861
00:04:27.550	00:04:31.230	1862	1924
00:04:31.240	00:04:35.280	1925	2009
00:04:35.290	00:04:39.460	2010	2074
00:04:39.470	00:04:43.720	2075	2151
00:04:43.730	00:04:48.380	2152	2229
00:04:48.390	00:04:51.660	2230	2290
00:04:51.670	00:04:56.990	2291	2364
00:04:57.000	00:05:00.010	2365	2418
00:05:00.020	00:05:05.030	2419	2482
00:05:05.040	00:05:08.320	2483	2538
00:05:08.330	00:05:11.380	2539	2595
00:05:11.390	00:05:14.440	2596	2646
00:05:14.450	00:05:18.030	2647	2701
00:05:18.040	00:05:21.790	2702	2774
00:05:21.800	00:05:24.480	2775	2830
00:05:24.490	00:05:28.560	2831	2893
00:05:28.570	00:05:33.090	2894	2979
00:05:33.100	00:05:37.480	2980	3068
00:05:37.490	00:05:40.260	3069	3123
00:05:40.270	00:05:43.320	3124	3193
00:05:43.330	00:05:46.410	3194	3256
00:05:46.420	00:05:49.020	3257	3314
00:05:49.030	00:05:54.370	3315	3397
00:05:54.380	00:05:57.180	3398	3453
00:05:57.190	00:06:01.530	3454	3512
00:06:01.540	00:06:04.220	3513	3568
00:06:04.230	00:06:08.950	3569	3634
00:06:08.960	00:06:11.560	3635	3691
00:06:11.570	00:06:15.400	3692	3758
00:06:15.410	00:06:19.420	3759	3834
00:06:19.430	00:06:23.580	3835	3884
00:06:23.590	00:06:25.760	3885	3934
00:06:25.770	00:06:29.850	3935	4016
00:06:29.860	00:06:33.800	4017	4088
00:06:33.810	00:06:38.130	4089	4199
00:06:38.140	00:06:41.310	4200	4255
00:06:41.320	00:06:43.640	4256	4305
00:06:43.650	00:06:45.510	4306	4349
00:06:45.520	00:06:48.860	4350	4394
00:06:48.870	00:06:51.610	4395	4444
00:06:51.620	00:06:55.320	4445	4497
00:06:55.330	00:06:59.070	4498	4595
00:06:59.080	00:07:02.700	4596	4653
00:07:02.710	00:07:05.860	4654	4703
00:07:05.870	00:07:09.690	4704	4762
00:07:09.700	00:07:16.260	4763	4832
00:07:16.270	00:07:18.510	4833	4887
00:07:18.520	00:07:23.440	4888	4957
00:07:23.450	00:07:26.490	4958	5008
00:07:26.500	00:07:29.860	5009	5082
00:07:29.870	00:07:32.770	5083	5136
00:07:32.780	00:07:35.850	5137	5191
00:07:35.860	00:07:38.520	5192	5247
00:07:38.530	00:07:41.920	5248	5303
00:07:41.930	00:07:47.290	5304	5366
00:07:47.300	00:07:49.290	5367	5424
00:07:49.300	00:07:53.610	5425	5507
00:07:53.620	00:07:57.590	5508	5579
00:07:57.600	00:08:00.820	5580	5637
00:08:00.830	00:08:03.710	5638	5696
00:08:03.720	00:08:08.250	5697	5756
00:08:08.260	00:08:10.920	5757	5812
00:08:10.930	00:08:15.170	5813	5933
00:08:15.180	00:08:20.170	5934	5997
00:08:20.180	00:08:23.330	5998	6042
00:08:23.340	00:08:27.470	6043	6104
00:08:27.480	00:08:32.380	6105	6150
00:08:32.390	00:08:37.470	6151	6209
00:08:37.480	00:08:40.890	6210	6260
00:08:40.900	00:08:45.720	6261	6303
00:08:45.730	00:08:50.010	6304	6349
00:08:50.020	00:08:54.430	6350	6402
00:08:54.440	00:08:57.000	6403	6452
00:08:57.010	00:09:01.730	6453	6531
00:09:01.740	00:09:07.000	6532	6614
00:09:07.010	00:09:09.440	6615	6671
00:09:09.450	00:09:13.680	6672	6737
00:09:13.690	00:09:16.660	6738	6795
00:09:16.670	00:09:20.200	6796	6853
00:09:20.210	00:09:22.790	6854	6903
00:09:22.800	00:09:27.480	6904	6978
00:09:27.490	00:09:30.910	6979	7038
00:09:30.920	00:09:34.810	7039	7104
00:09:34.820	00:09:37.220	7105	7169
00:09:37.230	00:09:40.190	7170	7222
00:09:40.200	00:09:43.800	7223	7282
00:09:43.810	00:09:46.790	7283	7344
00:09:46.800	00:09:49.440	7345	7397
00:09:49.450	00:09:52.660	7398	7454
00:09:52.670	00:09:56.990	7455	7530
00:09:57.000	00:10:00.650	7531	7594
00:10:00.660	00:10:04.350	7595	7652
00:10:04.360	00:10:08.350	7653	7716
00:10:08.360	00:10:11.800	7717	7779
00:10:11.810	00:10:14.560	7780	7829
00:10:14.570	00:10:18.770	7830	7883
