index	start	end	alignment-start	alignment-end
1	00:01:45.710	00:01:49.160	0	89
2	00:01:49.170	00:01:52.880	90	150
3	00:01:52.890	00:01:57.270	151	246
4	00:01:57.280	00:01:59.840	247	295
5	00:01:59.850	00:02:04.290	296	354
6	00:02:04.300	00:02:06.690	355	404
7	00:02:06.700	00:02:09.400	405	454
8	00:02:09.410	00:02:13.180	455	517
9	00:02:13.190	00:02:17.180	518	600
10	00:02:17.190	00:02:19.990	601	659
11	00:02:20.000	00:02:23.660	660	721
12	00:02:23.670	00:02:28.170	722	792
13	00:02:28.180	00:02:32.340	793	857
14	00:02:32.350	00:02:35.690	858	920
15	00:02:35.700	00:02:41.520	921	1004
16	00:02:41.530	00:02:44.160	1005	1063
17	00:02:44.170	00:03:05.270	1064	1131
18	00:03:05.280	00:03:08.500	1132	1187
19	00:03:08.510	00:03:13.010	1188	1259
20	00:03:13.020	00:03:15.740	1260	1315
21	00:03:15.750	00:03:18.310	1316	1374
22	00:03:18.320	00:03:21.840	1375	1437
23	00:03:21.850	00:03:24.480	1438	1486
24	00:03:24.490	00:03:31.010	1487	1593
25	00:03:31.020	00:03:35.600	1594	1649
26	00:03:35.610	00:03:40.270	1650	1703
27	00:03:40.280	00:03:44.640	1704	1769
28	00:03:44.650	00:03:48.010	1770	1832
29	00:03:48.020	00:03:50.960	1833	1885
30	00:03:50.970	00:03:54.740	1886	1958
31	00:03:54.750	00:03:57.170	1959	2009
32	00:03:57.180	00:04:01.180	2010	2079
33	00:04:01.190	00:04:05.330	2080	2149
34	00:04:05.340	00:04:09.340	2150	2218
35	00:04:09.350	00:04:12.590	2219	2281
36	00:04:12.600	00:04:16.410	2282	2350
37	00:04:16.420	00:04:20.990	2351	2460
38	00:04:21.000	00:04:25.830	2461	2547
39	00:04:25.840	00:04:29.330	2548	2598
40	00:04:29.340	00:04:34.160	2599	2673
41	00:04:34.170	00:04:37.820	2674	2728
42	00:04:37.830	00:04:41.730	2729	2782
43	00:04:41.740	00:04:45.470	2783	2835
44	00:04:45.480	00:04:48.100	2836	2888
45	00:04:48.110	00:04:52.070	2889	2940
46	00:04:52.080	00:04:54.570	2941	2984
47	00:04:54.580	00:04:57.730	2985	3040
48	00:04:57.740	00:05:00.390	3041	3095
49	00:05:00.400	00:05:04.670	3096	3158
50	00:05:04.680	00:05:08.390	3159	3215
51	00:05:08.400	00:05:11.770	3216	3274
52	00:05:11.780	00:05:16.480	3275	3367
