index	start	end	alignment-start	alignment-end
1	00:02:43.920	00:02:47.690	0	82
2	00:02:47.700	00:02:50.710	83	144
3	00:02:50.720	00:02:54.050	145	200
4	00:02:54.060	00:02:56.750	201	258
5	00:02:56.760	00:02:59.840	259	317
6	00:02:59.850	00:03:03.330	318	378
7	00:03:03.340	00:03:08.780	379	462
8	00:03:08.790	00:03:11.420	463	526
9	00:03:11.430	00:03:14.500	527	583
10	00:03:14.510	00:03:18.020	584	647
11	00:03:18.030	00:03:21.310	648	712
12	00:03:21.320	00:03:23.910	713	764
13	00:03:23.920	00:03:28.180	765	834
14	00:03:28.190	00:03:30.720	835	893
15	00:03:30.730	00:03:34.080	894	950
16	00:03:34.090	00:03:37.720	951	1002
17	00:03:37.730	00:03:41.200	1003	1064
18	00:03:41.210	00:03:44.580	1065	1126
19	00:03:44.590	00:03:48.600	1127	1191
20	00:03:48.610	00:03:51.300	1192	1249
21	00:03:51.310	00:03:55.370	1250	1329
22	00:03:55.380	00:03:59.470	1330	1387
23	00:03:59.480	00:04:04.750	1388	1460
24	00:04:04.760	00:04:09.830	1461	1523
25	00:04:09.840	00:04:13.870	1524	1579
26	00:04:13.880	00:04:19.710	1580	1626
27	00:04:19.720	00:04:23.020	1627	1691
28	00:04:23.030	00:04:27.540	1692	1746
29	00:04:27.550	00:04:31.440	1747	1805
30	00:04:31.450	00:04:34.720	1806	1865
31	00:04:34.730	00:04:38.150	1866	1930
32	00:04:38.160	00:04:41.550	1931	1988
33	00:04:41.560	00:04:45.600	1989	2063
34	00:04:45.610	00:04:50.400	2064	2135
35	00:04:50.410	00:04:53.030	2136	2189
36	00:04:53.040	00:04:55.470	2190	2246
37	00:04:55.480	00:05:02.260	2247	2334
38	00:05:02.270	00:05:17.290	2335	2446
39	00:05:17.300	00:05:20.260	2447	2494
40	00:05:20.270	00:05:22.810	2495	2555
41	00:05:22.820	00:05:25.940	2556	2607
42	00:05:25.950	00:05:29.620	2608	2672
43	00:05:29.630	00:05:32.480	2673	2731
44	00:05:32.490	00:05:35.590	2732	2787
45	00:05:35.600	00:05:38.820	2788	2853
