start	end	alignment-start	alignment-end
00:01:39.150	00:01:42.530	0	82
00:01:42.540	00:01:46.780	83	152
00:01:46.790	00:01:51.060	153	223
00:01:51.070	00:01:55.390	224	290
00:01:55.400	00:01:58.450	291	344
00:01:58.460	00:02:02.570	345	398
00:02:02.580	00:02:05.450	399	454
00:02:05.460	00:02:09.360	455	529
00:02:09.370	00:02:12.780	530	592
00:02:12.790	00:02:16.730	592	656
00:02:16.740	00:02:20.510	657	713
00:02:20.520	00:02:24.000	714	768
00:02:24.010	00:02:27.640	769	831
00:02:27.650	00:02:31.160	832	887
00:02:31.170	00:02:34.750	888	943
00:02:34.760	00:03:05.410	944	1036
00:03:05.420	00:03:09.340	1037	1096
00:03:09.350	00:03:12.200	1097	1147
00:03:12.210	00:03:15.990	1148	1216
00:03:16.000	00:03:18.920	1217	1277
00:03:18.930	00:03:22.070	1278	1335
00:03:22.080	00:03:25.320	1336	1386
00:03:25.330	00:03:30.190	1387	1464
00:03:30.200	00:03:33.900	1465	1531
00:03:33.910	00:03:36.760	1532	1582
00:03:36.770	00:03:41.480	1583	1653
00:03:41.490	00:03:44.470	1654	1714
00:03:44.480	00:03:47.170	1715	1764
00:03:47.180	00:03:52.550	1765	1851
00:03:52.560	00:03:55.620	1852	1907
00:03:55.630	00:03:58.970	1908	1960
00:03:58.980	00:04:02.460	1961	2024
00:04:02.470	00:04:06.050	2025	2088
00:04:06.060	00:04:09.350	2089	2144
00:04:09.360	00:04:12.920	2145	2198
00:04:12.930	00:04:17.220	2199	2248
00:04:17.230	00:04:20.200	2249	2300
00:04:20.210	00:04:24.050	2301	2369
00:04:24.060	00:04:27.760	2370	2429
00:04:27.770	00:04:31.180	2430	2492
00:04:31.190	00:04:36.430	2493	2579
00:04:36.440	00:04:38.440	2580	2632
00:04:38.450	00:04:41.180	2633	2684
00:04:41.190	00:04:43.590	2685	2738
00:04:43.600	00:04:47.830	2739	2786
00:04:47.840	00:04:52.020	2787	2838
00:04:52.030	00:04:56.720	2839	2885
00:04:56.730	00:05:00.870	2886	2943
00:05:00.880	00:05:06.250	2944	3006
00:05:06.260	00:05:10.570	3007	3074
00:05:10.580	00:05:14.620	3075	3133
00:05:14.630	00:05:20.530	3134	3196
00:05:20.540	00:05:24.650	3197	3273
00:05:24.660	00:05:27.780	3274	3328
00:05:27.790	00:05:30.840	3329	3388
00:05:30.850	00:05:34.570	3389	3447
00:05:34.580	00:05:39.010	3448	3513
00:05:39.020	00:05:42.630	3514	3573
00:05:42.640	00:05:46.480	3574	3643
00:05:46.490	00:05:50.810	3644	3709
00:05:50.820	00:05:54.700	3710	3825
00:05:54.710	00:05:58.610	3826	3880
00:05:58.620	00:06:02.090	3881	3936
00:06:02.100	00:06:04.280	3937	3985
00:06:04.290	00:06:10.000	3986	4060
00:06:10.010	00:06:13.200	4061	4113
00:06:13.210	00:06:16.870	4114	4170
00:06:16.880	00:06:20.690	4171	4220
00:06:20.700	00:06:24.050	4221	4267
00:06:24.060	00:06:27.470	4268	4323
00:06:27.480	00:06:31.300	4324	4372
00:06:31.310	00:06:33.950	4373	4430
00:06:33.960	00:06:38.360	4431	4503
00:06:38.370	00:06:41.390	4504	4556
00:06:41.400	00:06:45.320	4557	4628
00:06:45.330	00:06:49.760	4629	4704
00:06:49.770	00:06:54.340	4705	4771
00:06:54.350	00:06:58.240	4772	4830
00:06:58.250	00:07:02.170	4831	4899
00:07:02.180	00:07:06.180	4900	4949
00:07:06.190	00:07:10.310	4950	5020
00:07:10.320	00:07:13.960	5021	5083
00:07:13.970	00:07:17.160	5084	5143
00:07:17.170	00:07:21.090	5144	5214
00:07:21.100	00:07:24.950	5215	5273
00:07:24.960	00:07:27.280	5274	5325
00:07:27.290	00:07:30.460	5326	5377
00:07:30.470	00:07:34.680	5378	5441
00:07:34.690	00:07:37.610	5442	5495
00:07:37.620	00:07:42.020	5496	5576
00:07:42.030	00:07:45.270	5577	5632
00:07:45.280	00:07:50.230	5633	5695
00:07:50.240	00:07:54.460	5696	5759
00:07:54.470	00:07:58.650	5760	5828
00:07:58.660	00:08:01.750	5829	5886
00:08:01.760	00:08:05.690	5887	5954
00:08:05.700	00:08:08.880	5955	6006
00:08:08.890	00:08:13.710	6007	6069
00:08:13.720	00:08:17.080	6070	6137
00:08:17.090	00:08:22.140	6138	6211
00:08:22.150	00:08:26.680	6212	6283
00:08:26.690	00:08:30.610	6284	6345
00:08:30.620	00:08:33.100	6346	6397
00:08:33.110	00:08:36.050	6398	6481
00:08:36.060	00:08:40.280	6482	6538
00:08:40.290	00:08:46.010	6539	6590
00:08:46.020	00:08:50.620	6591	6644
00:08:50.630	00:08:56.100	6645	6708
00:08:56.110	00:08:59.710	6709	6770
00:08:59.720	00:09:04.300	6771	6834
00:09:04.310	00:09:09.630	6835	6904
00:09:09.640	00:09:13.370	6905	6958
00:09:13.380	00:09:17.260	6959	7020
00:09:17.270	00:09:22.360	7021	7097
00:09:22.370	00:09:26.380	7098	7151
00:09:26.390	00:09:30.310	7152	7216
00:09:30.320	00:09:33.180	7217	7274
00:09:33.190	00:09:35.960	7275	7328
00:09:35.970	00:09:38.800	7329	7381
00:09:38.810	00:09:42.080	7382	7431
00:09:42.090	00:09:46.050	7432	7493
00:09:46.060	00:09:49.520	7494	7551
00:09:49.530	00:09:53.230	7552	7611
00:09:53.240	00:09:57.080	7612	7675
00:09:57.090	00:10:01.700	7676	7738
00:10:01.710	00:10:04.950	7739	7787
00:10:04.960	00:10:08.490	7788	7847
00:10:08.500	00:10:12.880	7848	7917
00:10:12.890	00:10:15.560	7918	7970
00:10:15.570	00:10:20.680	7971	8048
00:10:20.690	00:10:24.770	8049	8107
00:10:24.780	00:10:30.400	8108	8181
00:10:30.410	00:10:35.240	8182	8251
00:10:35.250	00:10:39.300	8252	8308
00:10:39.310	00:10:42.800	8309	8358
00:10:42.810	00:10:46.230	8359	8420
00:10:46.240	00:10:49.950	8421	8485
00:10:49.960	00:10:55.820	8486	8558
00:10:55.830	00:10:58.900	8559	8613
00:10:58.910	00:11:03.030	8614	8673
00:11:03.040	00:11:07.220	8674	8736
00:11:07.230	00:11:10.570	8737	8796
00:11:10.580	00:11:25.050	8797	8884
00:11:25.060	00:11:28.090	8885	8941
00:11:28.100	00:11:31.730	8942	9000
00:11:31.740	00:11:39.010	9001	9063
00:11:39.020	00:11:43.250	9064	9128
00:11:43.260	00:11:48.100	9129	9204
00:11:48.110	00:11:52.090	9205	9276
00:11:52.100	00:11:55.310	9277	9327
00:11:55.320	00:11:58.510	9328	9381
00:11:58.520	00:12:01.460	9382	9437
00:12:01.470	00:12:05.240	9438	9499
00:12:05.250	00:12:09.790	9500	9570
00:12:09.800	00:12:12.760	9571	9620
00:12:12.770	00:12:15.000	9621	9669
00:12:15.010	00:12:18.270	9670	9710
00:12:18.280	00:12:21.180	9711	9781
00:12:21.190	00:12:23.950	9782	9827
00:12:23.960	00:12:27.180	9828	9881
00:12:27.190	00:12:30.200	9882	9929
00:12:30.210	00:12:34.560	9930	10041
00:12:34.570	00:12:38.440	10042	10096
00:12:38.450	00:12:41.230	10097	10148
00:12:41.240	00:12:45.090	10149	10215
00:12:45.100	00:12:49.070	10216	10284
00:12:49.080	00:12:52.210	10285	10340
00:12:52.220	00:12:54.580	10341	10385
00:12:54.590	00:12:58.270	10386	10452
00:12:58.280	00:13:01.890	10453	10514
00:13:01.900	00:13:06.080	10515	10616
00:13:06.090	00:13:12.550	10617	10677
00:13:12.560	00:13:15.580	10678	10734
00:13:15.590	00:13:20.160	10735	10804
00:13:20.170	00:13:24.480	10805	10881
00:13:24.490	00:13:28.260	10882	10933
00:13:28.270	00:13:32.520	10934	11002
00:13:32.530	00:13:36.250	11003	11052
00:13:36.260	00:13:39.430	11053	11118
00:13:39.440	00:13:43.660	11119	11200
00:13:43.670	00:13:45.870	11201	11249
00:13:45.880	00:13:50.950	11250	11310
00:13:50.960	00:13:53.570	11311	11365
00:13:53.580	00:13:57.080	11366	11419
00:13:57.090	00:14:00.020	11420	11470
00:14:00.030	00:14:03.810	11471	11532
00:14:03.820	00:14:08.950	11533	11624
00:14:08.960	00:14:11.490	11625	11673
00:14:11.500	00:14:16.000	11674	11735
00:14:16.010	00:14:20.080	11736	11785
00:14:20.090	00:14:23.110	11786	11840
00:14:23.120	00:14:26.260	11841	11904
00:14:26.270	00:14:28.820	11905	11950
00:14:28.830	00:14:32.030	11951	12023
00:14:32.040	00:14:36.160	12024	12088
00:14:36.170	00:14:39.150	12089	12142
00:14:39.160	00:14:42.020	12143	12196
00:14:42.030	00:14:45.390	12197	12259
00:14:45.400	00:14:48.290	12260	12315
00:14:48.300	00:14:52.480	12316	12380
00:14:52.490	00:14:55.990	12381	12445
00:14:56.000	00:14:59.870	12446	12495
00:14:59.880	00:15:04.310	12496	12561
00:15:04.320	00:15:08.050	12562	12619
00:15:08.060	00:15:10.870	12620	12671
00:15:10.880	00:15:14.710	12672	12724
00:15:14.720	00:15:18.310	12725	12793
00:15:18.320	00:15:21.620	12794	12863
00:15:21.630	00:15:24.670	12864	12918
00:15:24.680	00:15:34.350	12919	12968
00:15:34.360	00:15:37.110	12969	13014
00:15:37.120	00:15:46.710	13015	13066
00:15:46.720	00:15:51.340	13067	13148
00:15:51.350	00:15:54.150	13149	13197
00:15:54.160	00:15:58.890	13198	13316
00:15:58.900	00:16:05.430	13317	13382
00:16:05.440	00:16:10.100	13383	13458
00:16:10.110	00:16:16.180	13459	13531
00:16:16.190	00:16:19.840	13532	13615
00:16:19.850	00:16:23.090	13616	13671
00:16:23.100	00:16:26.640	13672	13766
00:16:26.650	00:16:29.900	13767	13841
00:16:29.910	00:16:32.960	13842	13907
00:16:32.970	00:16:41.470	13908	13985
00:16:41.480	00:16:43.130	13986	14032
00:16:43.140	00:16:52.050	14033	14084
00:16:52.060	00:16:57.360	14085	14133
00:16:57.370	00:17:02.040	14134	14223
00:17:02.050	00:17:05.230	14224	14279
