index	start	end	alignment-start	alignment-end
1	00:02:15.940	00:02:19.580	0	75
2	00:02:19.590	00:02:23.640	76	146
3	00:02:23.650	00:02:27.680	147	211
4	00:02:27.690	00:02:30.720	212	277
5	00:02:30.730	00:02:33.070	278	327
6	00:02:33.080	00:02:36.290	328	399
7	00:02:36.300	00:02:40.100	400	460
8	00:02:40.110	00:02:44.180	461	520
9	00:02:44.190	00:02:47.050	521	571
10	00:02:47.060	00:02:51.040	572	629
11	00:02:51.050	00:02:54.500	630	686
12	00:02:54.510	00:03:29.710	687	773
13	00:03:29.720	00:03:34.040	774	842
14	00:03:34.050	00:03:36.750	843	897
15	00:03:36.760	00:03:41.030	898	955
16	00:03:41.040	00:03:45.100	956	1044
17	00:03:45.110	00:03:50.830	1045	1123
18	00:03:50.840	00:03:53.640	1124	1178
19	00:03:53.650	00:03:59.040	1179	1243
20	00:03:59.050	00:04:04.490	1244	1310
21	00:04:04.500	00:04:09.020	1311	1379
22	00:04:09.030	00:04:13.620	1380	1444
23	00:04:13.630	00:04:16.960	1445	1510
24	00:04:16.970	00:04:21.760	1511	1578
25	00:04:21.770	00:04:26.410	1579	1657
26	00:04:26.420	00:04:30.360	1658	1721
27	00:04:30.370	00:04:33.510	1722	1775
28	00:04:33.520	00:04:36.560	1776	1829
29	00:04:36.570	00:04:40.830	1830	1890
30	00:04:40.840	00:04:44.750	1891	1957
31	00:04:44.760	00:04:48.620	1958	2020
32	00:04:48.630	00:04:52.360	2021	2085
33	00:04:52.370	00:04:57.290	2086	2165
34	00:04:57.300	00:05:00.780	2166	2223
35	00:05:00.790	00:05:03.160	2224	2278
36	00:05:03.170	00:05:05.600	2279	2322
37	00:05:05.610	00:05:10.220	2323	2399
38	00:05:10.230	00:05:13.690	2400	2457
39	00:05:13.700	00:05:17.740	2458	2525
40	00:05:17.750	00:05:23.730	2526	2652
41	00:05:23.740	00:05:25.890	2653	2696
42	00:05:25.900	00:05:29.230	2697	2755
43	00:05:29.240	00:05:36.370	2756	2816
44	00:05:36.380	00:05:40.450	2817	2880
45	00:05:40.460	00:05:44.250	2881	2952
46	00:05:44.260	00:05:47.060	2953	3009
47	00:05:47.070	00:05:51.120	3010	3067
48	00:05:51.130	00:05:54.530	3068	3129
49	00:05:54.540	00:06:00.940	3130	3260
50	00:06:00.950	00:06:07.770	3261	3331
51	00:06:07.780	00:06:12.560	3332	3399
52	00:06:12.570	00:06:16.180	3400	3467
53	00:06:16.190	00:06:26.590	3468	3610
54	00:06:26.600	00:06:28.780	3611	3657
55	00:06:28.790	00:06:37.940	3658	3733
56	00:06:37.950	00:06:41.620	3734	3796
57	00:06:41.630	00:06:45.860	3797	3848
58	00:06:45.870	00:06:52.500	3849	3935
59	00:06:52.510	00:06:55.510	3936	3997
60	00:06:55.520	00:06:58.200	3998	4057
61	00:06:58.210	00:07:03.860	4058	4112
62	00:07:03.870	00:07:05.950	4113	4160
63	00:07:05.960	00:07:09.220	4161	4226
64	00:07:09.230	00:07:13.040	4227	4295
65	00:07:13.050	00:07:19.500	4296	4371
66	00:07:19.510	00:07:22.920	4372	4436
67	00:07:22.930	00:07:29.830	4437	4508
68	00:07:29.840	00:07:33.060	4509	4572
69	00:07:33.070	00:07:36.250	4573	4633
70	00:07:36.260	00:07:40.820	4634	4701
71	00:07:40.830	00:07:43.500	4702	4757
72	00:07:43.510	00:07:46.940	4758	4817
73	00:07:46.950	00:07:51.390	4818	4887
74	00:07:51.400	00:07:55.150	4888	4951
75	00:07:55.160	00:08:00.190	4952	5024
76	00:08:00.200	00:08:04.130	5025	5092
77	00:08:04.140	00:08:07.450	5093	5147
78	00:08:07.460	00:08:11.920	5148	5220
79	00:08:11.930	00:08:16.280	5221	5288
80	00:08:16.290	00:08:21.010	5289	5363
81	00:08:21.020	00:08:24.950	5364	5427
82	00:08:24.960	00:08:30.000	5428	5506
83	00:08:30.010	00:08:34.560	5507	5587
84	00:08:34.570	00:08:38.400	5588	5654
85	00:08:38.410	00:08:43.290	5655	5723
86	00:08:43.300	00:08:47.340	5724	5783
87	00:08:47.350	00:08:51.080	5784	5848
88	00:08:51.090	00:08:54.170	5849	5903
89	00:08:54.180	00:08:58.430	5904	5963
90	00:08:58.440	00:09:02.400	5964	6032
91	00:09:02.410	00:09:06.310	6033	6094
92	00:09:06.320	00:09:10.130	6095	6161
93	00:09:10.140	00:09:14.530	6162	6226
94	00:09:14.540	00:09:17.720	6227	6278
95	00:09:17.730	00:09:21.010	6279	6331
96	00:09:21.020	00:09:24.820	6332	6399
97	00:09:24.830	00:09:28.250	6400	6462
98	00:09:28.260	00:09:31.620	6463	6515
99	00:09:31.630	00:09:35.070	6516	6573
100	00:09:35.080	00:09:41.160	6574	6656
101	00:09:41.170	00:09:46.270	6657	6706
102	00:09:46.280	00:09:52.420	6707	6776
103	00:09:52.430	00:09:55.460	6777	6829
104	00:09:55.470	00:09:58.290	6830	6878
105	00:09:58.300	00:10:02.630	6879	6941
106	00:10:02.640	00:10:06.060	6942	7012
107	00:10:06.070	00:10:10.430	7013	7090
108	00:10:10.440	00:10:15.090	7091	7171
109	00:10:15.100	00:10:18.330	7172	7234
110	00:10:18.340	00:10:21.600	7235	7294
111	00:10:21.610	00:10:25.100	7295	7352
112	00:10:25.110	00:10:29.920	7353	7426
113	00:10:29.930	00:10:32.740	7427	7478
114	00:10:32.750	00:10:37.180	7479	7543
115	00:10:37.190	00:10:41.460	7544	7613
116	00:10:41.470	00:10:43.970	7614	7662
117	00:10:43.980	00:10:47.130	7663	7722
118	00:10:47.140	00:10:51.530	7723	7793
119	00:10:51.540	00:10:55.180	7794	7848
120	00:10:55.190	00:11:00.410	7849	7916
121	00:11:00.420	00:11:04.750	7917	7991
122	00:11:04.760	00:11:08.640	7992	8053
123	00:11:08.650	00:11:13.250	8054	8115
124	00:11:13.260	00:11:20.070	8116	8200
125	00:11:20.080	00:11:23.620	8201	8265
126	00:11:23.630	00:11:27.070	8266	8317
127	00:11:27.080	00:11:30.270	8318	8373
128	00:11:30.280	00:11:34.090	8374	8432
129	00:11:34.100	00:11:36.530	8433	8479
130	00:11:36.540	00:11:40.160	8480	8550
131	00:11:40.170	00:11:44.600	8551	8613
132	00:11:44.610	00:11:49.800	8614	8682
133	00:11:49.810	00:11:54.110	8683	8758
134	00:11:54.120	00:11:57.850	8759	8829
135	00:11:57.860	00:12:01.870	8830	8893
136	00:12:01.880	00:12:04.950	8894	8950
137	00:12:04.960	00:12:16.980	8951	9033
138	00:12:16.990	00:12:20.900	9034	9092
139	00:12:20.910	00:12:23.920	9093	9149
140	00:12:23.930	00:12:27.700	9150	9206
141	00:12:27.710	00:12:30.870	9207	9263
142	00:12:30.880	00:12:34.390	9264	9315
143	00:12:34.400	00:12:37.790	9316	9371
144	00:12:37.800	00:12:41.150	9372	9430
145	00:12:41.160	00:12:45.150	9431	9486
146	00:12:45.160	00:12:49.030	9487	9550
147	00:12:49.040	00:12:53.580	9551	9614
148	00:12:53.590	00:12:58.110	9615	9675
149	00:12:58.120	00:13:02.280	9676	9733
150	00:13:02.290	00:13:06.540	9734	9796
151	00:13:06.550	00:13:10.080	9797	9877
152	00:13:10.090	00:13:13.490	9878	9931
153	00:13:13.500	00:13:18.180	9932	10001
154	00:13:18.190	00:13:22.590	10002	10067
155	00:13:22.600	00:13:26.430	10068	10128
156	00:13:26.440	00:13:32.040	10129	10210
157	00:13:32.050	00:13:34.510	10211	10258
158	00:13:34.520	00:13:38.610	10259	10319
159	00:13:38.620	00:13:42.360	10320	10374
160	00:13:42.370	00:13:46.210	10375	10432
161	00:13:46.220	00:13:50.490	10433	10498
162	00:13:50.500	00:13:53.540	10499	10544
163	00:13:53.550	00:13:58.270	10545	10677
