index,start,end,text
1,00:03:53.777,00:03:59.027,"VOICE OF INTERPRETER\nDjoko Murjatmodjo\nACTING DIRECTOR GENERAL OF AIR TRANSPORTATION,\nINDONESIAN TRANSPORT MINISTRY"
2,00:09:24.527,00:09:28.777,FRIDAY\nHeather Abbott\nBOMBING SURVIVOR
3,00:10:08.027,00:10:18.277,BOSTON\nPhillip Martin\nWGBH-FM
4,00:12:10.527,00:12:21.777,BOSTON\nPhillip Martin\nWGBH-FM
5,00:13:24.027,00:13:31.277,BOSTON\nPhillip Martin\nWGBH-FM
6,00:15:13.277,00:15:17.277,Margaret Warner\n@margaretwarner
7,00:17:02.027,00:17:10.277,Margaret Warner\n@margaretwarner
8,00:20:58.027,00:21:02.777,David Boaz\nCATO INSTITUTE
9,00:21:32.527,00:21:38.527,Arkadi Gerney\nCENTER FOR AMERICAN PROGRESS
10,00:23:53.527,00:24:01.527,Arkadi Gerney\nCENTER FOR AMERICAN PROGRESS
11,00:24:27.527,00:24:34.527,David Boaz\nCATO INSTITUTE
12,00:25:17.777,00:25:24.777,Arkadi Gerney\nCENTER FOR AMERICAN PROGRESS
13,00:25:49.277,00:25:54.777,David Boaz\nCATO INSTITUTE
14,00:26:23.027,00:26:28.527,Arkadi Gerney\nCENTER FOR AMERICAN PROGRESS
15,00:27:00.027,00:27:03.777,David Boaz\nCATO INSTITUTE
16,00:29:32.027,00:29:40.777,VOICE OF INTERPRETER\nSteffen Seibert\nGERMAN GOVERNMENT SPOKESMAN
17,00:30:34.277,00:30:47.277,BOSTON\nKenneth Rogoff\nHARVARD UNIVERSITY
18,00:30:59.027,00:31:06.027,Jacob Kirkegaard\nPETERSON INSTITUTE FOR INTERNATIONAL ECONOMICS
19,00:34:24.277,00:34:33.277,BOSTON\nKenneth Rogoff\nHARVARD UNIVERSITY
20,00:35:28.027,00:35:35.027,Jacob Kirkegaard\nPETERSON INSTITUTE FOR INTERNATIONAL ECONOMICS
21,00:38:55.777,00:39:04.527,NEW YORK\nLeo Sheng\nTRANSGENDER MAN
22,00:39:43.527,00:39:49.027,"Mara Keisling\nEXECUTIVE DIRECTOR, NATIONAL CENTER FOR TRANSGENDER EQUALITY"
23,00:40:38.777,00:40:44.277,NEW YORK\nLeo Sheng\nTRANSGENDER MAN
24,00:41:12.277,00:41:20.527,"Mara Keisling\nEXECUTIVE DIRECTOR, NATIONAL CENTER FOR TRANSGENDER EQUALITY"
25,00:43:03.027,00:43:14.777,NEW YORK\nLeo Sheng\nTRANSGENDER MAN
26,00:43:40.277,00:43:47.027,"Mara Keisling\nEXECUTIVE DIRECTOR, NATIONAL CENTER FOR TRANSGENDER EQUALITY"
27,00:45:15.277,00:45:20.027,COURTESY: THE HISTORYMAKERS\nFormer Sen. Edward Brooke\n(R) MASSACHUSETTS
28,00:46:33.027,00:46:38.527,BOSTON\nAdrian Walker\nTHE BOSTON GLOBE
29,00:47:14.777,00:47:25.277,"GRAND RAPIDS, MICHIGAN\nRichard Norton Smith\nPRESIDENTIAL HISTORIAN"
30,00:48:00.777,00:48:08.527,BOSTON\nAdrian Walker\nTHE BOSTON GLOBE
31,00:49:12.777,00:49:24.777,"GRAND RAPIDS, MICHIGAN\nRichard Norton Smith\nPRESIDENTIAL HISTORIAN"
32,00:50:59.277,00:51:10.027,"GRAND RAPIDS, MICHIGAN\nRichard Norton Smith\nPRESIDENTIAL HISTORIAN"
