index,start,end,text-transcript
1,00:09:21.527,00:09:26.277,Donald Rumsfeld\nSecretary of Defense-designate
2,00:12:42.527,00:12:47.027,Gen. George Joulwan (Ret.)\nU.S. Army
3,00:13:45.277,00:13:48.527,John Isaacs\nCouncil for a Livable World
4,00:14:22.777,00:14:27.777,James Woolsey\nFormer CIA Director
5,00:15:06.777,00:15:11.027,James Woolsey\nFormer CIA Director
6,00:16:33.027,00:16:37.777,Gen. George Joulwan (Ret.)\nU.S. Army
7,00:17:41.277,00:17:45.527,John Isaacs\nCouncil for a Livable World
8,00:18:56.027,00:19:00.277,Gen. George Joulwan (Ret.)\nU.S. Army
9,00:19:18.277,00:19:22.527,James Woolsey\nFormer CIA Director
10,00:20:45.027,00:20:50.027,John Isaacs\nCouncil for a Livable World
11,00:21:37.777,00:21:40.527,James Woolsey\nFormer CIA Director
12,00:22:29.027,00:22:33.777,Gen. George Joulwan (Ret.)\nU.S. Army
13,00:23:04.027,00:23:07.277,John Isaacs\nCouncil for a Livable World
14,00:23:41.527,00:23:45.777,James Woolsey\nFormer CIA Director
15,00:24:48.277,00:24:52.527,Gen. George Joulwan (Ret.)\nU.S. Army
16,00:27:44.777,00:27:49.777,Paul Solman
17,00:28:16.777,00:28:21.527,"Vanessa Kirsch\nNew Profit, Inc."
18,00:28:30.277,00:28:35.277,"Kelly Fitzsimmons\nNew Profit, Inc."
19,00:30:04.027,00:30:08.527,Ned Rimer\nCitizen Schools
20,00:31:23.777,00:31:29.027,Robert Kaplan\nHarvard Business School
21,00:33:16.527,00:33:21.777,Aaron Lieberman\nJumpstart
22,00:34:41.277,00:34:45.777,"Kelly Fitzsimmons\nNew Profit, Inc."
23,00:35:18.027,00:35:23.527,"Vanessa Kirsch\nNew Profit, Inc."
24,00:35:40.527,00:35:45.277,Peter Karoff\nThe Philanthropic Initiative
25,00:36:17.527,00:36:20.777,Lawrencia Bannis\nCitizen Schools Graduate
26,00:36:30.777,00:36:35.527,Christopher Clark\nCitizen Schools Graduate
27,00:37:14.027,00:37:18.277,Robert Kaplan\nHarvard Business School
28,00:39:59.027,00:40:03.777,Joshua Muscat\nAmerican Health Foundation
29,00:41:28.277,00:41:32.777,Joshua Muscat\nAmerican Health Foundation
30,00:42:37.777,00:42:42.527,Susan Dentzer
31,00:43:10.527,00:43:13.277,Elizabeth Farnsworth
32,00:43:35.777,00:43:39.777,Richard Norton Smith\nPresidential Historian
33,00:44:29.777,00:44:34.027,Haynes Johnson\nJournalist/Author
34,00:45:08.277,00:45:11.527,Roger Wilkins\nGeorge Mason University
35,00:46:24.277,00:46:28.027,Michael Beschloss\nPresidential Historian
36,00:47:48.027,00:47:53.527,Richard Norton Smith\nPresidential Historian
37,00:49:01.027,00:49:05.527,Haynes Johnson\nJournalist/Author
38,00:49:56.527,00:49:59.777,Roger Wilkins\nGeorge Mason University
39,00:51:17.777,00:51:20.527,Richard Norton Smith\nPresidential Historian
40,00:51:51.277,00:51:55.277,Michael Beschloss\nPresidential Historian
41,00:52:46.277,00:52:50.527,Haynes Johnson\nJournalist/Author
42,00:53:24.777,00:53:28.527,Roger Wilkins\nGeorge Mason University
43,00:53:51.277,00:53:56.277,Richard Norton Smith\nPresidential Historian
44,00:54:46.777,00:54:49.777,Michael Beschloss\nPresidential Historian
