index,start,end,text-transcript
1,00:05:33.027,00:05:36.777,"Sen. PETE DOMENICI\nChairman, Budget Committee"
2,00:07:01.027,00:07:06.527,Voice Of\nLt. JIM KING\nOklahoma Highway Patrol
3,00:14:55.027,00:15:02.777,Sen. RICHARD LUGAR\n(R) Indiana
4,00:16:40.527,00:16:45.277,Sen. RICHARD LUGAR\n(R) Indiana
5,00:20:06.027,00:20:10.777,JOSEPH SISCO\nFormer Undersec'y of State
6,00:20:55.027,00:21:00.027,DONALD RUMSFELD\nFormer Sec'y of Defense
7,00:22:08.527,00:22:14.527,Rev. JESSE JACKSON
8,00:24:29.277,00:24:34.277,JOSEPH SISCO\nFormer Undersec'y of State
9,00:25:23.027,00:25:28.027,DONALD RUMSFELD\nFormer Sec'y of Defense
10,00:27:46.027,00:27:50.277,Rev. JESSE JACKSON
11,00:31:33.277,00:31:39.777,Sen. RICHARD LUGAR\n(R) Indiana
12,00:34:16.027,00:34:20.027,Sen. SLADE GORTON\n(R) Washington
13,00:34:45.777,00:34:51.777,Rep. BILL HEFNER\n(D) North Carolina
14,00:35:13.027,00:35:18.277,"Sen. PETE DOMENICI\nChairman, Budget Committee"
15,00:35:41.027,00:35:44.277,Sen. LAWTON CHILES\n(D) Florida
16,00:35:54.777,00:35:59.027,"Rep. WILLIAM GRAY\nChairman, Budget Committee"
17,00:36:57.777,00:37:03.527,"Sen. PETE DOMENICI\nChairman, Budget Committee"
18,00:38:23.027,00:38:29.027,Sen. WILLIAM ARMSTRONG\n(R) Colorado
19,00:40:01.027,00:40:05.027,Rep. WILLIAM GREY\n(D) Pennsylvania
20,00:41:53.777,00:41:59.027,Rep. WILLIAM GRAY\n(D) Pennsylvania
21,00:44:10.527,00:44:16.777,Sen. WILLIAM ARMSTRONG\n(R) Colorado
22,00:46:43.755,00:46:48.527,REP. WLLIAM\nGRAY
23,00:46:43.755,00:46:48.527,SEN. WILLIAM\nARMSTRONG
24,00:49:20.777,00:49:27.777,Sen. ROBERT PACKWOOD\n(R) OREGON
25,00:53:19.527,00:53:27.027,Sen. ROBERT PACKWOOD\n(R) OREGON
