index,start,end,text-transcript
1,00:03:01.027,00:03:04.527,Sen. ROBERT DOLE\nMajority Leader
2,00:04:29.027,00:04:31.527,Rep. NEWT GINGRINCH\nSpeaker of the House
3,00:04:57.277,00:05:00.777,"Sen. PETE DOMENICI\nChairman, Budget Committee"
4,00:05:13.527,00:05:16.777,LEON PANETTA\nWhite House Chief of Staff
5,00:06:08.027,00:06:12.277,"Sen. ALFONSE D'AMATO\nChairman, Whitewater Committee"
6,00:06:47.777,00:06:51.027,Sen. PAUL SARBANES\n(D) Maryland
7,00:07:46.527,00:07:48.777,Rep. NEWT GINGRINCH\nSpeaker of the House
8,00:12:06.027,00:12:10.277,Sen. JOHN McCAIN\n(R) Arizona
9,00:14:32.527,00:14:36.027,Sen. JOHN McCAIN\n(R) Arizona
10,00:15:50.777,00:15:55.277,Sen. JOHN McCAIN\n(R) Arizona
11,00:18:20.527,00:18:24.027,Sen. JOHN McCAIN\n(R) Arizona
12,00:19:49.277,00:19:53.277,WARREN CHRISTOPHER\nSecretary of State
13,00:20:43.777,00:20:47.027,WILLIAM PERRY\nSecretary of Defense
14,00:21:44.527,00:21:48.027,Rep. ELTON GALLEGLY\n(R) California
15,00:22:18.277,00:22:22.527,Rep. TOBY ROTH\n(R) Wisconsin
16,00:23:40.777,00:23:46.527,Rep. DUNCAN HUNTER\n(R) California
17,00:25:42.027,00:25:47.277,RONALD STEEL\nUniversity of Southern California
18,00:28:46.527,00:28:50.777,DONALD KAGAN\nYale University
19,00:31:15.527,00:31:20.277,RONALD STEEL\nUniversity of Southern California
20,00:33:53.027,00:33:58.277,JOHN LUKACS\nChestnut Hill College
21,00:36:31.277,00:36:33.527,DONALD KAGAN\nYale University
22,00:38:11.777,00:38:15.777,RONALD STEEL\nUniversity of Southern California
23,00:42:10.527,00:42:15.277,Dr. CHRISTINE BERG\nGeorgetown University Medical Center
24,00:44:52.527,00:44:57.027,Dr. CHRISTINE BERG\nGeorgetown University Medical Center
25,00:47:09.277,00:47:11.027,DAVID GERGEN\nU.S. News & World Report
26,00:47:22.527,00:47:27.777,BILL GATES\nAuthor
27,00:51:44.277,00:51:49.777,"BILL GATES\n""The Road Ahead"""
