index,start,end,text
1,00:02:46.777,00:02:52.527,ROBERT MacNEIL
2,00:06:50.777,00:06:57.527,JIM LEHRER\nWASHINGTON
3,00:07:31.527,00:07:40.277,The Rev. JAMES RATIGAN\nNAT. FED. OF PRIESTS' COUNCILS
4,00:09:24.527,00:09:28.777,The Rev. JAMES RATIGAN\nNAT. FED. OF PRIESTS' COUNCILS
5,00:10:34.027,00:10:36.527,Msr. JAMES McHUGH\nU.S. CONF. OF BISHOPS
6,00:12:12.777,00:12:15.277,Msr. JAMES McHUGH\nU.S. CONF. OF BISHOPS
7,00:14:30.527,00:14:38.277,BETSY STENGEL\nRELIGIOUS COALITION\nFOR ABORTION RIGHTS
8,00:16:16.777,00:16:22.027,BETSY STENGEL\nRELIGIOUS COALITION\nFOR ABORTION RIGHTS
9,00:18:33.777,00:18:39.527,JEFFREY PRESSMAN\nM.I.T.
10,00:21:17.277,00:21:22.277,The Rev. JAMES RATIGAN\nNAT. FED. OF PRIESTS' COUNCILS
11,00:22:24.277,00:22:28.527,Msr. JAMES McHUGH\nU.S. CONF OF BISHOPS
12,00:25:09.277,00:25:12.277,JIM LEHRER\nWASHINGTON
13,00:25:17.277,00:25:22.527,BETSY STENGEL\nRELIGIOUS COALITION\nFOR ABORTION RIGHTS
14,00:26:25.027,00:26:29.527,JEFFREY PRESSMAN\nM.I.T.
