index,start,end,text
1,00:03:46.277,00:03:48.777,"ROBERT GATES\nDirector, CIA"
2,00:05:25.277,00:05:27.777,Georgy Shakhnazarov\nSenior Gorbachev Aide
3,00:06:00.277,00:06:03.027,Andrei Grachev\nChief Presidential Spokesman
4,00:06:29.027,00:06:31.277,Eduard Shevardnadze\nSoviet Foreign Minister
5,00:19:34.527,00:19:39.777,"STEVEN BRILL\nPresident, Court TV"
6,00:21:46.777,00:21:52.277,"ELLEN HUME\nPress, Politics & Public Policy Center\nHarvard University"
7,00:22:16.777,00:22:20.777,"STEVEN BRILL\nPresident, Court TV"
8,00:24:05.277,00:24:10.527,ANN LEWIS\nPolitical Analyst
9,00:25:34.527,00:25:40.777,"ELLEN HUME\nPress, Politics & Public Policy Center\nHarvard University"
10,00:27:12.527,00:27:17.277,ANN LEWIS\nPolitical Analyst
11,00:28:12.527,00:28:18.027,"STEVEN BRILL\nPresident, Court TV"
12,00:29:55.027,00:30:01.527,SUSAN XENARIOS\nRape Counselor
13,00:32:31.277,00:32:36.527,SUSAN XENARIOS\nRape Counselor
14,00:33:22.277,00:33:26.777,ANN LEWIS\nPolitical Analyst
15,00:35:04.777,00:35:09.027,"ELLEN HUME\nPress, Politics & Public Policy Center\nHarvard University"
16,00:35:41.027,00:35:44.277,"STEVEN BRILL\nPresident, Court TV"
17,00:36:19.527,00:36:24.027,SUSAN XENARIOS\nRape Counselor
18,00:38:40.527,00:38:44.027,"ROBERT GATES\nDirector, CIA"
19,00:41:21.777,00:41:26.277,"ROBERT GATES\nDirector, CIA"
20,00:44:48.027,00:44:52.027,ED MIERZWINSKI\nPublic Interest Research Group
21,00:46:07.527,00:46:11.777,BARRY CONNELLY\nAssociated Credit Bureaus
22,00:47:06.277,00:47:10.527,URSULA DANIELS
23,00:49:28.027,00:49:29.777,SEYMOUR SHOR
24,00:52:07.777,00:52:11.777,JOHN BAKER\nEquifax
