index,start,end,text
1,00:01:22.777,00:01:25.777,ROBERT MacNEIL\nNEW YORK
2,00:02:16.527,00:02:19.777,JIM LEHRER\nWASHINGTON
3,00:04:27.777,00:04:32.277,MARSHALL LOEB\nMONEY MAGAZINE
4,00:06:33.027,00:06:37.277,MARSHALL LOEB\nMONEY MAGAZINE
5,00:08:31.777,00:08:36.027,JOHN HARDIN\nSAVINGS BANKER
6,00:12:22.777,00:12:35.777,JOHN HARDIN\nSAVINGS BANKER
7,00:13:19.277,00:13:24.277,SANDRA McLAUGHLIN\nCOMMERCIAL BANKER
8,00:16:19.527,00:16:23.777,SANDRA McLAUGHLIN\nCOMMERCIAL BANKER
9,00:20:00.527,00:20:05.277,Sen. JAKE GARN\n(R) UTAH
10,00:22:46.027,00:22:48.277,Sen. JAKE GARN\n(R) UTAH
11,00:24:18.027,00:24:22.027,MARSHALL LOEB\nMONEY MAGAZINE
