index,start,end,text-transcript
1,00:03:33.777,00:03:38.277,CLIFFORD BLACK\nAmtrak Spokesman
2,00:06:39.777,00:06:42.777,Sen. ROBERT DOLE\nMinority Leader
3,00:07:00.027,00:07:04.277,Rep. RICHARD ARMEY\n(R) Texas
4,00:08:16.277,00:08:20.027,"Gen. JOHN SHALIKASHVILI\nChairman, Joint Chiefs of Staff-designate"
5,00:12:13.777,00:12:18.027,"Ruslan Khasbulatov\nChairman, Russian Parliament"
6,00:12:48.027,00:12:51.777,Alexander Rutskoi\nRussian Vice-President
7,00:15:41.027,00:15:43.777,IAN WILLIAMS\nITN
8,00:20:04.777,00:20:08.777,Rep. ROBERT MICHEL\nMinority Leader
9,00:20:22.027,00:20:26.027,Sen. ROBERT DOLE\nMinority Leader
10,00:21:17.777,00:21:22.027,JOSEPH CALIFANO\nFormer Carter Health Official
11,00:22:05.027,00:22:09.027,Dr. BERNADINE HEALY\nFormer Bush Health Official
12,00:22:51.277,00:22:54.277,JOSEPH CALIFANO\nFormer Carter Health Official
13,00:24:04.277,00:24:08.777,Dr. BERNADINE HEALY\nFormer Bush Health Official
14,00:28:00.027,00:28:10.027,Dr. BERNADINE HEALY\nFormer Bush Health Official
15,00:28:34.527,00:28:38.277,JOSEPH CALIFANO\nFormer Carter Health Official
16,00:32:48.777,00:32:52.777,Dr. BERNADINE HEALY\nFormer Bush Health Official
17,00:33:45.277,00:33:49.527,JOSEPH CALIFANO\nFormer Carter Health Official
18,00:35:14.277,00:35:17.027,JASON BOWMAN
19,00:35:25.027,00:35:28.277,JIM BOWMAN
20,00:36:15.527,00:36:18.777,BARBARA BOWMAN
21,00:37:54.277,00:37:58.027,DAVID EDWARDS\nKodak Spokesman
22,00:39:28.777,00:39:33.277,FRED De SAM LAZARO\nKTCA-TV
23,00:40:04.777,00:40:06.777,HOWARD BERMAN\nBlue Cross Blue Shield
24,00:41:17.777,00:41:21.777,Dr. DERACE SCHAFFER\nRadiologist
25,00:42:28.777,00:42:33.277,Dr. ROBERT BLENDON\nHarvard School of Public Health
26,00:43:10.777,00:43:14.527,BARBARA BOWMAN
27,00:43:29.027,00:43:33.027,JIM BOWMAN
28,00:45:05.277,00:45:08.777,MICHAEL O'NEILL\nAuthor
29,00:48:21.027,00:48:25.527,MICHAEL O'NEILL\nAuthor
30,00:52:16.277,00:52:21.527,MICHAEL O'NEILL\nAuthor
