timestamp,total,type label,subtype label,modifier
00:01:02.529,00:57:15.201,S,G,False
00:01:03.063,00:57:15.201,S,G,False
00:01:05.065,00:57:15.201,S,G,False
00:01:05.532,00:57:15.201,S,G,False
00:01:06.533,00:57:15.201,S,G,False
00:01:07.000,00:57:15.201,S,G,False
00:01:07.534,00:57:15.201,S,G,False
00:01:08.001,00:57:15.201,S,G,False
00:01:08.535,00:57:15.201,S,G,False
00:01:09.536,00:57:15.201,S,G,False
00:01:10.003,00:57:15.201,S,G,False
00:01:17.010,00:57:15.201,-,,False
00:01:18.011,00:57:15.201,L,,True
00:01:21.548,00:57:15.201,O,,True
00:01:23.550,00:57:15.201,O,,False
00:01:24.017,00:57:15.201,O,,False
00:01:24.551,00:57:15.201,O,,False
00:01:25.018,00:57:15.201,O,,True
00:01:37.564,00:57:15.201,P,,False
00:01:47.540,00:57:15.201,P,,False
00:02:01.021,00:57:15.201,P,,False
00:02:01.554,00:57:15.201,P,,False
00:02:02.555,00:57:15.201,P,,False
00:02:09.562,00:57:15.201,P,,False
00:02:12.032,00:57:15.201,P,,False
00:02:20.040,00:57:15.201,P,,False
00:02:21.041,00:57:15.201,P,,False
00:02:24.044,00:57:15.201,P,,False
00:02:28.048,00:57:15.201,F,,False
00:02:28.515,00:57:15.201,F,,False
00:02:29.049,00:57:15.201,F,,False
00:02:41.528,00:57:15.201,-,,False
00:02:42.529,00:57:15.201,-,,False
00:02:47.534,00:57:15.201,-,,False
00:02:48.535,00:57:15.201,-,,False
00:02:51.004,00:57:15.201,-,,False
00:02:52.005,00:57:15.201,-,,False
00:02:52.539,00:57:15.201,-,,False
00:02:56.009,00:57:15.201,-,,False
00:02:56.543,00:57:15.201,-,,False
00:02:57.544,00:57:15.201,-,,False
00:02:58.011,00:57:15.201,-,,False
00:02:58.545,00:57:15.201,-,,False
00:02:59.012,00:57:15.201,-,,False
00:02:59.546,00:57:15.201,-,,False
00:03:02.549,00:57:15.201,M,,False
00:03:03.016,00:57:15.201,M,,False
00:03:03.550,00:57:15.201,M,,False
00:03:04.017,00:57:15.201,M,,False
00:03:04.551,00:57:15.201,M,,False
00:03:05.552,00:57:15.201,M,,False
00:03:06.019,00:57:15.201,M,,False
00:03:06.553,00:57:15.201,M,,False
00:03:07.020,00:57:15.201,M,,False
00:03:07.554,00:57:15.201,M,,False
00:03:08.021,00:57:15.201,M,,False
00:03:08.555,00:57:15.201,M,,False
00:03:09.022,00:57:15.201,M,,False
00:03:09.556,00:57:15.201,M,,False
00:03:10.023,00:57:15.201,M,,False
00:03:10.557,00:57:15.201,-,,False
00:03:11.024,00:57:15.201,-,,False
00:03:11.558,00:57:15.201,-,,False
00:03:12.025,00:57:15.201,-,,False
00:03:20.533,00:57:15.201,L,,False
00:03:23.003,00:57:15.201,L,,False
00:03:23.536,00:57:15.201,L,,False
00:03:25.005,00:57:15.201,L,,False
00:03:26.539,00:57:15.201,L,,False
00:03:28.541,00:57:15.201,L,,False
00:03:29.009,00:57:15.201,L,,True
00:03:31.011,00:57:15.201,L,,False
00:03:31.544,00:57:15.201,L,,True
00:03:32.012,00:57:15.201,G,,True
00:03:32.545,00:57:15.201,G,,False
00:03:34.014,00:57:15.201,G,,False
00:04:45.018,00:57:15.201,F,,False
00:04:45.552,00:57:15.201,F,,False
00:04:47.020,00:57:15.201,F,,False
00:04:50.557,00:57:15.201,-,,False
00:04:52.559,00:57:15.201,-,,False
00:04:54.027,00:57:15.201,-,,False
00:04:56.029,00:57:15.201,-,,False
00:04:57.030,00:57:15.201,-,,False
00:05:00.000,00:57:15.201,-,,False
00:05:00.533,00:57:15.201,-,,False
00:05:01.534,00:57:15.201,-,,False
00:05:05.005,00:57:15.201,-,,False
00:05:06.006,00:57:15.201,-,,False
00:05:10.543,00:57:15.201,Y,,False
00:05:12.012,00:57:15.201,Y,,False
00:05:20.553,00:57:15.201,-,,False
00:05:21.021,00:57:15.201,-,,False
00:05:21.554,00:57:15.201,-,,False
00:05:24.024,00:57:15.201,-,,False
00:05:28.561,00:57:15.201,-,,False
00:05:29.562,00:57:15.201,-,,False
00:05:31.031,00:57:15.201,-,,False
00:07:55.542,00:57:15.201,G,,False
00:07:56.543,00:57:15.201,G,,False
00:07:57.010,00:57:15.201,G,,False
00:07:57.544,00:57:15.201,G,,False
00:07:58.011,00:57:15.201,G,,False
00:08:00.547,00:57:15.201,-,,False
00:08:03.016,00:57:15.201,-,,False
00:08:15.028,00:57:15.201,-,,False
00:08:19.032,00:57:15.201,-,,False
00:08:27.540,00:57:15.201,G,,False
00:08:28.008,00:57:15.201,G,,False
00:08:28.541,00:57:15.201,G,,False
00:08:29.009,00:57:15.201,G,,False
00:08:29.542,00:57:15.201,G,,False
00:08:30.010,00:57:15.201,G,,False
00:08:30.543,00:57:15.201,G,,False
00:08:32.012,00:57:15.201,-,,False
00:08:36.016,00:57:15.201,-,,False
00:08:45.558,00:57:15.201,-,,False
00:08:50.563,00:57:15.201,G,,False
00:09:03.043,00:57:15.201,I,,False
00:10:10.543,00:57:15.201,-,,False
00:10:13.013,00:57:15.201,-,,False
00:10:16.016,00:57:15.201,-,,False
00:11:28.555,00:57:15.201,-,,False
00:11:30.023,00:57:15.201,-,,False
00:11:31.558,00:57:15.201,-,,False
00:11:37.030,00:57:15.201,-,,False
00:11:41.534,00:57:15.201,-,,False
00:11:42.535,00:57:15.201,-,,False
00:11:47.540,00:57:15.201,-,,False
00:11:56.016,00:57:15.201,P,,False
00:12:03.556,00:57:15.201,T,,False
00:12:24.044,00:57:15.201,G,,False
00:12:24.511,00:57:15.201,G,,False
00:12:25.045,00:57:15.201,G,,False
00:12:25.512,00:57:15.201,G,,False
00:12:28.515,00:57:15.201,G,,False
00:12:29.049,00:57:15.201,G,,False
00:12:30.050,00:57:15.201,G,,False
00:12:30.517,00:57:15.201,G,,False
00:12:31.051,00:57:15.201,G,,False
00:12:31.518,00:57:15.201,G,,False
00:12:32.519,00:57:15.201,G,,False
00:12:33.520,00:57:15.201,G,,False
00:12:39.059,00:57:15.201,G,,False
00:12:39.526,00:57:15.201,G,,False
00:12:40.060,00:57:15.201,G,,False
00:12:40.527,00:57:15.201,G,,False
00:12:41.061,00:57:15.201,G,,False
00:12:41.528,00:57:15.201,G,,False
00:12:42.062,00:57:15.201,G,,False
00:12:43.063,00:57:15.201,G,,False
00:12:43.530,00:57:15.201,G,,False
00:15:01.001,00:57:15.201,F,,False
00:15:03.536,00:57:15.201,E,,False
00:15:06.539,00:57:15.201,E,,False
00:15:08.541,00:57:15.201,E,,False
00:15:10.543,00:57:15.201,E,,False
00:15:12.012,00:57:15.201,E,,False
00:15:16.016,00:57:15.201,E,,False
00:15:17.017,00:57:15.201,E,,False
00:15:17.550,00:57:15.201,E,,False
00:15:18.018,00:57:15.201,E,,False
00:15:21.554,00:57:15.201,I,,False
00:15:23.023,00:57:15.201,E,,False
00:15:24.024,00:57:15.201,E,,False
00:15:25.558,00:57:15.201,E,,False
00:15:26.026,00:57:15.201,E,,False
00:15:26.559,00:57:15.201,E,,False
00:15:27.027,00:57:15.201,E,,False
00:15:27.560,00:57:15.201,E,,False
00:15:28.028,00:57:15.201,E,,False
00:15:28.561,00:57:15.201,E,,False
00:15:29.029,00:57:15.201,E,,False
00:15:31.031,00:57:15.201,E,,False
00:15:55.055,00:57:15.201,E,,False
00:15:55.522,00:57:15.201,E,,False
00:15:56.523,00:57:15.201,E,,False
00:15:57.057,00:57:15.201,E,,False
00:15:58.058,00:57:15.201,E,,False
00:15:58.525,00:57:15.201,E,,False
00:16:02.062,00:57:15.201,E,,False
00:16:03.063,00:57:15.201,-,,False
00:16:13.006,00:57:15.201,I,,False
00:16:14.007,00:57:15.201,I,,False
00:16:14.541,00:57:15.201,I,,False
00:16:15.008,00:57:15.201,I,,True
00:16:16.009,00:57:15.201,E,,False
00:16:20.013,00:57:15.201,P,,False
00:16:21.548,00:57:15.201,P,,False
00:16:29.556,00:57:15.201,I,,True
00:16:30.023,00:57:15.201,I,,False
00:16:30.557,00:57:15.201,I,,False
00:17:52.005,00:57:15.201,P,,False
00:18:22.535,00:57:15.201,P,,False
00:19:28.001,00:57:15.201,-,,False
00:19:28.535,00:57:15.201,G,,False
00:19:29.536,00:57:15.201,G,,False
00:19:30.537,00:57:15.201,G,,False
00:19:54.561,00:57:15.201,F,,False
00:19:58.031,00:57:15.201,-,,False
00:20:07.540,00:57:15.201,P,,False
00:21:45.538,00:57:15.201,-,,False
00:21:46.539,00:57:15.201,-,,False
00:21:49.009,00:57:15.201,Y,,False
00:22:01.021,00:57:15.201,P,,False
00:22:12.032,00:57:15.201,-,,False
00:22:12.565,00:57:15.201,-,,False
00:22:17.504,00:57:15.201,-,,False
00:22:36.523,00:57:15.201,-,,False
00:22:39.526,00:57:15.201,-,,False
00:22:40.527,00:57:15.201,-,,False
00:23:17.564,00:57:15.201,P,,False
00:24:12.519,00:57:15.201,-,,False
00:24:13.053,00:57:15.201,-,,False
00:24:13.520,00:57:15.201,-,,False
00:24:20.527,00:57:15.201,E,,False
00:24:47.020,00:57:15.201,-,,False
