start_time,end_time,text
233.7771,239.0271,"VOICE OF INTERPRETER\nDjoko Murjatmodjo\nACTING DIRECTOR GENERAL OF AIR TRANSPORTATION,\nINDONESIAN TRANSPORT MINISTRY"
564.5271,568.7771,FRIDAY\nHeather Abbott\nBOMBING SURVIVOR
608.0271,618.2771,BOSTON\nPhillip Martin\nWGBH-FM
730.5271,741.7771,BOSTON\nPhillip Martin\nWGBH-FM
804.0271,811.2771,BOSTON\nPhillip Martin\nWGBH-FM
913.2771,917.2771,Margaret Warner\n@margaretwarner
1022.0271,1030.2771,Margaret Warner\n@margaretwarner
1258.0271,1262.7771,David Boaz\nCATO INSTITUTE
1292.5271,1298.5271,Arkadi Gerney\nCENTER FOR AMERICAN PROGRESS
1433.5271,1441.5271,Arkadi Gerney\nCENTER FOR AMERICAN PROGRESS
1467.5271,1474.5271,David Boaz\nCATO INSTITUTE
1517.7771,1524.7771,Arkadi Gerney\nCENTER FOR AMERICAN PROGRESS
1549.2771,1554.7771,David Boaz\nCATO INSTITUTE
1583.0271,1588.5271,Arkadi Gerney\nCENTER FOR AMERICAN PROGRESS
1620.0271,1623.7771,David Boaz\nCATO INSTITUTE
1772.0271,1780.7771,VOICE OF INTERPRETER\nSteffen Seibert\nGERMAN GOVERNMENT SPOKESMAN
1834.2771,1847.2771,BOSTON\nKenneth Rogoff\nHARVARD UNIVERSITY
1859.0271,1866.0271,Jacob Kirkegaard\nPETERSON INSTITUTE FOR INTERNATIONAL ECONOMICS
2064.2771,2073.2771,BOSTON\nKenneth Rogoff\nHARVARD UNIVERSITY
2128.0271,2135.0271,Jacob Kirkegaard\nPETERSON INSTITUTE FOR INTERNATIONAL ECONOMICS
2335.7771,2344.5271,NEW YORK\nLeo Sheng\nTRANSGENDER MAN
2383.5271,2389.0271,"Mara Keisling\nEXECUTIVE DIRECTOR, NATIONAL CENTER FOR TRANSGENDER EQUALITY"
2438.7771,2444.2771,NEW YORK\nLeo Sheng\nTRANSGENDER MAN
2472.2771,2480.5271,"Mara Keisling\nEXECUTIVE DIRECTOR, NATIONAL CENTER FOR TRANSGENDER EQUALITY"
2583.0271,2594.7771,NEW YORK\nLeo Sheng\nTRANSGENDER MAN
2620.2771,2627.0271,"Mara Keisling\nEXECUTIVE DIRECTOR, NATIONAL CENTER FOR TRANSGENDER EQUALITY"
2715.2771,2720.0271,COURTESY: THE HISTORYMAKERS\nFormer Sen. Edward Brooke\n(R) MASSACHUSETTS
2793.0271,2798.5271,BOSTON\nAdrian Walker\nTHE BOSTON GLOBE
2834.7771,2845.2771,"GRAND RAPIDS, MICHIGAN\nRichard Norton Smith\nPRESIDENTIAL HISTORIAN"
2880.7771,2888.5271,BOSTON\nAdrian Walker\nTHE BOSTON GLOBE
2952.7771,2964.7771,"GRAND RAPIDS, MICHIGAN\nRichard Norton Smith\nPRESIDENTIAL HISTORIAN"
3059.2771,3070.0271,"GRAND RAPIDS, MICHIGAN\nRichard Norton Smith\nPRESIDENTIAL HISTORIAN"
