start_time,end_time,text
1162.43976,1168.06476,"MATHILDE KRIM, PhD.\nAIDS Medical Foundation"
275.7771,279.7771,JOHN BLOCK\nSecretary of Agriculture
356.7771,359.5271,REP. THOMAS P. O'NEILL\nSpeaker of the House
516.5271,520.5271,RITA LAVELLE\nFormer E.P.A. Official
755.5271,760.0271,WALTER WARD\nN.Y.C. Councilman
785.7771,791.0271,MAYOR ED KOCH
852.0271,855.0271,GAR TRAYNOR\nFormer United Steward
923.5271,927.5271,"""ROBERT"""
957.7771,962.2771,DR. MATT NEWMAN\nAnti-AIDS Citizens Group
986.7771,991.0271,ELLEN FLEMING\nAnti-AIDS Citizens Group
1020.5271,1025.5271,CLAUDE LINDSEY\nAnti-AIDS Citizens Group
1099.5271,1105.0271,"MATHILDE KRIM, PHD.\nAIDS Medical Foundation"
1262.7771,1266.0271,"MATHILDE KRIM, PHD.\nAIDS Medical Foundation"
1449.7771,1456.2771,DR. HELEN SINGER KAPLAN\nNew York Hospital
1525.2771,1534.2771,JOE TOM EASLEY\nCivil Rights Lawyer
1696.7771,1702.5271,JOE TOM EASLEY\nCivil Rights Lawyer
1811.0271,1816.5271,"MATHILDE KRIM, PHD.\nAIDS Medical Foundation"
1968.7771,1972.7771,WILLIAM MAYER\nDefense Department
2025.2771,2029.5271,DR. HERBERT PERKIN\nIrwin Memorial Blood Bank\nSan Francisco
2054.0271,2059.2771,BOBBY REYNOLDS
2079.5271,2083.0271,PAUL CASTRO
2143.2771,2150.0271,DR. THOMAS VERNON\nColorado Health Dept.
2300.7771,2307.0271,DR. THOMAS VERNON\nColorado Health Dept.
2445.5271,2451.7771,JOE TOM EASLEY\nCivil Rights Lawyer
2603.7771,2609.5271,"MATHILDE KRIM, PHD.\nAIDS Medical Foundation"
2644.0271,2648.0271,DR. HELEN SINGER KAPLAN\nNew York Hospital
2740.5271,2746.2771,DR. THOMAS VERNON\nColorado Health Dept.
2781.2771,2785.0271,JOE TOM EASLEY\nCivil Rights Lawyer
2988.7771,2993.2771,"NEIL HARL\nEconomist, Iowa State University"
3016.2771,3021.0271,REP. JIM LEACH\n(R) Iowa
3040.5271,3042.7771,RAY POWELL\nFormer Loan Officer
3081.2771,3086.2771,TOM LANGEMEIER\nFormer Loan Officer
3099.5271,3104.0271,"DON WILKINSON\nGovernor, Farm Credit Administration"
3144.2771,3148.7771,KWAME HOLMAN
3207.2771,3211.5271,LEO TUCKER\nFarmer
3217.5271,3221.2771,DEBBIE HALL\nFarmer
3257.5271,3260.7771,REP. JIM LEACH\n(R) Iowa
3311.7771,3316.2771,"NEIL HARL\nEconomist, Iowa State University"
