start,end,type label,subtype label,modifier
00:00:02.002,00:00:14.014,B,-,False
00:00:28.028,00:00:28.028,B,-,False
00:00:32.032,00:00:40.006,S,D,False
00:00:58.024,00:01:06.032,G,-,True
00:01:10.003,00:01:12.005,L,-,False
00:02:00.019,00:02:00.019,P,-,False
00:02:16.002,00:02:16.002,P,-,False
00:02:30.016,00:02:30.016,P,-,False
00:02:48.001,00:02:50.003,P,-,False
00:03:06.019,00:03:14.027,P,-,False
00:03:34.013,00:03:36.015,P,-,False
00:03:50.029,00:04:00.006,P,-,False
00:04:36.009,00:04:44.017,M,-,False
00:05:34.000,00:05:36.002,I,-,False
00:05:40.006,00:05:42.008,P,-,False
00:06:24.016,00:06:26.018,P,-,False
00:06:56.015,00:06:56.015,Y,-,False
00:08:20.032,00:08:22.001,P,-,False
00:08:26.005,00:08:40.019,F,-,True
00:08:44.023,00:08:46.025,I,-,False
00:08:50.029,00:09:00.006,P,-,False
00:09:26.032,00:09:26.032,F,-,False
00:09:30.002,00:09:36.008,P,-,False
00:10:32.031,00:10:32.031,P,-,False
00:12:12.031,00:12:14.033,I,-,False
00:12:18.003,00:12:28.013,P,-,False
00:12:32.017,00:12:32.017,I,-,False
00:12:36.021,00:12:42.027,P,-,False
00:13:14.026,00:13:22.001,P,-,False
00:13:26.005,00:13:28.007,I,-,False
00:13:32.011,00:13:46.025,P,-,False
00:14:08.013,00:14:08.013,I,-,False
00:14:12.017,00:14:36.008,P,-,False
00:15:52.017,00:16:16.008,P,-,False
00:17:24.009,00:17:34.019,P,-,False
00:17:38.023,00:17:40.025,I,-,False
00:17:46.031,00:17:46.031,I,-,False
00:17:50.002,00:18:42.020,P,-,False
00:20:08.006,00:20:12.010,P,-,False
00:21:12.004,00:21:14.006,P,-,False
00:21:18.010,00:21:20.012,I,-,False
00:21:24.016,00:21:26.018,P,-,False
00:23:18.029,00:23:22.000,P,-,False
00:23:32.010,00:23:34.012,P,-,False
00:23:38.016,00:23:38.016,I,-,False
00:23:42.020,00:23:44.022,P,-,False
00:24:24.029,00:24:26.031,I,-,False
00:24:30.001,00:24:30.001,P,-,False
00:28:54.032,00:28:56.000,P,-,False
00:29:30.001,00:29:30.001,I,-,False
00:29:34.005,00:29:38.009,P,-,False
00:30:42.006,00:30:50.014,P,-,False
00:30:56.020,00:30:56.020,Y,-,False
00:31:12.003,00:31:20.011,P,-,False
00:32:54.005,00:32:56.007,I,-,False
00:34:12.016,00:34:12.016,P,-,False
00:34:20.024,00:34:20.024,Y,-,False
00:34:26.030,00:34:40.011,P,-,False
00:35:26.023,00:35:46.010,P,-,False
00:36:32.023,00:36:34.025,P,-,False
00:36:44.001,00:36:44.001,P,-,False
00:36:50.007,00:36:52.009,F,-,False
00:37:06.023,00:37:14.031,F,-,False
00:37:42.026,00:37:44.028,Y,-,False
00:37:58.009,00:38:24.001,F,-,False
00:38:28.005,00:38:28.005,P,-,False
00:38:36.013,00:38:38.015,F,-,False
00:38:44.021,00:39:14.018,P,-,False
00:39:50.020,00:39:58.028,P,-,False
00:42:34.018,00:42:34.018,I,-,False
00:42:38.022,00:42:40.024,P,-,False
00:42:44.028,00:42:46.030,I,-,False
00:42:50.000,00:42:58.008,P,-,False
00:43:24.001,00:43:24.001,I,-,False
00:44:00.004,00:44:26.030,P,-,False
00:45:08.005,00:45:22.019,P,-,False
00:45:46.009,00:45:50.013,P,-,False
00:45:58.021,00:46:06.029,P,-,False
00:46:10.000,00:46:10.000,I,-,False
00:46:14.004,00:46:40.030,P,-,False
00:47:46.029,00:47:52.002,P,-,False
00:51:12.002,00:51:14.004,I,-,False
00:51:18.008,00:51:26.016,P,-,False
00:52:14.030,00:52:22.005,P,-,False
00:56:42.031,00:56:58.014,P,-,False
00:58:22.031,00:58:22.031,P,-,False
00:58:26.002,00:59:24.027,C,-,False
00:59:32.001,00:59:40.009,G,-,False
