"filename","seen","type-label","subtype-label","modifier","note-3","note-4"
"cpb-aacip-29-300zph8r_01757255_00007507_00007507.jpg",true,"S","D",false,"",""
"cpb-aacip-29-300zph8r_01757255_00008008_00008007.jpg",true,"S","D",false,"",""
"cpb-aacip-29-300zph8r_01757255_00012512_00012512.jpg",true,"S","D",false,"",""
"cpb-aacip-29-300zph8r_01757255_00030531_00030530.jpg",true,"L","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00031773_00031765.jpg",true,"G","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00034258_00034267.jpg",true,"G","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00056023_00056022.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00057774_00057791.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00061277_00061294.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00088455_00088455.jpg",true,"G","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00100333_00100333.jpg",true,"E","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00112211_00112212.jpg",true,"E","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00124089_00124090.jpg",true,"E","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00127528_00127527.jpg",true,"E","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00147514_00147514.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00151518_00151518.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00182516_00182515.jpg",true,"I","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00215516_00215515.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00220020_00220019.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00256523_00256522.jpg",true,"I","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00290023_00290023.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00326026_00326025.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00363530_00363529.jpg",true,"","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00412012_00412011.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00431031_00431030.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00463030_00463029.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00488522_00488521.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00494528_00494527.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00528529_00528528.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00540007_00540006.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00551518_00551517.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00596263_00596262.jpg",true,"P","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00637504_00637503.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00697647_00697663.jpg",true,"E","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00705506_00705504.jpg",true,"E","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00710894_00710910.jpg",true,"E","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00729896_00729895.jpg",true,"E","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00743643_00743642.jpg",true,"E","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00748015_00748013.jpg",true,"E","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00785685_00785684.jpg",true,"P","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00856022_00856021.jpg",true,"","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00926359_00926358.jpg",true,"","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00963030_00963028.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_00975509_00975507.jpg",true,"P","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01013514_01013512.jpg",true,"","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01044261_01044276.jpg",true,"","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01075509_01075507.jpg",true,"","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01118384_01118383.jpg",true,"","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01201133_01201133.jpg",true,"","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01248009_01248013.jpg",true,"E","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01259009_01259024.jpg",true,"E","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01259526_01259524.jpg",true,"E","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01270009_01270002.jpg",true,"E","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01283016_01283015.jpg",true,"","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01295529_01295527.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01300501_01300499.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01360027_01360025.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01378011_01378009.jpg",true,"","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01384518_01384516.jpg",true,"","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01451018_01451016.jpg",true,"","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01462029_01462027.jpg",true,"G","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01507507_01507506.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01553020_01553018.jpg",true,"F","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01599274_01599264.jpg",true,"","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01676768_01676775.jpg",true,"","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01717460_01717449.jpg",true,"G","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01721349_01721352.jpg",true,"G","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01725238_01725223.jpg",true,"C","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01729127_01729127.jpg",true,"C","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01731532_01731529.jpg",true,"C","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01733016_01733031.jpg",true,"C","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01736905_01736901.jpg",true,"C","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01740794_01740805.jpg",true,"C","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01744683_01744676.jpg",true,"C","",false,"",""
"cpb-aacip-29-300zph8r_01757255_01748572_01748580.jpg",true,"R","",false,"",""
