start	end	alignment-start	alignment-end
00:01:04.610	00:01:07.340	2	76
00:01:07.350	00:01:11.270	77	144
00:01:11.280	00:01:14.980	145	202
00:01:14.990	00:01:17.650	203	261
00:01:17.660	00:01:20.710	262	315
00:01:20.720	00:01:25.280	316	393
00:01:25.290	00:01:29.340	394	458
00:01:29.350	00:01:32.900	459	517
00:01:32.910	00:02:20.590	518	619
00:02:20.600	00:02:24.250	620	685
00:02:24.260	00:02:27.130	686	748
00:02:27.140	00:02:30.020	749	803
00:02:30.030	00:02:33.470	804	855
00:02:33.480	00:02:36.990	856	920
00:02:37.000	00:02:42.530	921	973
00:02:42.540	00:02:44.710	974	1026
00:02:44.720	00:02:48.230	1027	1095
00:02:48.240	00:02:52.620	1096	1160
00:02:52.630	00:02:56.620	1161	1218
00:02:56.630	00:02:59.550	1219	1265
00:02:59.560	00:03:04.040	1266	1342
00:03:04.050	00:03:08.800	1343	1407
00:03:08.810	00:03:13.250	1408	1473
00:03:13.260	00:03:16.350	1474	1529
00:03:16.360	00:03:19.780	1530	1585
00:03:19.790	00:03:22.590	1586	1633
00:03:22.600	00:03:26.230	1634	1701
00:03:26.240	00:03:28.350	1702	1747
00:03:28.360	00:03:32.630	1748	1821
00:03:32.640	00:03:36.120	1822	1877
00:03:36.130	00:03:40.560	1878	1938
00:03:40.570	00:03:47.320	1939	1996
00:03:47.330	00:03:51.380	1997	2083
00:03:51.390	00:03:55.590	2084	2143
00:03:55.600	00:03:58.980	2144	2200
00:03:58.990	00:04:01.980	2201	2259
00:04:01.990	00:04:04.320	2260	2312
00:04:04.330	00:04:07.540	2313	2375
00:04:07.550	00:04:11.470	2376	2437
00:04:11.480	00:04:14.650	2438	2483
00:04:14.660	00:04:17.760	2484	2533
00:04:17.770	00:04:25.060	2534	2611
00:04:25.070	00:04:29.070	2612	2672
00:04:29.080	00:04:32.440	2673	2727
00:04:32.450	00:04:37.390	2728	2813
00:04:37.400	00:04:39.590	2814	2855
00:04:39.600	00:04:44.110	2856	2913
00:04:44.120	00:04:48.590	2914	2977
00:04:48.600	00:04:51.280	2978	3028
00:04:51.290	00:04:55.110	3029	3091
00:04:55.120	00:05:00.520	3092	3163
00:05:00.530	00:05:04.150	3164	3220
00:05:04.160	00:05:09.260	3221	3291
00:05:09.270	00:05:13.460	3292	3348
00:05:13.470	00:05:17.270	3349	3413
00:05:17.280	00:05:21.110	3414	3474
00:05:21.120	00:05:26.720	3475	3568
00:05:26.730	00:05:29.240	3569	3627
00:05:29.250	00:05:32.300	3628	3681
00:05:32.310	00:05:35.060	3682	3736
00:05:35.070	00:05:38.110	3737	3796
00:05:38.120	00:05:41.940	3797	3872
00:05:41.950	00:05:43.660	3873	3928
00:05:43.670	00:05:46.760	3929	3999
00:05:46.770	00:05:50.630	4000	4049
00:05:50.640	00:05:54.720	4050	4109
00:05:54.730	00:05:58.820	4110	4183
00:05:58.830	00:06:03.570	4184	4251
00:06:03.580	00:06:07.420	4252	4306
00:06:07.430	00:06:11.300	4307	4370
00:06:11.310	00:06:15.560	4371	4432
00:06:15.570	00:06:18.710	4433	4491
00:06:18.720	00:06:22.030	4492	4549
00:06:22.040	00:06:25.710	4550	4607
00:06:25.720	00:06:29.470	4608	4665
00:06:29.480	00:06:33.630	4666	4730
00:06:33.640	00:06:44.670	4731	4823
00:06:44.680	00:06:48.970	4824	4904
00:06:48.980	00:06:53.970	4905	4977
00:06:53.980	00:06:57.290	4978	5034
00:06:57.300	00:07:01.090	5035	5089
00:07:01.100	00:07:06.180	5090	5140
00:07:06.190	00:07:08.720	5141	5191
00:07:08.730	00:07:12.180	5192	5245
00:07:12.190	00:07:16.850	5246	5311
00:07:16.860	00:07:21.980	5312	5373
00:07:21.990	00:07:25.230	5374	5432
00:07:25.240	00:07:29.260	5433	5502
00:07:29.270	00:07:34.030	5503	5571
00:07:34.040	00:07:39.000	5572	5648
00:07:39.010	00:07:42.460	5649	5738
00:07:42.470	00:07:46.270	5739	5801
00:07:46.280	00:07:51.660	5802	5861
00:07:51.670	00:07:57.060	5862	5924
00:07:57.070	00:07:59.670	5925	5981
00:07:59.680	00:08:03.490	5982	6025
00:08:03.500	00:08:08.300	6026	6080
00:08:08.310	00:08:12.090	6081	6139
00:08:12.100	00:08:16.970	6140	6195
00:08:16.980	00:08:19.910	6196	6249
00:08:19.920	00:08:24.700	6250	6312
00:08:24.710	00:08:29.160	6313	6364
00:08:29.170	00:08:35.180	6365	6440
00:08:35.190	00:08:40.180	6441	6492
00:08:40.190	00:08:47.760	6493	6568
00:08:47.770	00:08:53.540	6569	6622
00:08:53.550	00:09:01.210	6623	6680
00:09:01.220	00:09:06.040	6681	6745
00:09:06.050	00:09:11.820	6746	6805
00:09:11.830	00:09:16.700	6806	6879
00:09:16.710	00:09:20.410	6880	6962
00:09:20.420	00:09:26.780	6963	7024
00:09:26.790	00:09:30.650	7025	7082
00:09:30.660	00:09:33.370	7083	7126
00:09:33.380	00:09:37.220	7127	7176
00:09:37.230	00:09:42.950	7177	7253
