start	end	alignment-start	alignment-end
00:01:45.710	00:01:49.160	0	89
00:01:49.170	00:01:52.880	90	150
00:01:52.890	00:01:57.270	151	246
00:01:57.280	00:01:59.840	247	295
00:01:59.850	00:02:04.290	296	354
00:02:04.300	00:02:06.690	355	404
00:02:06.700	00:02:09.400	405	454
00:02:09.410	00:02:13.180	455	517
00:02:13.190	00:02:17.180	518	600
00:02:17.190	00:02:19.990	601	659
00:02:20.000	00:02:23.660	660	721
00:02:23.670	00:02:28.170	722	792
00:02:28.180	00:02:32.340	793	857
00:02:32.350	00:02:35.690	858	920
00:02:35.700	00:02:41.520	921	1004
00:02:41.530	00:02:44.160	1005	1063
00:02:44.170	00:03:05.270	1064	1131
00:03:05.280	00:03:08.500	1132	1187
00:03:08.510	00:03:13.010	1188	1259
00:03:13.020	00:03:15.740	1260	1315
00:03:15.750	00:03:18.310	1316	1374
00:03:18.320	00:03:21.840	1375	1437
00:03:21.850	00:03:24.480	1438	1486
00:03:24.490	00:03:31.010	1487	1593
00:03:31.020	00:03:35.600	1594	1649
00:03:35.610	00:03:40.270	1650	1703
00:03:40.280	00:03:44.640	1704	1769
00:03:44.650	00:03:48.010	1770	1832
00:03:48.020	00:03:50.960	1833	1885
00:03:50.970	00:03:54.740	1886	1958
00:03:54.750	00:03:57.170	1959	2009
00:03:57.180	00:04:01.180	2010	2079
00:04:01.190	00:04:05.330	2080	2149
00:04:05.340	00:04:09.340	2150	2218
00:04:09.350	00:04:12.590	2219	2281
00:04:12.600	00:04:16.410	2282	2350
00:04:16.420	00:04:20.990	2351	2460
00:04:21.000	00:04:25.830	2461	2547
00:04:25.840	00:04:29.330	2548	2598
00:04:29.340	00:04:34.160	2599	2673
00:04:34.170	00:04:37.820	2674	2728
00:04:37.830	00:04:41.730	2729	2782
00:04:41.740	00:04:45.470	2783	2835
00:04:45.480	00:04:48.100	2836	2888
00:04:48.110	00:04:52.070	2889	2940
00:04:52.080	00:04:54.570	2941	2984
00:04:54.580	00:04:57.730	2985	3040
00:04:57.740	00:05:00.390	3041	3095
00:05:00.400	00:05:04.670	3096	3158
00:05:04.680	00:05:08.390	3159	3215
00:05:08.400	00:05:11.770	3216	3274
00:05:11.780	00:05:16.480	3275	3367
00:05:16.490	00:05:19.410	3368	3433
00:05:19.420	00:05:21.240	3434	3490
00:05:21.250	00:05:24.600	3491	3542
00:05:24.610	00:05:26.950	3543	3600
00:05:26.960	00:05:31.800	3601	3661
00:05:31.810	00:05:36.440	3662	3731
00:05:36.450	00:05:40.310	3732	3799
00:05:40.320	00:05:43.930	3800	3871
00:05:43.940	00:05:47.280	3872	3925
00:05:47.290	00:05:50.220	3926	3976
00:05:50.230	00:05:56.240	3977	4045
00:05:56.250	00:06:00.630	4046	4113
00:06:00.640	00:06:04.680	4114	4169
00:06:04.690	00:06:07.760	4170	4222
00:06:07.770	00:06:12.350	4223	4300
00:06:12.360	00:06:15.980	4301	4367
00:06:15.990	00:06:20.530	4368	4437
00:06:20.540	00:06:23.660	4438	4493
00:06:23.670	00:06:27.660	4494	4557
00:06:27.670	00:06:32.400	4558	4640
00:06:32.410	00:06:35.720	4641	4705
00:06:35.730	00:06:39.700	4706	4765
00:06:39.710	00:06:42.660	4766	4822
00:06:42.670	00:06:46.350	4823	4869
00:06:46.360	00:06:50.900	4870	4934
00:06:50.910	00:06:55.840	4935	4999
00:06:55.850	00:06:59.000	5000	5055
00:06:59.010	00:07:03.410	5056	5117
00:07:03.420	00:07:08.300	5118	5186
00:07:08.310	00:07:12.480	5187	5246
00:07:12.490	00:07:16.630	5247	5308
00:07:16.640	00:07:19.530	5309	5372
00:07:19.540	00:07:23.270	5373	5438
00:07:23.280	00:07:26.940	5439	5490
00:07:26.950	00:07:30.250	5491	5544
00:07:30.260	00:07:34.380	5545	5618
00:07:34.390	00:07:38.210	5619	5669
00:07:38.220	00:07:41.800	5670	5718
00:07:41.810	00:07:44.040	5719	5761
00:07:44.050	00:07:46.910	5762	5821
00:07:46.920	00:07:50.190	5822	5881
00:07:50.200	00:07:52.880	5882	5945
00:07:52.890	00:07:57.730	5946	6011
00:07:57.740	00:08:00.420	6012	6067
00:08:00.430	00:08:03.910	6068	6139
00:08:03.920	00:08:06.420	6140	6189
00:08:06.430	00:08:09.160	6190	6243
00:08:09.170	00:08:13.670	6244	6306
00:08:13.680	00:08:16.240	6307	6362
00:08:16.250	00:08:18.450	6363	6412
00:08:18.460	00:08:22.570	6413	6478
00:08:22.580	00:08:25.070	6479	6544
00:08:25.080	00:08:27.020	6545	6591
00:08:27.030	00:08:30.760	6592	6646
00:08:30.770	00:08:33.210	6647	6706
00:08:33.220	00:08:36.160	6707	6762
00:08:36.170	00:08:42.880	6763	6856
00:08:42.890	00:08:45.300	6857	6909
00:08:45.310	00:08:49.260	6910	6960
00:08:49.270	00:08:52.080	6961	7009
00:08:52.090	00:08:54.070	7010	7075
00:08:54.080	00:08:58.030	7076	7129
00:08:58.040	00:09:01.520	7130	7182
00:09:01.530	00:09:05.340	7183	7239
00:09:05.350	00:09:08.150	7240	7303
00:09:08.160	00:09:10.920	7304	7363
00:09:10.930	00:09:14.630	7364	7428
00:09:14.640	00:09:17.230	7429	7499
00:09:17.240	00:09:21.160	7500	7588
00:09:21.170	00:09:24.510	7589	7645
00:09:24.520	00:09:27.280	7646	7689
00:09:27.290	00:09:30.630	7690	7738
00:09:30.640	00:09:32.860	7739	7812
00:09:32.870	00:09:36.180	7813	7884
00:09:36.190	00:09:39.890	7885	7941
00:09:39.900	00:09:43.610	7942	7987
00:09:43.620	00:09:46.550	7988	8041
00:09:46.560	00:09:50.310	8042	8116
00:09:50.320	00:09:53.720	8117	8172
00:09:53.730	00:09:58.550	8173	8240
00:09:58.560	00:10:01.590	8241	8294
00:10:01.600	00:10:03.840	8295	8351
00:10:03.850	00:10:07.190	8352	8416
00:10:07.200	00:10:10.750	8417	8468
00:10:10.760	00:10:13.220	8469	8526
00:10:13.230	00:10:17.060	8527	8588
00:10:17.070	00:10:19.680	8589	8640
00:10:19.690	00:10:23.930	8641	8719
00:10:23.940	00:10:27.830	8720	8771
00:10:27.840	00:10:31.600	8772	8812
00:10:31.610	00:10:38.010	8813	8872
00:10:38.020	00:10:40.890	8873	8935
00:10:40.900	00:10:43.590	8936	9006
00:10:43.600	00:10:46.720	9007	9070
00:10:46.730	00:10:49.700	9071	9127
00:10:49.710	00:10:52.880	9128	9186
00:10:52.890	00:10:55.600	9187	9240
00:10:55.610	00:10:59.190	9241	9305
00:10:59.200	00:11:01.970	9306	9375
00:11:01.980	00:11:05.740	9376	9427
00:11:05.750	00:11:08.920	9428	9486
00:11:08.930	00:11:10.850	9487	9536
00:11:10.860	00:11:13.500	9537	9598
00:11:13.510	00:11:17.340	9599	9664
00:11:17.350	00:11:20.340	9665	9719
00:11:20.350	00:11:23.650	9720	9780
00:11:23.660	00:11:26.270	9781	9852
00:11:26.280	00:11:27.880	9853	9896
00:11:27.890	00:11:31.210	9897	9958
00:11:31.220	00:11:34.420	9959	10011
00:11:34.430	00:11:36.610	10012	10065
00:11:36.620	00:11:40.520	10066	10142
00:11:40.530	00:11:43.130	10143	10197
00:11:43.140	00:11:45.430	10198	10246
00:11:45.440	00:11:50.210	10247	10311
00:11:50.220	00:11:53.880	10312	10381
00:11:53.890	00:11:55.450	10382	10438
00:11:55.460	00:11:59.110	10439	10491
00:11:59.120	00:12:01.400	10492	10541
00:12:01.410	00:12:03.720	10542	10616
00:12:03.730	00:12:06.580	10617	10670
00:12:06.590	00:12:12.050	10671	10734
00:12:12.060	00:12:15.570	10735	10779
00:12:15.580	00:12:18.960	10780	10840
00:12:18.970	00:12:21.850	10841	10891
00:12:21.860	00:12:24.290	10892	10954
00:12:24.300	00:12:27.130	10955	11021
00:12:27.140	00:12:29.900	11022	11076
00:12:29.910	00:12:32.730	11077	11146
00:12:32.740	00:12:36.920	11147	11201
00:12:36.930	00:12:40.200	11202	11260
