start	end	alignment-start	alignment-end
00:02:01.890	00:02:05.270	0	89
00:02:05.280	00:02:08.450	90	152
00:02:08.460	00:02:12.840	153	216
00:02:12.850	00:02:15.810	217	268
00:02:15.820	00:02:19.180	269	335
00:02:19.190	00:02:22.770	336	392
00:02:22.780	00:02:27.530	393	468
00:02:27.540	00:02:29.870	469	515
00:02:29.880	00:02:34.520	516	593
00:02:34.530	00:02:38.090	594	668
00:02:38.100	00:02:42.060	669	740
00:02:42.070	00:02:45.810	741	807
00:02:45.820	00:02:48.850	808	863
00:02:48.860	00:02:52.070	864	934
00:02:52.080	00:02:56.270	935	1011
00:02:56.280	00:02:58.550	1012	1060
00:02:58.560	00:03:21.260	1061	1142
00:03:21.270	00:03:24.200	1143	1196
00:03:24.210	00:03:27.710	1197	1262
00:03:27.720	00:03:31.660	1263	1335
00:03:31.670	00:03:34.750	1336	1388
00:03:34.760	00:03:37.530	1389	1447
00:03:37.540	00:03:41.470	1448	1515
00:03:41.480	00:03:45.530	1516	1578
00:03:45.540	00:03:48.490	1579	1638
00:03:48.500	00:03:50.520	1639	1685
00:03:50.530	00:03:54.160	1686	1745
00:03:54.170	00:03:58.320	1746	1813
00:03:58.330	00:04:03.120	1814	1893
00:04:03.130	00:04:06.240	1894	1968
00:04:06.250	00:04:09.710	1969	2030
00:04:09.720	00:04:13.230	2031	2088
00:04:13.240	00:04:16.350	2089	2150
00:04:16.360	00:04:20.650	2151	2228
00:04:20.660	00:04:25.580	2229	2305
00:04:25.590	00:04:28.750	2306	2363
00:04:28.760	00:04:33.930	2364	2423
00:04:33.940	00:04:37.030	2424	2479
00:04:37.040	00:04:40.760	2480	2539
00:04:40.770	00:04:44.560	2540	2599
00:04:44.570	00:04:47.190	2601	2651
00:04:47.200	00:04:50.510	2652	2714
00:04:50.520	00:04:53.130	2715	2760
00:04:53.140	00:04:57.110	2761	2829
00:04:57.120	00:05:00.040	2830	2885
00:05:00.050	00:05:04.330	2886	2948
00:05:04.340	00:05:07.790	2949	3004
00:05:07.800	00:05:10.750	3005	3059
00:05:10.760	00:05:14.760	3060	3133
00:05:14.770	00:05:19.420	3134	3210
00:05:19.430	00:05:22.990	3211	3272
00:05:23.000	00:05:26.770	3273	3331
00:05:26.780	00:05:34.230	3332	3466
00:05:34.240	00:05:39.560	3467	3526
00:05:39.570	00:05:43.730	3527	3578
00:05:43.740	00:05:49.550	3579	3650
00:05:49.560	00:05:53.400	3651	3700
00:05:53.410	00:05:59.120	3701	3756
00:05:59.130	00:06:02.960	3757	3828
00:06:02.970	00:06:06.750	3829	3884
00:06:06.760	00:06:10.710	3885	3942
00:06:10.720	00:06:14.200	3943	4006
00:06:14.210	00:06:17.020	4007	4065
00:06:17.030	00:06:21.150	4066	4124
00:06:21.160	00:06:25.170	4125	4187
00:06:25.180	00:06:28.000	4188	4243
00:06:28.010	00:06:30.740	4244	4298
00:06:30.750	00:06:33.730	4299	4361
00:06:33.740	00:06:37.520	4362	4423
00:06:37.530	00:06:41.530	4424	4496
00:06:41.540	00:06:44.490	4497	4552
00:06:44.500	00:06:47.610	4553	4614
00:06:47.620	00:06:50.600	4615	4667
00:06:50.610	00:06:54.570	4668	4733
00:06:54.580	00:06:57.590	4734	4824
00:06:57.600	00:06:59.760	4825	4874
00:06:59.770	00:07:02.490	4875	4928
00:07:02.500	00:07:05.060	4929	4975
00:07:05.070	00:07:08.030	4976	5034
00:07:08.040	00:07:09.980	5035	5089
00:07:09.990	00:07:11.990	5090	5149
00:07:12.000	00:07:14.100	5150	5212
00:07:14.110	00:07:16.820	5213	5283
00:07:16.830	00:07:20.750	5284	5345
00:07:20.760	00:07:24.400	5346	5409
00:07:24.410	00:07:28.170	5410	5460
00:07:28.180	00:07:32.440	5461	5530
00:07:32.450	00:07:36.460	5531	5599
00:07:36.470	00:07:39.670	5600	5666
00:07:39.680	00:07:44.320	5667	5729
00:07:44.330	00:07:47.930	5730	5799
00:07:47.940	00:07:51.020	5800	5850
00:07:51.030	00:07:56.760	5851	5955
00:07:56.770	00:08:00.250	5956	6024
00:08:00.260	00:08:04.720	6025	6088
00:08:04.730	00:08:08.010	6089	6157
00:08:08.020	00:08:11.930	6158	6222
00:08:11.940	00:08:16.580	6223	6295
00:08:16.590	00:08:19.780	6296	6362
00:08:19.790	00:08:22.120	6363	6405
00:08:22.130	00:08:25.900	6406	6483
00:08:25.910	00:08:29.520	6484	6541
00:08:29.530	00:08:32.860	6542	6597
00:08:32.870	00:08:35.710	6598	6659
00:08:35.720	00:08:39.010	6660	6714
00:08:39.020	00:08:41.570	6715	6772
00:08:41.580	00:08:45.920	6773	6849
00:08:45.930	00:08:48.880	6850	6905
00:08:48.890	00:08:52.770	6906	6977
00:08:52.780	00:08:55.420	6978	7033
00:08:55.430	00:08:58.790	7034	7080
00:08:58.800	00:09:00.580	7081	7120
00:09:00.590	00:09:04.260	7121	7181
00:09:04.270	00:09:07.880	7182	7232
00:09:07.890	00:09:10.850	7233	7293
00:09:10.860	00:09:15.580	7294	7385
00:09:15.590	00:09:18.550	7386	7440
00:09:18.560	00:09:22.790	7441	7504
00:09:22.800	00:09:26.680	7505	7571
00:09:26.690	00:09:29.510	7572	7631
00:09:29.520	00:09:34.450	7632	7662
00:09:34.460	00:09:37.190	7662	7673
00:09:37.200	00:09:42.140	7674	7733
00:09:42.150	00:09:46.630	7734	7813
00:09:46.640	00:09:49.630	7814	7864
00:09:49.640	00:09:52.520	7865	7917
00:09:52.530	00:10:00.840	7918	7968
00:10:00.850	00:10:03.920	7969	8023
00:10:03.930	00:10:06.680	8024	8077
00:10:06.690	00:10:09.850	8078	8129
00:10:09.860	00:10:14.280	8130	8200
00:10:14.290	00:10:18.960	8201	8284
00:10:18.970	00:10:23.110	8285	8347
00:10:23.120	00:10:26.840	8348	8405
