start	end	alignment-start	alignment-end
00:01:44.320	00:01:47.610	2	77
00:01:47.620	00:01:51.340	78	145
00:01:51.350	00:01:55.670	146	210
00:01:55.680	00:01:58.810	211	262
00:01:58.820	00:02:01.460	263	308
00:02:01.470	00:02:05.080	309	366
00:02:05.090	00:02:08.390	367	417
00:02:08.400	00:02:50.630	418	512
00:02:50.640	00:02:54.820	513	583
00:02:54.830	00:02:59.370	584	661
00:02:59.380	00:03:04.230	662	738
00:03:04.240	00:03:07.090	739	791
00:03:07.100	00:03:11.260	792	852
00:03:11.270	00:03:15.400	853	931
00:03:15.410	00:03:18.800	932	989
00:03:18.810	00:03:23.020	990	1054
00:03:23.030	00:03:26.480	1055	1111
00:03:26.490	00:03:29.890	1112	1172
00:03:29.900	00:03:35.470	1173	1230
00:03:35.480	00:03:40.020	1231	1292
00:03:40.030	00:03:46.330	1293	1377
00:03:46.340	00:03:49.220	1378	1428
00:03:49.230	00:03:54.540	1429	1490
00:03:54.550	00:03:58.280	1491	1555
00:03:58.290	00:04:04.060	1556	1604
00:04:04.070	00:04:08.100	1605	1651
00:04:08.110	00:04:12.600	1652	1724
00:04:12.610	00:04:16.360	1725	1781
00:04:16.370	00:04:19.510	1782	1844
00:04:19.520	00:04:22.570	1845	1900
00:04:22.580	00:04:27.480	1901	1978
00:04:27.490	00:04:29.960	1979	2028
00:04:29.970	00:04:33.630	2029	2094
00:04:33.640	00:04:38.380	2095	2168
00:04:38.390	00:04:41.690	2169	2222
00:04:41.700	00:04:45.240	2223	2285
00:04:45.250	00:04:49.780	2286	2363
00:04:49.790	00:04:54.440	2364	2430
00:04:54.450	00:04:57.970	2431	2491
00:04:57.980	00:05:04.200	2492	2571
00:05:04.210	00:05:10.250	2572	2623
00:05:10.260	00:05:15.170	2624	2688
00:05:15.180	00:05:19.810	2689	2743
00:05:19.820	00:05:25.500	2744	2800
00:05:25.510	00:05:27.750	2801	2860
00:05:27.760	00:05:33.000	2861	2918
00:05:33.010	00:05:37.290	2919	2978
00:05:37.300	00:05:42.620	2979	3055
00:05:42.630	00:05:45.840	3056	3105
00:05:45.850	00:05:49.260	3106	3162
00:05:49.270	00:05:53.750	3163	3234
00:05:53.760	00:05:57.490	3235	3293
00:05:57.500	00:06:00.710	3294	3362
00:06:00.720	00:06:03.700	3363	3416
00:06:03.710	00:06:07.330	3417	3476
00:06:07.340	00:06:11.900	3477	3551
00:06:11.910	00:06:14.910	3552	3607
