start	end	alignment-start	alignment-end
00:02:15.940	00:02:19.580	2	77
00:02:19.590	00:02:23.640	78	148
00:02:23.650	00:02:27.680	149	213
00:02:27.690	00:02:30.720	214	279
00:02:30.730	00:02:33.070	280	329
00:02:33.080	00:02:36.290	330	401
00:02:36.300	00:02:40.100	402	462
00:02:40.110	00:02:44.180	463	522
00:02:44.190	00:02:47.050	523	573
00:02:47.060	00:02:51.040	574	631
00:02:51.050	00:02:54.500	632	688
00:02:54.510	00:03:29.710	689	775
00:03:29.720	00:03:34.040	776	844
00:03:34.050	00:03:36.750	845	899
00:03:36.760	00:03:41.030	900	957
00:03:41.040	00:03:45.100	958	1046
00:03:45.110	00:03:50.830	1047	1125
00:03:50.840	00:03:53.640	1126	1180
00:03:53.650	00:03:59.040	1181	1245
00:03:59.050	00:04:04.490	1246	1312
00:04:04.500	00:04:09.020	1313	1381
00:04:09.030	00:04:13.620	1382	1446
00:04:13.630	00:04:16.960	1447	1512
00:04:16.970	00:04:21.760	1513	1580
00:04:21.770	00:04:26.410	1581	1659
00:04:26.420	00:04:30.360	1660	1723
00:04:30.370	00:04:33.510	1724	1777
00:04:33.520	00:04:36.560	1778	1831
00:04:36.570	00:04:40.830	1832	1892
00:04:40.840	00:04:44.750	1893	1959
00:04:44.760	00:04:48.620	1960	2022
00:04:48.630	00:04:52.360	2023	2087
00:04:52.370	00:04:57.290	2088	2167
00:04:57.300	00:05:00.780	2168	2225
00:05:00.790	00:05:03.160	2226	2280
00:05:03.170	00:05:05.600	2281	2324
00:05:05.610	00:05:10.220	2325	2401
00:05:10.230	00:05:13.690	2402	2459
00:05:13.700	00:05:17.740	2460	2527
00:05:17.750	00:05:23.730	2528	2654
00:05:23.740	00:05:25.890	2655	2698
00:05:25.900	00:05:29.230	2699	2757
00:05:29.240	00:05:36.370	2758	2818
00:05:36.380	00:05:40.450	2819	2882
00:05:40.460	00:05:44.250	2883	2954
00:05:44.260	00:05:47.060	2955	3011
00:05:47.070	00:05:51.120	3012	3069
00:05:51.130	00:05:54.530	3070	3131
00:05:54.540	00:06:00.940	3132	3262
00:06:00.950	00:06:07.770	3263	3333
00:06:07.780	00:06:12.560	3334	3401
00:06:12.570	00:06:16.180	3402	3469
00:06:16.190	00:06:26.590	3470	3612
00:06:26.600	00:06:28.780	3613	3659
00:06:28.790	00:06:37.940	3660	3735
00:06:37.950	00:06:41.620	3736	3798
00:06:41.630	00:06:45.860	3799	3850
00:06:45.870	00:06:52.500	3851	3937
00:06:52.510	00:06:55.510	3938	3999
00:06:55.520	00:06:58.200	4000	4059
00:06:58.210	00:07:03.860	4060	4114
00:07:03.870	00:07:05.950	4115	4162
00:07:05.960	00:07:09.220	4163	4228
00:07:09.230	00:07:13.040	4229	4297
00:07:13.050	00:07:19.500	4298	4373
00:07:19.510	00:07:22.920	4374	4438
00:07:22.930	00:07:29.830	4439	4510
00:07:29.840	00:07:33.060	4511	4574
00:07:33.070	00:07:36.250	4575	4635
00:07:36.260	00:07:40.820	4636	4703
00:07:40.830	00:07:43.500	4704	4759
