GUID,FRAME,ANNOTATIONS
cpb-aacip-507-rj48p5w80b,51030,",PRODUCED BY,LEWIS SILVERMAN
,REPORTER,JUNE CROSS"
cpb-aacip-507-rj48p5w80b,51045,DUPLICATE
cpb-aacip-507-rj48p5w80b,51060,DUPLICATE
cpb-aacip-507-rj48p5w80b,51075,DUPLICATE
cpb-aacip-507-rj48p5w80b,51090,DUPLICATE
cpb-aacip-507-rj48p5w80b,51105,DUPLICATE
cpb-aacip-507-rj48p5w80b,51120,DUPLICATE
cpb-aacip-507-rj48p5w80b,51135,DUPLICATE
cpb-aacip-507-rj48p5w80b,51150,DUPLICATE
cpb-aacip-507-rj48p5w80b,51165,DUPLICATE
cpb-aacip-507-rj48p5w80b,51180,DUPLICATE
cpb-aacip-507-rj48p5w80b,51195,DUPLICATE
cpb-aacip-507-rj48p5w80b,51210,DUPLICATE
cpb-aacip-507-rj48p5w80b,51225,DUPLICATE
cpb-aacip-507-rj48p5w80b,51240,DUPLICATE
cpb-aacip-507-rj48p5w80b,51255,DUPLICATE
cpb-aacip-507-rj48p5w80b,51270,",DIRECTED BY,MICK COLGAN"
cpb-aacip-507-rj48p5w80b,51285,DUPLICATE
cpb-aacip-507-rj48p5w80b,51300,DUPLICATE
cpb-aacip-507-rj48p5w80b,51315,DUPLICATE
cpb-aacip-507-rj48p5w80b,51330,DUPLICATE
cpb-aacip-507-rj48p5w80b,51345,DUPLICATE
cpb-aacip-507-rj48p5w80b,51360,DUPLICATE
cpb-aacip-507-rj48p5w80b,51375,DUPLICATE
cpb-aacip-507-rj48p5w80b,51900,not K-V
cpb-aacip-507-rj48p5w80b,51915,DUPLICATE
cpb-aacip-507-rj48p5w80b,51930,DUPLICATE
cpb-aacip-507-rj48p5w80b,51945,DUPLICATE
cpb-aacip-507-rj48p5w80b,51960,DUPLICATE
cpb-aacip-507-rj48p5w80b,51975,DUPLICATE
cpb-aacip-507-rj48p5w80b,51990,DUPLICATE
cpb-aacip-507-rj48p5w80b,52005,DUPLICATE
cpb-aacip-507-rj48p5w80b,52020,DUPLICATE
cpb-aacip-507-rj48p5w80b,52035,DUPLICATE
cpb-aacip-507-rj48p5w80b,52050,DUPLICATE
cpb-aacip-507-rj48p5w80b,52065,DUPLICATE
cpb-aacip-507-rj48p5w80b,52080,DUPLICATE
cpb-aacip-507-rj48p5w80b,52095,DUPLICATE
cpb-aacip-507-rj48p5w80b,52110,DUPLICATE
cpb-aacip-507-rj48p5w80b,52125,DUPLICATE
cpb-aacip-507-rj48p5w80b,52140,DUPLICATE
cpb-aacip-507-rj48p5w80b,52155,DUPLICATE
cpb-aacip-507-rj48p5w80b,52920,DUPLICATE
cpb-aacip-507-rj48p5w80b,52935,DUPLICATE
cpb-aacip-507-rj48p5w80b,52950,DUPLICATE
cpb-aacip-507-rj48p5w80b,52965,DUPLICATE
cpb-aacip-507-rj48p5w80b,52980,DUPLICATE
cpb-aacip-507-rj48p5w80b,52995,DUPLICATE
cpb-aacip-507-rj48p5w80b,53010,DUPLICATE
cpb-aacip-507-rj48p5w80b,53025,DUPLICATE
cpb-aacip-131-375tb64j,48570,no text in image
cpb-aacip-131-375tb64j,48585,",Managing Editor/Host,Matt Ryan"
cpb-aacip-131-375tb64j,48600,",Producer/Co-Host,Casey Seiler"
cpb-aacip-131-375tb64j,48615,",Director,Dave Povero"
cpb-aacip-131-375tb64j,48630,
cpb-aacip-131-375tb64j,48645,",Editor,Mike Melita
,Editor,Matt Ryan"
cpb-aacip-131-375tb64j,48660,",Studio Camera,Bill Forst*"
cpb-aacip-131-375tb64j,48675,",Studio Camera*,Bill Forst
,Studio Camera*,Dominick Figliomeni"
cpb-aacip-131-375tb64j,48690,",ENG Camera,Mike Melita"
cpb-aacip-131-375tb64j,48705,
cpb-aacip-131-375tb64j,48720,",Teleprompter,Leslie Thaxton"
cpb-aacip-131-375tb64j,48735,",CG Operator,Jayne Robinson*"
cpb-aacip-131-375tb64j,48750,",CG Operator*,Jayne Robinson"
cpb-aacip-131-375tb64j,48765,",Production Engineer,David Lastarza"
cpb-aacip-131-375tb64j,48780,",Audio,Mike Melita"
cpb-aacip-131-375tb64j,48795,
cpb-aacip-131-375tb64j,48810,",IT Support*,Michael Lumb
,IT Support*,Anthony Tassarotti"
cpb-aacip-131-375tb64j,48825,",Set Design,Creatator"
cpb-aacip-131-375tb64j,48840,
cpb-aacip-131-375tb64j,48855,",Production Manager,Dominick Figliomeni"
cpb-aacip-131-375tb64j,48870,",Production Assistance ,Ron McGowty
,Production Assistance ,Ken Girard*"
cpb-aacip-131-375tb64j,48885,
cpb-aacip-131-375tb64j,48900,
cpb-aacip-131-375tb64j,48915,",Executive in Charge of Production,Paul Hoagland"
cpb-aacip-131-375tb64j,48930,
cpb-aacip-131-375tb64j,48945,",The Public Broadcasting Stations of New York,WNED Buffalo
,The Public Broadcasting Stations of New York,WPRS Watertown*"
cpb-aacip-131-375tb64j,48960,
cpb-aacip-131-375tb64j,48975,
cpb-aacip-131-375tb64j,48990,
cpb-aacip-131-375tb64j,49005,not K-V
cpb-aacip-131-375tb64j,49020,DUPLICATE
cpb-aacip-131-375tb64j,49035,DUPLICATE
cpb-aacip-293-30prr83h,103230,no text in image
cpb-aacip-293-30prr83h,103245,DUPLICATE
cpb-aacip-293-30prr83h,103260,DUPLICATE
cpb-aacip-293-30prr83h,103275,DUPLICATE
cpb-aacip-293-30prr83h,103290,DUPLICATE
cpb-aacip-293-30prr83h,103305,DUPLICATE
cpb-aacip-293-30prr83h,103320,DUPLICATE
cpb-aacip-293-30prr83h,103335,DUPLICATE
cpb-aacip-293-30prr83h,103350,DUPLICATE
cpb-aacip-293-30prr83h,103365,DUPLICATE
cpb-aacip-293-30prr83h,103380,DUPLICATE
cpb-aacip-293-30prr83h,103395,DUPLICATE
cpb-aacip-293-30prr83h,94080,no text in image
cpb-aacip-293-30prr83h,94095,DUPLICATE
cpb-aacip-293-30prr83h,94110,DUPLICATE
cpb-aacip-293-30prr83h,94125,DUPLICATE
cpb-aacip-293-30prr83h,94140,DUPLICATE
cpb-aacip-293-30prr83h,94155,
cpb-aacip-259-4x54hm72,10830,DUPLICATE
cpb-aacip-259-4x54hm72,10845,DUPLICATE
cpb-aacip-259-4x54hm72,10860,DUPLICATE
cpb-aacip-259-4x54hm72,10875,DUPLICATE
cpb-aacip-259-4x54hm72,10890,DUPLICATE
cpb-aacip-259-4x54hm72,10905,DUPLICATE
cpb-aacip-259-4x54hm72,10920,DUPLICATE
cpb-aacip-259-4x54hm72,10935,DUPLICATE
cpb-aacip-259-4x54hm72,10950,DUPLICATE
cpb-aacip-259-4x54hm72,10965,DUPLICATE
cpb-aacip-259-4x54hm72,10980,DUPLICATE
cpb-aacip-259-4x54hm72,10995,DUPLICATE
cpb-aacip-259-4x54hm72,11010,DUPLICATE
