filename,seen,type label,subtype label,modifier,transcript,note
cpb-aacip-111-655dvd99_03697226_00018519_00018551.jpg,true,L,,false,,M: 0.45 Low confidence
cpb-aacip-111-655dvd99_03697226_00019019_00019019.jpg,true,L,,false,,M: 0.46 Low confidence
cpb-aacip-111-655dvd99_03697226_00019520_00019552.jpg,true,L,,false,,M: 0.75 Low confidence
cpb-aacip-111-655dvd99_03697226_00020020_00020020.jpg,true,L,,false,,M: 0.47 Low confidence
cpb-aacip-111-655dvd99_03697226_00021522_00021554.jpg,true,L,,true,,M: 0.49 Low confidence
cpb-aacip-111-655dvd99_03697226_00022022_00022022.jpg,true,L,,true,,S: 0.58 Low confidence
cpb-aacip-111-655dvd99_03697226_00023023_00023023.jpg,true,L,,false,,M: 0.76 Low confidence
cpb-aacip-111-655dvd99_03697226_00023524_00023556.jpg,true,L,,false,,S: 0.55 Low confidence
cpb-aacip-111-655dvd99_03697226_00025025_00025025.jpg,true,L,,false,,M: 0.91 Sandwich
cpb-aacip-111-655dvd99_03697226_00025526_00025558.jpg,true,L,,false,,L: 0.32 Low confidence
cpb-aacip-111-655dvd99_03697226_00026527_00026559.jpg,true,L,,false,,S: 0.70 Sandwich
cpb-aacip-111-655dvd99_03697226_00028028_00028028.jpg,true,L,,false,,L: 0.47 Low confidence
cpb-aacip-111-655dvd99_03697226_00029530_00029562.jpg,true,L,,false,,M: 0.44 Low confidence
cpb-aacip-111-655dvd99_03697226_00030030_00030030.jpg,true,L,,false,,M: 0.72 Low confidence
cpb-aacip-111-655dvd99_03697226_00030531_00030563.jpg,true,L,,false,,L: 0.58 Low confidence
cpb-aacip-111-655dvd99_03697226_00032032_00032065.jpg,true,L,,true,,M: 0.70 Low confidence
cpb-aacip-111-655dvd99_03697226_00035502_00035502.jpg,true,L,,false,,M: 0.63 Sandwich; Low confidence
cpb-aacip-111-655dvd99_03697226_00037504_00037504.jpg,true,L,,false,,M: 0.65 Sandwich; Low confidence
cpb-aacip-111-655dvd99_03697226_00039506_00039506.jpg,true,L,,false,,M: 0.47 Sandwich; Low confidence
cpb-aacip-111-655dvd99_03697226_00041008_00041041.jpg,true,L,,false,,G: 0.51 Sandwich; Low confidence
cpb-aacip-111-655dvd99_03697226_00052519_00052519.jpg,true,,,false,,NEG: 0.44 Low confidence
cpb-aacip-111-655dvd99_03697226_00119520_00119552.jpg,true,,,false,,NEG: 0.83 Sandwich
cpb-aacip-111-655dvd99_03697226_00121021_00121054.jpg,true,P,,false,,NEG: 0.88 Sandwich
cpb-aacip-111-655dvd99_03697226_00123524_00123556.jpg,true,,,false,,NEG: 0.62 Sandwich
cpb-aacip-111-655dvd99_03697226_00125025_00125058.jpg,true,P,,false,,NEG: 0.60 Sandwich
cpb-aacip-111-655dvd99_03697226_00141508_00141508.jpg,true,,,false,,M: 0.47 Low confidence
cpb-aacip-111-655dvd99_03697226_00146513_00146513.jpg,true,Y,,false,,M: 0.64 Low confidence
cpb-aacip-111-655dvd99_03697226_00147514_00147514.jpg,true,Y,,false,,NEG: 0.36 Low confidence
cpb-aacip-111-655dvd99_03697226_00148515_00148515.jpg,true,Y,,false,,M: 0.76 Low confidence
cpb-aacip-111-655dvd99_03697226_00164031_00164063.jpg,true,P,,false,,NEG: 0.98 Sandwich
cpb-aacip-111-655dvd99_03697226_00167501_00167534.jpg,true,P,,false,,NEG: 0.97 Sandwich
cpb-aacip-111-655dvd99_03697226_00170504_00170537.jpg,true,P,,false,,NEG: 0.71 Sandwich
cpb-aacip-111-655dvd99_03697226_00171505_00171538.jpg,true,P,,false,,NEG: 0.99 Sandwich
cpb-aacip-111-655dvd99_03697226_00172506_00172539.jpg,true,P,,false,,NEG: 0.55 Sandwich
cpb-aacip-111-655dvd99_03697226_00177010_00177010.jpg,true,P,,false,,NEG: 0.56 Sandwich
cpb-aacip-111-655dvd99_03697226_00178011_00178011.jpg,true,P,,false,,NEG: 0.98 Sandwich
cpb-aacip-111-655dvd99_03697226_00183517_00183550.jpg,true,P,,false,,NEG: 0.98 Sandwich
cpb-aacip-111-655dvd99_03697226_00186019_00186019.jpg,true,P,,false,,P: 0.55 Low confidence
cpb-aacip-111-655dvd99_03697226_00187521_00187554.jpg,true,P,,false,,NEG: 0.96 Sandwich
