start_time,end_time,text
213.7771,218.2771,CLIFFORD BLACK\nAmtrak Spokesman
399.7771,402.7771,Sen. ROBERT DOLE\nMinority Leader
420.0271,424.2771,Rep. RICHARD ARMEY\n(R) Texas
496.2771,500.0271,"Gen. JOHN SHALIKASHVILI\nChairman, Joint Chiefs of Staff-designate"
733.7771,738.0271,"Ruslan Khasbulatov\nChairman, Russian Parliament"
768.0271,771.7771,Alexander Rutskoi\nRussian Vice-President
941.0271,943.7771,IAN WILLIAMS\nITN
1204.7771,1208.7771,Rep. ROBERT MICHEL\nMinority Leader
1222.0271,1226.0271,Sen. ROBERT DOLE\nMinority Leader
1277.7771,1282.0271,JOSEPH CALIFANO\nFormer Carter Health Official
1325.0271,1329.0271,Dr. BERNADINE HEALY\nFormer Bush Health Official
1371.2771,1374.2771,JOSEPH CALIFANO\nFormer Carter Health Official
1444.2771,1448.7771,Dr. BERNADINE HEALY\nFormer Bush Health Official
1680.0271,1690.0271,Dr. BERNADINE HEALY\nFormer Bush Health Official
1714.5271,1718.2771,JOSEPH CALIFANO\nFormer Carter Health Official
1968.7771,1972.7771,Dr. BERNADINE HEALY\nFormer Bush Health Official
2025.2771,2029.5271,JOSEPH CALIFANO\nFormer Carter Health Official
2114.2771,2117.0271,JASON BOWMAN
2125.0271,2128.2771,JIM BOWMAN
2175.5271,2178.7771,BARBARA BOWMAN
2274.2771,2278.0271,DAVID EDWARDS\nKodak Spokesman
2368.7771,2373.2771,FRED De SAM LAZARO\nKTCA-TV
2404.7771,2406.7771,HOWARD BERMAN\nBlue Cross Blue Shield
2477.7771,2481.7771,Dr. DERACE SCHAFFER\nRadiologist
2548.7771,2553.2771,Dr. ROBERT BLENDON\nHarvard School of Public Health
2590.7771,2594.5271,BARBARA BOWMAN
2609.0271,2613.0271,JIM BOWMAN
2705.2771,2708.7771,MICHAEL O'NEILL\nAuthor
2901.0271,2905.5271,MICHAEL O'NEILL\nAuthor
3136.2771,3141.5271,MICHAEL O'NEILL\nAuthor
