start_time,end_time,text
205.2771,209.0271,"Raanan Gissin\nAdviser, Israeli Prime Minister"
243.0271,247.7771,Condoleezza Rice\nSecretary of State
514.2771,518.0271,"Josh Bolten\nDirector, Office of Management and Budget"
537.0271,540.2771,Kwame Holman
638.7771,642.2771,Rep. John Spratt\n(D) South Carolina
677.5271,682.7771,"Josh Bolten\nDirector, Office of Management and Budget"
722.2771,725.7771,Sen. Kent Conrad\n(D) North Dakota
755.5271,760.0271,Margaret Warner
789.7771,801.0271,Sen. Judd Gregg\n(R) New Hampshire
824.2771,838.0271,Sen. Kent Conrad\n(D) North Dakota
1006.2771,1021.5271,Sen. Kent Conrad\n(D) North Dakota
1089.7771,1104.7771,Sen. Judd Gregg\n(R) New Hampshire
1375.5271,1387.7771,Sen. Kent Conrad\n(D) North Dakota
1406.7771,1421.7771,Sen. Judd Gregg\n(R) New Hampshire
1559.7771,1577.0271,Sen. Kent Conrad\n(D) North Dakota
1629.7771,1635.7771,Ray Suarez
1791.2771,1802.2771,Dan Ephron\nNewsweek
1928.2771,1941.5271,Dan Ephron\nNewsweek
2120.7771,2124.7771,Dr. Ross Fletcher\nChief of Medical Staff\nWashington VA Medical Center
2161.0271,2164.7771,Susan Dentzer
2204.0271,2208.2771,Dr. Lucian Leape\nHarvard School of Public Health
2232.2771,2236.0271,Dr. Robert Wachter\nUCSF School of Medicine
2264.5271,2267.0271,"Dr. Jonathan Perlin\nActing Under Sec. for Health, VA"
2295.0271,2299.5271,"James Bagian\nDir, VA National Center for Patient Safety"
2546.5271,2550.5271,"Dr. Jonathan Perlin\nActing Under Sec. for Health, VA"
2807.5271,2811.0271,Terence Smith
2826.7771,2830.0271,John Feinstein\nSportswriter
3018.7771,3030.7771,John Feinstein\nSportswriter
3198.2771,3207.7771,John Feinstein\nSportswriter
