start_time,end_time,text
561.5271,566.2771,Donald Rumsfeld\nSecretary of Defense-designate
762.5271,767.0271,Gen. George Joulwan (Ret.)\nU.S. Army
825.2771,828.5271,John Isaacs\nCouncil for a Livable World
862.7771,867.7771,James Woolsey\nFormer CIA Director
906.7771,911.0271,James Woolsey\nFormer CIA Director
993.0271,997.7771,Gen. George Joulwan (Ret.)\nU.S. Army
1061.2771,1065.5271,John Isaacs\nCouncil for a Livable World
1136.0271,1140.2771,Gen. George Joulwan (Ret.)\nU.S. Army
1158.2771,1162.5271,James Woolsey\nFormer CIA Director
1245.0271,1250.0271,John Isaacs\nCouncil for a Livable World
1297.7771,1300.5271,James Woolsey\nFormer CIA Director
1349.0271,1353.7771,Gen. George Joulwan (Ret.)\nU.S. Army
1384.0271,1387.2771,John Isaacs\nCouncil for a Livable World
1421.5271,1425.7771,James Woolsey\nFormer CIA Director
1488.2771,1492.5271,Gen. George Joulwan (Ret.)\nU.S. Army
1664.7771,1669.7771,Paul Solman
1696.7771,1701.5271,"Vanessa Kirsch\nNew Profit, Inc."
1710.2771,1715.2771,"Kelly Fitzsimmons\nNew Profit, Inc."
1804.0271,1808.5271,Ned Rimer\nCitizen Schools
1883.7771,1889.0271,Robert Kaplan\nHarvard Business School
1996.5271,2001.7771,Aaron Lieberman\nJumpstart
2081.2771,2085.7771,"Kelly Fitzsimmons\nNew Profit, Inc."
2118.0271,2123.5271,"Vanessa Kirsch\nNew Profit, Inc."
2140.5271,2145.2771,Peter Karoff\nThe Philanthropic Initiative
2177.5271,2180.7771,Lawrencia Bannis\nCitizen Schools Graduate
2190.7771,2195.5271,Christopher Clark\nCitizen Schools Graduate
2234.0271,2238.2771,Robert Kaplan\nHarvard Business School
2399.0271,2403.7771,Joshua Muscat\nAmerican Health Foundation
2488.2771,2492.7771,Joshua Muscat\nAmerican Health Foundation
2557.7771,2562.5271,Susan Dentzer
2590.5271,2593.2771,Elizabeth Farnsworth
2615.7771,2619.7771,Richard Norton Smith\nPresidential Historian
2669.7771,2674.0271,Haynes Johnson\nJournalist/Author
2708.2771,2711.5271,Roger Wilkins\nGeorge Mason University
2784.2771,2788.0271,Michael Beschloss\nPresidential Historian
2868.0271,2873.5271,Richard Norton Smith\nPresidential Historian
2941.0271,2945.5271,Haynes Johnson\nJournalist/Author
2996.5271,2999.7771,Roger Wilkins\nGeorge Mason University
3077.7771,3080.5271,Richard Norton Smith\nPresidential Historian
3111.2771,3115.2771,Michael Beschloss\nPresidential Historian
3166.2771,3170.5271,Haynes Johnson\nJournalist/Author
3204.7771,3208.5271,Roger Wilkins\nGeorge Mason University
3231.2771,3236.2771,Richard Norton Smith\nPresidential Historian
3286.7771,3289.7771,Michael Beschloss\nPresidential Historian
