start_time,end_time,text
166.7771,172.5271,ROBERT MacNEIL
410.7771,417.5271,JIM LEHRER\nWASHINGTON
451.5271,460.2771,The Rev. JAMES RATIGAN\nNAT. FED. OF PRIESTS' COUNCILS
564.5271,568.7771,The Rev. JAMES RATIGAN\nNAT. FED. OF PRIESTS' COUNCILS
634.0271,636.5271,Msr. JAMES McHUGH\nU.S. CONF. OF BISHOPS
732.7771,735.2771,Msr. JAMES McHUGH\nU.S. CONF. OF BISHOPS
870.5271,878.2771,BETSY STENGEL\nRELIGIOUS COALITION\nFOR ABORTION RIGHTS
976.7771,982.0271,BETSY STENGEL\nRELIGIOUS COALITION\nFOR ABORTION RIGHTS
1113.7771,1119.5271,JEFFREY PRESSMAN\nM.I.T.
1277.2771,1282.2771,The Rev. JAMES RATIGAN\nNAT. FED. OF PRIESTS' COUNCILS
1344.2771,1348.5271,Msr. JAMES McHUGH\nU.S. CONF OF BISHOPS
1509.2771,1512.2771,JIM LEHRER\nWASHINGTON
1517.2771,1522.5271,BETSY STENGEL\nRELIGIOUS COALITION\nFOR ABORTION RIGHTS
1585.0271,1589.5271,JEFFREY PRESSMAN\nM.I.T.
