start_time,end_time,text
82.7771,85.7771,ROBERT MacNEIL\nNEW YORK
136.5271,139.7771,JIM LEHRER\nWASHINGTON
267.7771,272.2771,MARSHALL LOEB\nMONEY MAGAZINE
393.0271,397.2771,MARSHALL LOEB\nMONEY MAGAZINE
511.7771,516.0271,JOHN HARDIN\nSAVINGS BANKER
742.7771,755.7771,JOHN HARDIN\nSAVINGS BANKER
799.2771,804.2771,SANDRA McLAUGHLIN\nCOMMERCIAL BANKER
979.5271,983.7771,SANDRA McLAUGHLIN\nCOMMERCIAL BANKER
1200.5271,1205.2771,Sen. JAKE GARN\n(R) UTAH
1366.0271,1368.2771,Sen. JAKE GARN\n(R) UTAH
1458.0271,1462.0271,MARSHALL LOEB\nMONEY MAGAZINE
