start_time,end_time,text
226.2771,228.7771,"ROBERT GATES\nDirector, CIA"
325.2771,327.7771,Georgy Shakhnazarov\nSenior Gorbachev Aide
360.2771,363.0271,Andrei Grachev\nChief Presidential Spokesman
389.0271,391.2771,Eduard Shevardnadze\nSoviet Foreign Minister
1174.5271,1179.7771,"STEVEN BRILL\nPresident, Court TV"
1306.7771,1312.2771,"ELLEN HUME\nPress, Politics & Public Policy Center\nHarvard University"
1336.7771,1340.7771,"STEVEN BRILL\nPresident, Court TV"
1445.2771,1450.5271,ANN LEWIS\nPolitical Analyst
1534.5271,1540.7771,"ELLEN HUME\nPress, Politics & Public Policy Center\nHarvard University"
1632.5271,1637.2771,ANN LEWIS\nPolitical Analyst
1692.5271,1698.0271,"STEVEN BRILL\nPresident, Court TV"
1795.0271,1801.5271,SUSAN XENARIOS\nRape Counselor
1951.2771,1956.5271,SUSAN XENARIOS\nRape Counselor
2002.2771,2006.7771,ANN LEWIS\nPolitical Analyst
2104.7771,2109.0271,"ELLEN HUME\nPress, Politics & Public Policy Center\nHarvard University"
2141.0271,2144.2771,"STEVEN BRILL\nPresident, Court TV"
2179.5271,2184.0271,SUSAN XENARIOS\nRape Counselor
2320.5271,2324.0271,"ROBERT GATES\nDirector, CIA"
2481.7771,2486.2771,"ROBERT GATES\nDirector, CIA"
2688.0271,2692.0271,ED MIERZWINSKI\nPublic Interest Research Group
2767.5271,2771.7771,BARRY CONNELLY\nAssociated Credit Bureaus
2826.2771,2830.5271,URSULA DANIELS
2968.0271,2969.7771,SEYMOUR SHOR
3127.7771,3131.7771,JOHN BAKER\nEquifax
