start_time,end_time,text
324.5271,328.2771,"JOHN BRUTON\nPrime Minister, Ireland"
592.2771,597.5271,JOHN KORNBLUM\nActing Asst. Secretary of State
848.2771,853.0271,JOHN KORNBLUM\nActing Asst. Secretary of State
1034.5271,1038.7771,JOHN KORNBLUM\nActing Asst. Secretary of State
1298.2771,1300.5271,TONY BLAIR\nOpposition Party Leader
1320.0271,1323.2771,BRENDA FLEMING\nAccident and Emergency Consultant
1344.2771,1348.5271,ALEX THOMPSON\nITN
1362.2771,1366.0271,"JOHN MAJOR\nPrime Minister, Britain"
1407.5271,1411.7771,TONY BLAIR\nOpposition Party Leader
1506.0271,1509.2771,Rev. MOIRA HERKES\nDunblane Cathedral
1616.5271,1620.2771,Sen. ROBERT DOLE\nMajority Leader
1723.5271,1727.0271,Sen. KIT BOND\n(R) Missouri
1810.2771,1813.5271,Sen. TRENT LOTT\nMajority Whip
1825.0271,1828.7771,KWAME HOLMAN
1873.2771,1877.0271,Sen. PAUL WELLSTONE\n(D) Minnesota
1899.0271,1902.2771,"Rep. BOB LIVINGSTON\nChairman, Appropriations Committee"
1913.7771,1917.7771,Sen. TRENT LOTT\nMajority Whip
1971.7771,1977.0271,PAUL GIGOT\nWall Street Journal
2040.0271,2043.5271,MARK SHIELDS\nSyndicated Columnist
2242.2771,2246.7771,PAUL GIGOT\nWall Street Journal
2327.2771,2332.7771,MARK SHIELDS\nSyndicated Columnist
2601.0271,2604.7771,TERRY TEMPEST WILLIAMS\nEnvironmentalist
2643.0271,2646.7771,"Mayor PHILIP BIMSTEIN\nSpringdale, Utah"
2688.5271,2692.0271,LOUISE LISTON\nGarfield County Commissioner
2759.2771,2760.5271,ROGER HOLLAND\nCity Councilman
2811.2771,2814.2771,HARDY REDD
2839.2771,2842.7771,KEN SLEIGHT
2938.2771,2941.7771,LOUISE LISTON\nGarfield County Commissioner
2968.0271,2970.2771,Rep. JAMES HANSEN\n(R) Utah
2995.2771,2998.7771,JIM BACA
3058.2771,3061.5271,TERRY TEMPEST WILLIAMS\nEnvironmentalist
3092.0271,3094.2771,HARDY REDD
189.0271,192.5271,MIKE McCURRY\nWhite House Spokesman
