start_time,end_time,text
445.2771,448.7771,Dr. Scott McIvor\nGeneticist
578.0271,581.2771,Fred De Sam Lazaro\nKTCA
642.5271,646.2771,Dr. Scott McIvor\nGeneticist
771.5271,775.7771,Dr. Francis Collins\nHuman Genome Project
864.2771,868.5271,Steven Holtzman\nMillennium Pharmaceuticals
942.0271,945.5271,Mary Jo Ellis Kahn\nPatient Advocate
992.2771,997.0271,Patricia King\nGeorgetown Law School
1066.5271,1070.5271,Dr. Francis Collins\nHuman Genome Project
1126.2771,1130.7771,Steven Holtzman\nMillennium Pharmaceuticals
1193.5271,1198.0271,Mary Jo Ellis Kahn\nPatient Advocate
1328.5271,1334.5271,Patricia King\nGeorgetown Law School
1427.0271,1433.0271,Dr. Francis Collins\nHuman Genome Project
1504.7771,1510.0271,Steven Holtzman\nMillennium Pharmaceuticals
1590.7771,1596.7771,Patricia King\nGeorgetown Law School
1715.5271,1721.0271,Mary Jo Ellis Kahn\nPatient Advocate
1862.7771,1867.5271,Steve Kelley\nSan Diego Union-Tribune
1908.2771,1912.2771,Doug Marlette\nNewsday
1951.2771,1956.5271,Ann Telnaes\nNorth America Syndicate
1979.0271,1983.5271,Michael Ramirez\nMemphis Commercial Appeal
2090.7771,2095.7771,Ann Telnaes\nNorth America Syndicate
2121.7771,2125.7771,Doug Marlette\nNewsday
2284.0271,2288.5271,Steve Kelley\nSan Diego Union-Tribune
2315.2771,2320.0271,Michael Ramirez\nMemphis Commercial Appeal
2376.2771,2379.7771,Steve Kelley\nSan Diego Union-Tribune
2477.2771,2482.7771,Michael Ramirez\nMemphis Commercial Appeal
2510.5271,2516.0271,Ann Telnaes\nNorth America Syndicate
2557.7771,2562.5271,Doug Marlette\nNewssday
2607.2771,2612.5271,Steve Kelley\nSan Diego Union-Tribune
2724.7771,2729.7771,Ann Telnaes\nNorth America Syndicate
2765.2771,2769.0271,Steve Kelley\nSan Diego Union-Tribune
2785.2771,2790.7771,Doug Marlette\nNewsday
2824.0271,2828.7771,Michael Ramirez\nMemphis Commercial Appeal
2895.7771,2900.2771,Doug Marlette\nNewsday
2959.0271,2962.2771,Ann Telnaes\nNorth America Syndicate
2971.0271,2975.2771,Steve Kelley\nSan Diego Union-Tribune
3038.5271,3042.7771,Michael Ramirez\nMemphis Commercial Appeal
3092.7771,3097.2771,Richard Rodriguez\nPacific News Service
