start_time,end_time,text
142.7771,148.0271,"WASHINGTON, DC\nDAMIAN PALETTA\nTHE WASHINGTON POST"
212.0271,219.0271,"WASHINGTON, DC\nDAMIAN PALETTA\nTHE WASHINGTON POST"
341.0271,346.0271,"WASHINGTON, DC\nDAMIAN PALETTA\nTHE WASHINGTON POST"
463.5271,468.7771,"WASHINGTON, DC\nNAHAL TOOSI\nPOLITICO"
517.7771,523.5271,"WASHINGTON, DC\nNAHAL TOOSI\nPOLITICO"
568.0271,572.7771,"WASHINGTON, DC\nNAHAL TOOSI\nPOLITICO"
620.2771,627.2771,"WASHINGTON, DC\nNAHAL TOOSI\nPOLITICO"
674.7771,678.0271,HARI SREENIVASAN\n@HARI
768.0271,771.7771,KEVIN IRONS\nILLINOIS DEPT. OF NATURAL RESOURCES
861.2771,865.2771,JOEL BRAMMEIER\nALLIANCE FOR THE GREAT LAKES
964.0271,967.5271,CHUCK SHEA\nU.S. ARMY CORPS OF ENGINEERS
1081.0271,1085.2771,DEL WILKINS\nILLINOIS MARINE TOWING
1132.0271,1135.5271,LT. GOV. EVELYN SANGUINETTI\n(R) ILLINOIS
1196.0271,1200.0271,"CHARLIE GILPIN, JR.\nCOMMERCIAL FISHERMAN"
1262.7771,1266.0271,KEVIN IRONS\nILLINOIS DEPT. OF NATURAL RESOURCES
1300.7771,1304.7771,LT. GOV. EVELYN SANGUINETTI\n(R) ILLINOIS
