start_time,end_time,text
301.7771,305.2771,Rep. LEE HAMILTON\n(D) Indiana
405.7771,408.5271,Rep. EDWARD MARKEY\n(D) Massachusetts
434.5271,437.2771,Rep. ROBERT LAGOMARSINO\n(R) California
601.5271,607.0271,NINA TOTENBERG\nNational Public Radio
828.0271,832.2771,NINA TOTENBERG\nNational Public Radio
1022.7771,1025.5271,Rep. DAVID BONIOR\n(D) Michigan
1089.5271,1091.7771,Rep. TRENT LOTT\n(R) Mississippi
1095.5271,1098.2771,Rep. JUDD GREGG\n(R) New Hampshire
1100.7771,1103.0271,Rep. JON KYL\n(R) Arizona
1110.2771,1113.0271,Rep. JAMES TRAFICANT\n(D) Ohio
1168.0271,1170.7771,Rep. DUNCAN HUNTER\n(R) California
1189.5271,1193.7771,Rep. GEORGE MILLER\n(D) California
1243.2771,1247.0271,Rep. J. ALEX McMILLAN\n(R) North Carolina
1421.5271,1425.7771,PAUL SOLMAN
1708.7771,1711.5271,PAUL SOLMAN
1884.2771,1889.2771,DENIS WOODFIELD\nJohnson & Johnson Executive
1938.2771,1942.7771,CURT WILBUR\nLive For Life
2022.7771,2027.2771,JOHN HUGHES\nOccupational Medicine Specialist
2556.0271,2561.0271,MICHAEL O'CONNELL\nIndependent Drivers' Association
2670.7771,2676.2771,BRIAN O'NEILL\nInsurance Institute
2934.0271,2939.7771,MICHAEL O'CONNELL\nIndependent Drivers' Association
2948.0271,2953.7771,BRIAN O'NEILL\nInsurance Institute
