start_time,end_time,text
333.0271,336.7771,"Sen. PETE DOMENICI\nChairman, Budget Committee"
421.0271,426.5271,Voice Of\nLt. JIM KING\nOklahoma Highway Patrol
895.0271,902.7771,Sen. RICHARD LUGAR\n(R) Indiana
1000.5271,1005.2771,Sen. RICHARD LUGAR\n(R) Indiana
1206.0271,1210.7771,JOSEPH SISCO\nFormer Undersec'y of State
1255.0271,1260.0271,DONALD RUMSFELD\nFormer Sec'y of Defense
1328.5271,1334.5271,Rev. JESSE JACKSON
1469.2771,1474.2771,JOSEPH SISCO\nFormer Undersec'y of State
1523.0271,1528.0271,DONALD RUMSFELD\nFormer Sec'y of Defense
1666.0271,1670.2771,Rev. JESSE JACKSON
1893.2771,1899.7771,Sen. RICHARD LUGAR\n(R) Indiana
2056.0271,2060.0271,Sen. SLADE GORTON\n(R) Washington
2085.7771,2091.7771,Rep. BILL HEFNER\n(D) North Carolina
2113.0271,2118.2771,"Sen. PETE DOMENICI\nChairman, Budget Committee"
2141.0271,2144.2771,Sen. LAWTON CHILES\n(D) Florida
2154.7771,2159.0271,"Rep. WILLIAM GRAY\nChairman, Budget Committee"
2217.7771,2223.5271,"Sen. PETE DOMENICI\nChairman, Budget Committee"
2303.0271,2309.0271,Sen. WILLIAM ARMSTRONG\n(R) Colorado
2401.0271,2405.0271,Rep. WILLIAM GREY\n(D) Pennsylvania
2513.7771,2519.0271,Rep. WILLIAM GRAY\n(D) Pennsylvania
2650.5271,2656.7771,Sen. WILLIAM ARMSTRONG\n(R) Colorado
2960.7771,2967.7771,Sen. ROBERT PACKWOOD\n(R) OREGON
3199.5271,3207.0271,Sen. ROBERT PACKWOOD\n(R) OREGON
2803.756,2808.5271,REP. WLLIAM\nGRAY
2803.756,2808.5271,SEN. WILLIAM\nARMSTRONG
