start_time,end_time,text
220.7771,225.5271,George Mitchell\nU.S. Olympics Investigation
367.7771,372.0271,Khieu Samphan\nKhmer Rouge Defector
481.2771,485.0271,"Juan Antonio Samaranch\nPresident, International Olympic Cmte."
559.2771,564.7771,George Mitchell\nU.S. Olympics Investigation
661.5271,664.0271,Christine Brennan\nSports Writer
723.2771,727.7771,Howard Berkes\nNational Public Radio
771.5271,775.7771,Howard Berkes\nNational Public Radio
825.2771,828.5271,Christine Brennan\nSports Writer
927.5271,931.0271,Howard Berkes\nNational Public Radio
1012.7771,1014.5271,Christine Brennan\nSports Writer
1103.5271,1108.0271,Howard Berkes\nNational Public Radio
1232.0271,1233.5271,Christine Brennan\nSports Writer
1568.0271,1571.2771,Janet Abramovitz\nWorldwatch Institute
1652.7771,1655.0271,Janet Abramovitz\nWorldwatch Institute
1661.2771,1664.5271,John Clizbe\nAmerican Red Cross
1690.7771,1694.5271,John Clizbe\nAmerican Red Cross
1726.0271,1731.0271,Bob Watson\nWorld Bank
1757.5271,1763.0271,Bob Watson\nWorld Bank
1821.5271,1827.2771,Bob Watson\nWorld Bank
1882.5271,1886.7771,Janet Abramovitz\nWorldwatch Institute
1979.0271,1983.5271,Janet Abramovitz\nWorldwatch Institute
2035.5271,2039.2771,John Clizbe\nAmerican Red Cross
2075.2771,2080.0271,John Clizbe\nAmerican Red Cross
2142.7771,2147.0271,John Clizbe\nAmerican Red Cross
2250.0271,2254.5271,Bob Watson\nWorld Bank
2376.5271,2381.0271,Gray Russrock\nBoeing Machinist
2393.5271,2396.7771,Anthony Carson\nBoeing Machinist
2421.0271,2424.7771,"Alan Mulally\nPres., Boeing Commercial Airplane Div."
2460.5271,2465.0271,Jin Cho\nAsiana Airlines
2521.2771,2525.2771,"Charles Hill\nEconomist, University of Washington"
2581.0271,2585.0271,Tim Goree
2653.0271,2658.7771,"Charles Hill\nEconomist, University of Washington"
2684.7771,2688.7771,"Alan Mulally\nPres., Boeing Commercial Airplane Div."
2732.0271,2736.5271,Dick Conway\nEconomist
2812.2771,2817.0271,Terence Smith
2854.0271,2860.0271,"Henry Kamm\nAuthor, ""Cambodia: Report from\na Stricken Land"""
2946.0271,2952.5271,"Henry Kamm\nAuthor, ""Cambodia: Report from\na Stricken Land"""
2998.5271,3006.5271,"Henry Kamm\nAuthor, ""Cambodia: Report from\na Stricken Land"""
3140.0271,3147.0271,"Henry Kamm\nAuthor, ""Cambodia: Report from\na Stricken Land"""
3194.7771,3201.2771,"Henry Kamm\nAuthor, ""Cambodia: Report from\na Stricken Land"""
3259.0271,3265.2771,"Henry Kamm\nAuthor, ""Cambodia: Report from\na Stricken Land"""
3289.2771,3295.7771,"Henry Kamm\nAuthor, ""Cambodia: Report from\na Stricken Land"""
