start_time,end_time,text
317.0271,321.5271,Sen. BOB DOLE\n(R) KANSAS
395.2771,398.2771,WILLIAM McGOWAN\nMCI
485.2771,491.2771,MERRILL BROWN\nWASHINGTON POST
591.2771,595.5271,MERRILL BROWN\nWASHINGTON POST
687.7771,692.7771,MERRILL BROWN\nWASHINGTON POST
947.2771,952.0271,JOHN JACOB\nNATIONAL URBAN LEAGUE
1098.5271,1103.2771,JOHN JACOB\nNATIONAL URBAN LEAGUE
1256.5271,1262.2771,JOHN JACOB\nNATIONAL URBAN LEAGUE
1362.2771,1365.2771,Sen. JOHN DANFORTH\n(R) MISSOURI
1829.0271,1832.7771,SISTER THERESE
1862.7771,1867.5271,FATHER DAVID
2005.2771,2008.5271,SISTER MARIA
2582.5271,2588.2771,Dr. HOWARD ORY\nCENTERS FOR DISEASE CONTROL
2715.2771,2721.0271,Dr. HOWARD ORY\nCENTERS FOR DISEASE CONTROL
2798.7771,2804.2771,Dr. DIANA PETITTI\nUNIVERSITY OF CALIFORNIA
2932.2771,2937.0271,Dr. DIANA PETITTI\nUNIVERSITY OF CALIFORNIA
3048.2771,3053.5271,Dr. HOWARD ORY\nCENTERS FOR DISEASE CONTROL
3098.0271,3103.7771,Dr. DIANA PETITTI\nUNIVERSITY OF CALIFORNIA
3185.0271,3189.5271,Dr. DIANA PETITTI\nUNIVERSITY OF CALIFORNIA
3249.5271,3254.0271,Dr. HOWARD ORY\nCENTERS FOR DISEASE CONTROL
3344.5271,3347.0271,Dr. HOWARD ORY\nCENTERS FOR DISEASE CONTROL
3405.2771,3408.2771,Dr. GEORGE SCHALLER\nWORLD WILDLIFE FUND
