start_time,end_time,text
181.0271,184.5271,Sen. ROBERT DOLE\nMajority Leader
269.0271,271.5271,Rep. NEWT GINGRINCH\nSpeaker of the House
297.2771,300.7771,"Sen. PETE DOMENICI\nChairman, Budget Committee"
313.5271,316.7771,LEON PANETTA\nWhite House Chief of Staff
368.0271,372.2771,"Sen. ALFONSE D'AMATO\nChairman, Whitewater Committee"
407.7771,411.0271,Sen. PAUL SARBANES\n(D) Maryland
466.5271,468.7771,Rep. NEWT GINGRINCH\nSpeaker of the House
726.0271,730.2771,Sen. JOHN McCAIN\n(R) Arizona
872.5271,876.0271,Sen. JOHN McCAIN\n(R) Arizona
950.7771,955.2771,Sen. JOHN McCAIN\n(R) Arizona
1100.5271,1104.0271,Sen. JOHN McCAIN\n(R) Arizona
1189.2771,1193.2771,WARREN CHRISTOPHER\nSecretary of State
1243.7771,1247.0271,WILLIAM PERRY\nSecretary of Defense
1304.5271,1308.0271,Rep. ELTON GALLEGLY\n(R) California
1338.2771,1342.5271,Rep. TOBY ROTH\n(R) Wisconsin
1420.7771,1426.5271,Rep. DUNCAN HUNTER\n(R) California
1542.0271,1547.2771,RONALD STEEL\nUniversity of Southern California
1726.5271,1730.7771,DONALD KAGAN\nYale University
1875.5271,1880.2771,RONALD STEEL\nUniversity of Southern California
2033.0271,2038.2771,JOHN LUKACS\nChestnut Hill College
2191.2771,2193.5271,DONALD KAGAN\nYale University
2291.7771,2295.7771,RONALD STEEL\nUniversity of Southern California
2530.5271,2535.2771,Dr. CHRISTINE BERG\nGeorgetown University Medical Center
2692.5271,2697.0271,Dr. CHRISTINE BERG\nGeorgetown University Medical Center
2829.2771,2831.0271,DAVID GERGEN\nU.S. News & World Report
2842.5271,2847.7771,BILL GATES\nAuthor
3104.2771,3109.7771,"BILL GATES\n""The Road Ahead"""
