guid	anno_id	type	begin_offset	end_offset	text	wiki_url	qid
cpb-aacip-507-vm42r3pt6h-transcript.ann	T1	person	2	12	MR. LEHRER	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-vm42r3pt6h-transcript.ann	T2	organization	59	62	CIA	https://en.wikipedia.org/wiki/Central_Intelligence_Agency	https://www.wikidata.org/wiki/Q37230
cpb-aacip-507-vm42r3pt6h-transcript.ann	T3	person	63	77	Director Gates	https://en.wikipedia.org/wiki/Robert_Gates	https://www.wikidata.org/wiki/Q212979
cpb-aacip-507-vm42r3pt6h-transcript.ann	T4	organization	89	101	Soviet Union	https://en.wikipedia.org/wiki/Soviet_Union	https://www.wikidata.org/wiki/Q15180
cpb-aacip-507-vm42r3pt6h-transcript.ann	T5	person	160	186	Soviet President Gorbachev	https://en.wikipedia.org/wiki/Mikhail_Gorbachev	https://www.wikidata.org/wiki/Q30487
cpb-aacip-507-vm42r3pt6h-transcript.ann	T6	location	214	221	Mideast	https://en.wikipedia.org/wiki/Middle_East	https://www.wikidata.org/wiki/Q7204
cpb-aacip-507-vm42r3pt6h-transcript.ann	T7	location	245	255	Washington	https://en.wikipedia.org/wiki/Washington,_D.C.	https://www.wikidata.org/wiki/Q61
cpb-aacip-507-vm42r3pt6h-transcript.ann	T8	title	287	299	News Summary		
cpb-aacip-507-vm42r3pt6h-transcript.ann	T9	person	313	326	Judy Woodruff	https://en.wikipedia.org/wiki/Judy_Woodruff	https://www.wikidata.org/wiki/Q6304655
cpb-aacip-507-vm42r3pt6h-transcript.ann	T10	location	333	341	New York	https://en.wikipedia.org/wiki/New_York_City	https://www.wikidata.org/wiki/Q60
cpb-aacip-507-vm42r3pt6h-transcript.ann	T11	person	351	355	Judy	https://en.wikipedia.org/wiki/Judy_Woodruff	https://www.wikidata.org/wiki/Q6304655
cpb-aacip-507-vm42r3pt6h-transcript.ann	T12	person	359	371	MS. WOODRUFF	https://en.wikipedia.org/wiki/Judy_Woodruff	https://www.wikidata.org/wiki/Q6304655
cpb-aacip-507-vm42r3pt6h-transcript.ann	T13	title	380	388	NewsHour	https://en.wikipedia.org/wiki/PBS_NewsHour	https://www.wikidata.org/wiki/Q7118447
