guid	anno_id	type	begin_offset	end_offset	text	wiki_url	qid
cpb-aacip-507-4746q1t25k-transcript.ann	T1	person	2	12	GWEN IFILL	https://en.wikipedia.org/wiki/Gwen_Ifill	https://www.wikidata.org/wiki/Q5623430
cpb-aacip-507-4746q1t25k-transcript.ann	T2	person	32	42	Gwen Ifill	https://en.wikipedia.org/wiki/Gwen_Ifill	https://www.wikidata.org/wiki/Q5623430
cpb-aacip-507-4746q1t25k-transcript.ann	T3	person	44	54	Jim Lehrer	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-4746q1t25k-transcript.ann	T4	title	76	84	NewsHour	https://en.wikipedia.org/wiki/PBS_NewsHour	https://www.wikidata.org/wiki/Q7118447
cpb-aacip-507-4746q1t25k-transcript.ann	T5	person	94	104	Ray Suarez	https://en.wikipedia.org/wiki/Ray_Suarez	https://www.wikidata.org/wiki/Q7298172
cpb-aacip-507-4746q1t25k-transcript.ann	T6	organization	155	167	Bush cabinet	https://en.wikipedia.org/wiki/Presidency_of_George_H._W._Bush	https://www.wikidata.org/wiki/Q1719914
cpb-aacip-507-4746q1t25k-transcript.ann	T6	organization	155	167	Bush cabinet	https://en.wikipedia.org/wiki/Presidency_of_George_W._Bush	https://www.wikidata.org/wiki/Q1719918
cpb-aacip-507-4746q1t25k-transcript.ann	T7	person	253	273	Elizabeth Farnsworth	https://en.wikipedia.org/wiki/Elizabeth_Farnsworth	https://www.wikidata.org/wiki/Q5362750
cpb-aacip-507-4746q1t25k-transcript.ann	T8	location	361	367	Israel	https://en.wikipedia.org/wiki/Israel	https://www.wikidata.org/wiki/Q801
cpb-aacip-507-4746q1t25k-transcript.ann	T9	title	424	436	NEWS SUMMARY		
cpb-aacip-507-4746q1t25k-transcript.ann	T10	person	438	448	GWEN IFILL	https://en.wikipedia.org/wiki/Gwen_Ifill	https://www.wikidata.org/wiki/Q5623430
cpb-aacip-507-4746q1t25k-transcript.ann	T11	person	450	470	President-elect Bush	https://en.wikipedia.org/wiki/George_W._Bush	https://www.wikidata.org/wiki/Q207
cpb-aacip-507-4746q1t25k-transcript.ann	T12	person	524	556	Commerce Secretary Norman Mineta	https://en.wikipedia.org/wiki/Norman_Mineta	https://www.wikidata.org/wiki/Q553502
cpb-aacip-507-4746q1t25k-transcript.ann	T13	organization	570	595	Transportation Department	https://en.wikipedia.org/wiki/United_States_Department_of_Transportation	https://www.wikidata.org/wiki/Q852211
cpb-aacip-507-4746q1t25k-transcript.ann	T14	organization	620	641	Reagan administration	https://en.wikipedia.org/wiki/Presidency_of_Ronald_Reagan	https://www.wikidata.org/wiki/Q2824573
cpb-aacip-507-4746q1t25k-transcript.ann	T15	person	652	664	Linda Chavez	https://en.wikipedia.org/wiki/Linda_Chavez	https://www.wikidata.org/wiki/Q6551458
cpb-aacip-507-4746q1t25k-transcript.ann	T16	location	698	706	Michigan	https://en.wikipedia.org/wiki/Michigan	https://www.wikidata.org/wiki/Q1166
cpb-aacip-507-4746q1t25k-transcript.ann	T17	person	707	730	Senator Spencer Abraham	https://en.wikipedia.org/wiki/Spencer_Abraham	https://www.wikidata.org/wiki/Q1285613
cpb-aacip-507-4746q1t25k-transcript.ann	T18	person	811	841	PRESIDENT-ELECT GEORGE W. BUSH	https://en.wikipedia.org/wiki/George_W._Bush	https://www.wikidata.org/wiki/Q207
cpb-aacip-507-4746q1t25k-transcript.ann	T19	location	1348	1355	America	https://en.wikipedia.org/wiki/United_States	https://www.wikidata.org/wiki/Q30
cpb-aacip-507-4746q1t25k-transcript.ann	T20	person	1389	1399	GWEN IFILL	https://en.wikipedia.org/wiki/Gwen_Ifill	https://www.wikidata.org/wiki/Q5623430
cpb-aacip-507-4746q1t25k-transcript.ann	T21	title	1467	1479	News Summary		
cpb-aacip-507-4746q1t25k-transcript.ann	T22	person	1500	1506	Arafat	https://en.wikipedia.org/wiki/Yasser_Arafat	https://www.wikidata.org/wiki/Q34211
cpb-aacip-507-4746q1t25k-transcript.ann	T23	person	1516	1533	President Clinton	https://en.wikipedia.org/wiki/Bill_Clinton	https://www.wikidata.org/wiki/Q1124
