guid	anno_id	type	begin_offset	end_offset	text	wiki_url	qid
cpb-aacip-507-zw18k75z4h-transcript.ann	T1	person	4825	4833	Mr. LOEB	https://en.wikipedia.org/wiki/Marshall_Loeb	https://www.wikidata.org/wiki/Q6773687
cpb-aacip-507-zw18k75z4h-transcript.ann	T2	person	4756	4763	MacNEIL	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-zw18k75z4h-transcript.ann	T3	person	4298	4306	Mr. LOEB	https://en.wikipedia.org/wiki/Marshall_Loeb	https://www.wikidata.org/wiki/Q6773687
cpb-aacip-507-zw18k75z4h-transcript.ann	T4	person	4141	4148	MacNEIL	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-zw18k75z4h-transcript.ann	T5	person	3779	3787	Mr. LOEB	https://en.wikipedia.org/wiki/Marshall_Loeb	https://www.wikidata.org/wiki/Q6773687
cpb-aacip-507-zw18k75z4h-transcript.ann	T6	location	3658	3669	New England	https://en.wikipedia.org/wiki/New_England	https://www.wikidata.org/wiki/Q18389
cpb-aacip-507-zw18k75z4h-transcript.ann	T7	person	3638	3645	MacNEIL	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-zw18k75z4h-transcript.ann	T8	location	3617	3628	New England	https://en.wikipedia.org/wiki/New_England	https://www.wikidata.org/wiki/Q18389
cpb-aacip-507-zw18k75z4h-transcript.ann	T9	person	3599	3607	Mr. LOEB	https://en.wikipedia.org/wiki/Marshall_Loeb	https://www.wikidata.org/wiki/Q6773687
cpb-aacip-507-zw18k75z4h-transcript.ann	T10	location	3582	3590	New York	https://en.wikipedia.org/wiki/New_York_City	https://www.wikidata.org/wiki/Q60
cpb-aacip-507-zw18k75z4h-transcript.ann	T11	location	3567	3577	New Jersey	https://en.wikipedia.org/wiki/New_Jersey	https://www.wikidata.org/wiki/Q1408
cpb-aacip-507-zw18k75z4h-transcript.ann	T12	person	3510	3517	MacNEIL	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-zw18k75z4h-transcript.ann	T13	person	3055	3063	Mr. LOEB	https://en.wikipedia.org/wiki/Marshall_Loeb	https://www.wikidata.org/wiki/Q6773687
cpb-aacip-507-zw18k75z4h-transcript.ann	T14	person	2952	2959	MacNEIL	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-zw18k75z4h-transcript.ann	T15	person	2429	2434	Robin	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-zw18k75z4h-transcript.ann	T16	person	2400	2413	MARSHALL LOEB	https://en.wikipedia.org/wiki/Marshall_Loeb	https://www.wikidata.org/wiki/Q6773687
cpb-aacip-507-zw18k75z4h-transcript.ann	T17	person	2333	2341	Mr. Loeb	https://en.wikipedia.org/wiki/Marshall_Loeb	https://www.wikidata.org/wiki/Q6773687
cpb-aacip-507-zw18k75z4h-transcript.ann	T18	title	2317	2331	Money Magazine	https://en.wikipedia.org/wiki/Money_(magazine)	https://www.wikidata.org/wiki/Q825316
cpb-aacip-507-zw18k75z4h-transcript.ann	T19	person	2283	2296	Marshall Loeb	https://en.wikipedia.org/wiki/Marshall_Loeb	https://www.wikidata.org/wiki/Q6773687
cpb-aacip-507-zw18k75z4h-transcript.ann	T20	person	2184	2191	MacNEIL	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-zw18k75z4h-transcript.ann	T21	person	2176	2181	Robin	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-zw18k75z4h-transcript.ann	T22	organization	2124	2132	Congress	https://en.wikipedia.org/wiki/United_States_Congress	https://www.wikidata.org/wiki/Q11268
cpb-aacip-507-zw18k75z4h-transcript.ann	T23	title	2043	2112	Depository Institutions Deregulation and Monetary Control Act of 1980	https://en.wikipedia.org/wiki/Depository_Institutions_Deregulation_and_Monetary_Control_Act	https://www.wikidata.org/wiki/Q5260790
cpb-aacip-507-zw18k75z4h-transcript.ann	T24	person	977	982	Robin	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-zw18k75z4h-transcript.ann	T25	person	965	975	JIM LEHRER	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-zw18k75z4h-transcript.ann	T26	person	959	962	Jim	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-zw18k75z4h-transcript.ann	T27	person	0	14	ROBERT MacNEIL	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-zw18k75z4h-transcript.ann	T28	person	9161	9171	Mr. HARDIN		
cpb-aacip-507-zw18k75z4h-transcript.ann	T29	person	9000	9006	LEHRER	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-zw18k75z4h-transcript.ann	T30	person	8559	8569	Mr. HARDIN		
cpb-aacip-507-zw18k75z4h-transcript.ann	T31	person	8483	8489	LEHRER	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-zw18k75z4h-transcript.ann	T32	person	8160	8168	Mr. Loeb	https://en.wikipedia.org/wiki/Marshall_Loeb	https://www.wikidata.org/wiki/Q6773687
cpb-aacip-507-zw18k75z4h-transcript.ann	T33	person	8122	8132	Mr. HARDIN		
cpb-aacip-507-zw18k75z4h-transcript.ann	T34	person	7985	7991	LEHRER	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-zw18k75z4h-transcript.ann	T35	person	7618	7628	Mr. HARDIN		
cpb-aacip-507-zw18k75z4h-transcript.ann	T36	person	7516	7522	LEHRER	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-zw18k75z4h-transcript.ann	T37	person	7462	7474	Senator Garn	https://en.wikipedia.org/wiki/Jake_Garn	https://www.wikidata.org/wiki/Q519256
cpb-aacip-507-zw18k75z4h-transcript.ann	T38	person	7166	7176	Mr. HARDIN		
cpb-aacip-507-zw18k75z4h-transcript.ann	T39	person	7118	7124	LEHRER	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-zw18k75z4h-transcript.ann	T40	person	6636	6646	Mr. Lehrer	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-zw18k75z4h-transcript.ann	T41	person	6447	6458	JOHN HARDIN		
cpb-aacip-507-zw18k75z4h-transcript.ann	T42	person	6434	6444	Mr. Hardin		
cpb-aacip-507-zw18k75z4h-transcript.ann	T43	organization	6371	6406	U.S. League of Savings Associations		
cpb-aacip-507-zw18k75z4h-transcript.ann	T44	location	6271	6296	Rock Hill, South Carolina	https://en.wikipedia.org/wiki/Rock_Hill,_South_Carolina	https://www.wikidata.org/wiki/Q960774
cpb-aacip-507-zw18k75z4h-transcript.ann	T45	organization	6237	6267	First Federal Savings and Loan		
cpb-aacip-507-zw18k75z4h-transcript.ann	T46	person	6173	6184	John Hardin		
cpb-aacip-507-zw18k75z4h-transcript.ann	T47	person	6003	6009	LEHRER	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-zw18k75z4h-transcript.ann	T48	person	5997	6000	Jim	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-zw18k75z4h-transcript.ann	T49	person	5972	5979	MacNEIL	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-zw18k75z4h-transcript.ann	T50	person	5228	5236	Mr. LOEB	https://en.wikipedia.org/wiki/Marshall_Loeb	https://www.wikidata.org/wiki/Q6773687
cpb-aacip-507-zw18k75z4h-transcript.ann	T51	person	4971	4978	MacNEIL	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-zw18k75z4h-transcript.ann	T52	title	12881	12886	reg Q	https://en.wikipedia.org/wiki/Regulation_Q	https://www.wikidata.org/wiki/Q7309652
cpb-aacip-507-zw18k75z4h-transcript.ann	T53	person	12697	12707	Mr. Hardin		
cpb-aacip-507-zw18k75z4h-transcript.ann	T54	title	12644	12649	reg Q	https://en.wikipedia.org/wiki/Regulation_Q	https://www.wikidata.org/wiki/Q7309652
cpb-aacip-507-zw18k75z4h-transcript.ann	T55	organization	12306	12317	Mellon Bank	https://en.wikipedia.org/wiki/Mellon_Financial	https://www.wikidata.org/wiki/Q3305204
cpb-aacip-507-zw18k75z4h-transcript.ann	T56	person	12252	12257	Robin	https://en.wikipedia.org/wiki/Robert_MacNeil	https://www.wikidata.org/wiki/Q573648
cpb-aacip-507-zw18k75z4h-transcript.ann	T57	person	12218	12235	SANDRA MCLOUGHLIN		
cpb-aacip-507-zw18k75z4h-transcript.ann	T58	person	12144	12158	Ms. McLoughlin		
cpb-aacip-507-zw18k75z4h-transcript.ann	T59	organization	12080	12108	American Bankers Association	https://en.wikipedia.org/wiki/American_Bankers_Association	https://www.wikidata.org/wiki/Q4743131
cpb-aacip-507-zw18k75z4h-transcript.ann	T60	person	12028	12042	Ms. McLoughlin		
cpb-aacip-507-zw18k75z4h-transcript.ann	T61	organization	11976	11987	Mellon Bank	https://en.wikipedia.org/wiki/Mellon_Financial	https://www.wikidata.org/wiki/Q3305204
cpb-aacip-507-zw18k75z4h-transcript.ann	T62	location	11963	11973	Pittsburgh	https://en.wikipedia.org/wiki/Pittsburgh	https://www.wikidata.org/wiki/Q1342
