guid	anno_id	type	begin_offset	end_offset	text	wiki_url	qid
cpb-aacip-507-1v5bc3tf81-transcript.ann	T1	person	2	12	JIM LEHRER	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-1v5bc3tf81-transcript.ann	T2	person	32	42	Jim Lehrer	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-1v5bc3tf81-transcript.ann	T3	title	51	59	NewsHour	https://en.wikipedia.org/wiki/PBS_NewsHour	https://www.wikidata.org/wiki/Q7118447
cpb-aacip-507-1v5bc3tf81-transcript.ann	T4	event	84	121	Salt Lake City Olympics investigation	https://en.wikipedia.org/wiki/2002_Winter_Olympic_bid_scandal	https://www.wikidata.org/wiki/Q3081777
cpb-aacip-507-1v5bc3tf81-transcript.ann	T5	organization	235	241	Boeing	https://en.wikipedia.org/wiki/Boeing	https://www.wikidata.org/wiki/Q66
cpb-aacip-507-1v5bc3tf81-transcript.ann	T6	location	245	252	Seattle	https://en.wikipedia.org/wiki/Seattle	https://www.wikidata.org/wiki/Q5083
cpb-aacip-507-1v5bc3tf81-transcript.ann	T7	location	279	287	Cambodia	https://en.wikipedia.org/wiki/Cambodia	https://www.wikidata.org/wiki/Q424
cpb-aacip-507-1v5bc3tf81-transcript.ann	T8	person	323	333	Henry Kamm	https://en.wikipedia.org/wiki/Henry_Kamm	https://www.wikidata.org/wiki/Q5724205
cpb-aacip-507-1v5bc3tf81-transcript.ann	T9	title	389	401	NEWS SUMMARY		
cpb-aacip-507-1v5bc3tf81-transcript.ann	T10	person	403	413	JIM LEHRER	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-1v5bc3tf81-transcript.ann	T11	location	486	500	Salt Lake City	https://en.wikipedia.org/wiki/Salt_Lake_City	https://www.wikidata.org/wiki/Q23337
cpb-aacip-507-1v5bc3tf81-transcript.ann	T12	event	509	534	2002 Winter Olympic Games	https://en.wikipedia.org/wiki/2002_Winter_Olympics	https://www.wikidata.org/wiki/Q9668
cpb-aacip-507-1v5bc3tf81-transcript.ann	T13	organization	584	606	U.S. Olympic Committee	https://en.wikipedia.org/wiki/United_States_Olympic_%26_Paralympic_Committee	https://www.wikidata.org/wiki/Q1418438
cpb-aacip-507-1v5bc3tf81-transcript.ann	T14	location	638	652	Salt Lake City	https://en.wikipedia.org/wiki/Salt_Lake_City	https://www.wikidata.org/wiki/Q23337
cpb-aacip-507-1v5bc3tf81-transcript.ann	T15	organization	685	716	International Olympic Committee	https://en.wikipedia.org/wiki/International_Olympic_Committee	https://www.wikidata.org/wiki/Q40970
cpb-aacip-507-1v5bc3tf81-transcript.ann	T16	organization	786	789	IOC	https://en.wikipedia.org/wiki/International_Olympic_Committee	https://www.wikidata.org/wiki/Q40970
cpb-aacip-507-1v5bc3tf81-transcript.ann	T17	location	911	921	Washington	https://en.wikipedia.org/wiki/Washington,_D.C.	https://www.wikidata.org/wiki/Q61
cpb-aacip-507-1v5bc3tf81-transcript.ann	T18	organization	836	842	Senate	https://en.wikipedia.org/wiki/United_States_Senate	https://www.wikidata.org/wiki/Q66096
cpb-aacip-507-1v5bc3tf81-transcript.ann	T19	person	859	874	George Mitchell	https://en.wikipedia.org/wiki/George_J._Mitchell	https://www.wikidata.org/wiki/Q368920
cpb-aacip-507-1v5bc3tf81-transcript.ann	T20	person	965	980	GEORGE MITCHELL	https://en.wikipedia.org/wiki/George_J._Mitchell	https://www.wikidata.org/wiki/Q368920
cpb-aacip-507-1v5bc3tf81-transcript.ann	T21	person	1445	1455	JIM LEHRER	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-1v5bc3tf81-transcript.ann	T22	title	1503	1515	News Summary		
cpb-aacip-507-1v5bc3tf81-transcript.ann	T23	location	1551	1560	Northwest	https://en.wikipedia.org/wiki/Northwestern_United_States	https://www.wikidata.org/wiki/Q944857
cpb-aacip-507-1v5bc3tf81-transcript.ann	T24	location	1631	1637	Oregon	https://en.wikipedia.org/wiki/Oregon	https://www.wikidata.org/wiki/Q824
cpb-aacip-507-1v5bc3tf81-transcript.ann	T25	location	1642	1652	Washington	https://en.wikipedia.org/wiki/Washington,_D.C.	https://www.wikidata.org/wiki/Q61
cpb-aacip-507-1v5bc3tf81-transcript.ann	T26	organization	1654	1665	Coast Guard	https://en.wikipedia.org/wiki/United_States_Coast_Guard	https://www.wikidata.org/wiki/Q11224
cpb-aacip-507-1v5bc3tf81-transcript.ann	T27	location	1712	1718	Oregon	https://en.wikipedia.org/wiki/Oregon	https://www.wikidata.org/wiki/Q824
cpb-aacip-507-1v5bc3tf81-transcript.ann	T28	location	1755	1771	Washington State	https://en.wikipedia.org/wiki/Washington_(state)	https://www.wikidata.org/wiki/Q1223
cpb-aacip-507-1v5bc3tf81-transcript.ann	T29	location	1831	1840	Southeast	https://en.wikipedia.org/wiki/Southeastern_United_States	https://www.wikidata.org/wiki/Q1139046
cpb-aacip-507-1v5bc3tf81-transcript.ann	T30	location	1899	1907	Virginia	https://en.wikipedia.org/wiki/Virginia	https://www.wikidata.org/wiki/Q1370
cpb-aacip-507-1v5bc3tf81-transcript.ann	T31	location	2132	2137	Yemen	https://en.wikipedia.org/wiki/Yemen	https://www.wikidata.org/wiki/Q805
cpb-aacip-507-1v5bc3tf81-transcript.ann	T32	location	2165	2182	Arabian peninsula	https://en.wikipedia.org/wiki/Arabian_Peninsula	https://www.wikidata.org/wiki/Q31945
cpb-aacip-507-1v5bc3tf81-transcript.ann	T33	location	2462	2466	U.S.	https://en.wikipedia.org/wiki/United_States	https://www.wikidata.org/wiki/Q30
cpb-aacip-507-1v5bc3tf81-transcript.ann	T34	location	2551	2564	United States	https://en.wikipedia.org/wiki/United_States	https://www.wikidata.org/wiki/Q30
cpb-aacip-507-1v5bc3tf81-transcript.ann	T35	location	2582	2587	China	https://en.wikipedia.org/wiki/China	https://www.wikidata.org/wiki/Q148
cpb-aacip-507-1v5bc3tf81-transcript.ann	T36	location	2648	2672	Chinese foreign ministry	https://en.wikipedia.org/wiki/Ministry_of_Foreign_Affairs_of_the_People's_Republic_of_China	https://www.wikidata.org/wiki/Q1155502
cpb-aacip-507-1v5bc3tf81-transcript.ann	T37	location	2707	2712	China	https://en.wikipedia.org/wiki/China	https://www.wikidata.org/wiki/Q148
cpb-aacip-507-1v5bc3tf81-transcript.ann	T38	location	2760	2769	Hong Kong	https://en.wikipedia.org/wiki/Hong_Kong	https://www.wikidata.org/wiki/Q8646
cpb-aacip-507-1v5bc3tf81-transcript.ann	T39	location	2952	2960	Cambodia	https://en.wikipedia.org/wiki/Cambodia	https://www.wikidata.org/wiki/Q424
cpb-aacip-507-1v5bc3tf81-transcript.ann	T40	organization	3003	3014	Khmer Rouge	https://en.wikipedia.org/wiki/Khmer_Rouge	https://www.wikidata.org/wiki/Q191764
cpb-aacip-507-1v5bc3tf81-transcript.ann	T41	person	3058	3066	Paul Pot	https://en.wikipedia.org/wiki/Pol_Pot	https://www.wikidata.org/wiki/Q39464
cpb-aacip-507-1v5bc3tf81-transcript.ann	T42	organization	3157	3168	Khmer Rouge	https://en.wikipedia.org/wiki/Khmer_Rouge	https://www.wikidata.org/wiki/Q191764
cpb-aacip-507-1v5bc3tf81-transcript.ann	T43	person	3221	3243	Prime Minister Hun Sen	https://en.wikipedia.org/wiki/Hun_Sen	https://www.wikidata.org/wiki/Q57788
cpb-aacip-507-1v5bc3tf81-transcript.ann	T44	person	3547	3557	JIM LEHRER	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
