guid	anno_id	type	begin_offset	end_offset	text	wiki_url	qid
cpb-aacip-507-nk3610wp6s-transcript.ann	T1	person	2	12	MR. LEHRER	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-nk3610wp6s-transcript.ann	T2	person	32	42	Jim Lehrer	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-nk3610wp6s-transcript.ann	T3	title	51	59	NewsHour	https://en.wikipedia.org/wiki/PBS_NewsHour	https://www.wikidata.org/wiki/Q7118447
cpb-aacip-507-nk3610wp6s-transcript.ann	T4	organization	73	87	Bosnia mission	https://en.wikipedia.org/wiki/United_Nations_Mission_in_Bosnia_and_Herzegovina	https://www.wikidata.org/wiki/Q487377
cpb-aacip-507-nk3610wp6s-transcript.ann	T5	person	89	109	Elizabeth Farnsworth	https://en.wikipedia.org/wiki/Elizabeth_Farnsworth	https://www.wikidata.org/wiki/Q5362750
cpb-aacip-507-nk3610wp6s-transcript.ann	T6	person	121	132	Sen. McCain	https://en.wikipedia.org/wiki/John_McCain	https://www.wikidata.org/wiki/Q10390
cpb-aacip-507-nk3610wp6s-transcript.ann	T7	person	290	312	Charlayne Hunter-Gault	https://en.wikipedia.org/wiki/Charlayne_Hunter-Gault	https://www.wikidata.org/wiki/Q5074602
cpb-aacip-507-nk3610wp6s-transcript.ann	T8	person	322	340	Dr. Christine Byrd		
cpb-aacip-507-nk3610wp6s-transcript.ann	T9	person	378	390	David Gergen	https://en.wikipedia.org/wiki/David_Gergen	https://www.wikidata.org/wiki/Q3701575
cpb-aacip-507-nk3610wp6s-transcript.ann	T10	person	411	421	Bill Gates	https://en.wikipedia.org/wiki/Bill_Gates	https://www.wikidata.org/wiki/Q5284
cpb-aacip-507-nk3610wp6s-transcript.ann	T11	title	477	489	NEWS SUMMARY		
cpb-aacip-507-nk3610wp6s-transcript.ann	T12	location	218	231	United States	https://en.wikipedia.org/wiki/United_States	https://www.wikidata.org/wiki/Q30
cpb-aacip-507-nk3610wp6s-transcript.ann	T13	person	492	502	MR. LEHRER	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-nk3610wp6s-transcript.ann	T14	organization	511	522	Republicans	https://en.wikipedia.org/wiki/Republican_Party_(United_States)	https://www.wikidata.org/wiki/Q29468
cpb-aacip-507-nk3610wp6s-transcript.ann	T15	location	571	575	U.S.	https://en.wikipedia.org/wiki/United_States	https://www.wikidata.org/wiki/Q30
cpb-aacip-507-nk3610wp6s-transcript.ann	T16	location	586	592	Bosnia	https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina	https://www.wikidata.org/wiki/Q225
cpb-aacip-507-nk3610wp6s-transcript.ann	T17	person	610	618	Bob Dole	https://en.wikipedia.org/wiki/Bob_Dole	https://www.wikidata.org/wiki/Q319079
cpb-aacip-507-nk3610wp6s-transcript.ann	T18	person	689	705	SEN. ROBERT DOLE	https://en.wikipedia.org/wiki/Bob_Dole	https://www.wikidata.org/wiki/Q319079
cpb-aacip-507-nk3610wp6s-transcript.ann	T19	location	992	1005	United States	https://en.wikipedia.org/wiki/United_States	https://www.wikidata.org/wiki/Q30
cpb-aacip-507-nk3610wp6s-transcript.ann	T20	person	1276	1286	MR. LEHRER	https://en.wikipedia.org/wiki/Jim_Lehrer	https://www.wikidata.org/wiki/Q931148
cpb-aacip-507-nk3610wp6s-transcript.ann	T21	title	1305	1317	News Summary		
cpb-aacip-507-nk3610wp6s-transcript.ann	T22	title	1332	1341	Newsmaker		
cpb-aacip-507-nk3610wp6s-transcript.ann	T23	person	1357	1373	Sen. John McCain	https://en.wikipedia.org/wiki/John_McCain	https://www.wikidata.org/wiki/Q10390
cpb-aacip-507-nk3610wp6s-transcript.ann	T24	location	1379	1386	Arizona	https://en.wikipedia.org/wiki/Arizona	https://www.wikidata.org/wiki/Q816
cpb-aacip-507-nk3610wp6s-transcript.ann	T25	person	1413	1422	Sen. Dole	https://en.wikipedia.org/wiki/Bob_Dole	https://www.wikidata.org/wiki/Q319079
cpb-aacip-507-nk3610wp6s-transcript.ann	T26	organization	631	637	Senate	https://en.wikipedia.org/wiki/United_States_Senate	https://www.wikidata.org/wiki/Q66096
cpb-aacip-507-nk3610wp6s-transcript.ann	T27	organization	1430	1436	Senate	https://en.wikipedia.org/wiki/United_States_Senate	https://www.wikidata.org/wiki/Q66096
cpb-aacip-507-nk3610wp6s-transcript.ann	T28	organization	1457	1462	House	https://en.wikipedia.org/wiki/United_States_House_of_Representatives	https://www.wikidata.org/wiki/Q11701
cpb-aacip-507-nk3610wp6s-transcript.ann	T29	location	1531	1535	U.S.	https://en.wikipedia.org/wiki/United_States	https://www.wikidata.org/wiki/Q30
cpb-aacip-507-nk3610wp6s-transcript.ann	T30	location	1546	1552	Bosnia	https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina	https://www.wikidata.org/wiki/Q225
cpb-aacip-507-nk3610wp6s-transcript.ann	T31	person	1607	1632	Sec. of State Christopher	https://en.wikipedia.org/wiki/Warren_Christopher	https://www.wikidata.org/wiki/Q294358
cpb-aacip-507-nk3610wp6s-transcript.ann	T32	person	1634	1652	Defense Sec. Perry	https://en.wikipedia.org/wiki/William_J._Perry	https://www.wikidata.org/wiki/Q539791
cpb-aacip-507-nk3610wp6s-transcript.ann	T33	person	1658	1693	Joint Chiefs Chairman Shalikashvili	https://en.wikipedia.org/wiki/John_Shalikashvili	https://www.wikidata.org/wiki/Q471428
cpb-aacip-507-nk3610wp6s-transcript.ann	T34	location	1747	1753	Bosnia	https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina	https://www.wikidata.org/wiki/Q225
cpb-aacip-507-nk3610wp6s-transcript.ann	T35	person	1777	1783	McCain	https://en.wikipedia.org/wiki/John_McCain	https://www.wikidata.org/wiki/Q10390
cpb-aacip-507-nk3610wp6s-transcript.ann	T36	title	1784	1793	Newsmaker		
cpb-aacip-507-nk3610wp6s-transcript.ann	T37	person	1986	1998	Kwame Holman	https://en.wikipedia.org/wiki/Kwame_Holman	https://www.wikidata.org/wiki/Q50410244
cpb-aacip-507-nk3610wp6s-transcript.ann	T38	person	2010	2020	MR. HOLMAN	https://en.wikipedia.org/wiki/Kwame_Holman	https://www.wikidata.org/wiki/Q50410244
cpb-aacip-507-nk3610wp6s-transcript.ann	T39	organization	2052	2063	Republicans	https://en.wikipedia.org/wiki/Republican_Party_(United_States)	https://www.wikidata.org/wiki/Q29468
cpb-aacip-507-nk3610wp6s-transcript.ann	T40	location	2147	2158	White House	https://en.wikipedia.org/wiki/White_House	https://www.wikidata.org/wiki/Q35525
