at,scene-type,subtype label,modifier
00:00:09.009,S,G,True
00:00:18.018,S,G,False
00:00:44.511,L,,False
00:00:45.512,L,,False
00:00:46.046,L,,False
00:00:47.047,L,,False
00:00:47.514,L,,False
00:00:48.048,L,,False
00:00:48.515,L,,False
00:00:49.049,L,,False
00:00:49.516,L,,False
00:00:50.050,L,,False
00:00:50.517,L,,False
00:00:56.056,E,,False
00:00:58.058,E,,False
00:00:59.526,E,,False
00:01:00.060,E,,False
00:01:01.528,E,,False
00:01:02.062,E,,False
00:01:02.529,E,,False
00:01:05.065,E,,False
00:01:05.532,E,,False
00:01:06.066,E,,False
00:01:06.533,E,,False
00:01:07.534,E,,False
00:01:09.536,-,,False
00:01:10.003,-,,False
00:01:10.537,T,,False
00:01:13.540,T,,False
00:01:14.007,T,,False
00:01:16.543,U,,False
00:01:17.010,U,,False
00:01:25.018,L,,False
00:01:25.552,L,,False
00:01:26.019,L,,False
00:01:27.554,L,,True
00:01:28.555,E,,False
00:01:30.023,E,,False
00:01:30.557,E,,False
00:01:36.029,E,,False
00:01:36.563,E,,False
00:01:38.031,E,,False
00:01:38.565,E,,False
00:01:39.032,E,,False
00:01:39.566,E,,False
00:01:40.033,E,,False
00:01:40.533,E,,False
00:01:41.034,E,,False
00:01:42.535,E,,False
00:01:43.536,E,,False
00:01:47.040,E,,False
00:01:48.541,E,,False
00:01:49.042,E,,False
00:01:51.544,E,,False
00:01:52.045,E,,False
00:01:55.048,E,,False
00:01:55.548,E,,False
00:01:56.049,E,,False
00:01:56.549,E,,False
00:01:57.050,E,,False
00:01:57.550,E,,True
00:02:17.036,G,,False
00:02:17.504,G,,False
00:02:19.038,G,,True
00:02:27.514,I,,False
00:02:28.047,I,,False
00:02:28.515,I,,False
00:02:29.048,I,,False
00:02:29.516,I,,False
00:02:30.049,I,,False
00:03:25.038,E,,False
00:03:26.039,E,,False
00:03:26.539,E,,False
00:03:27.040,E,,False
00:03:28.041,E,,False
00:03:29.042,E,,False
00:03:29.542,E,,False
00:03:30.543,E,,False
00:03:31.544,E,,False
00:03:32.545,P,,False
00:03:58.037,T,,False
00:04:00.540,T,,False
00:04:01.040,T,,False
