at,scene-type,subtype label,modifier
00:01:23.550,G,,False
00:01:24.017,G,,False
00:01:25.018,G,,False
00:01:33.560,O,,False
00:01:35.028,O,,False
00:01:35.562,O,,False
00:01:36.029,O,,False
00:01:36.563,O,,False
00:01:37.030,O,,False
00:01:37.564,O,,False
00:01:38.031,L,,True
00:01:39.032,L,,False
00:01:39.566,L,,False
00:01:40.033,L,,False
00:01:40.533,L,,False
00:01:41.001,L,,False
00:01:41.534,L,,False
00:01:42.002,L,,False
00:01:42.535,L,,False
00:01:43.003,L,,False
00:01:43.536,L,,False
00:01:44.004,L,,False
00:01:44.537,L,,False
00:01:45.538,L,,False
00:01:47.007,L,,False
00:01:48.008,L,,False
00:01:49.542,P,,False
00:01:50.543,P,,False
00:01:52.545,P,,False
00:01:58.551,P,,False
00:02:05.558,P,,False
00:02:07.027,P,,False
00:02:14.501,P,,False
00:02:17.504,P,,False
00:02:18.038,P,,False
00:02:18.505,P,,False
00:02:19.039,P,,False
00:02:20.040,P,,False
00:02:20.507,P,,False
00:02:22.042,P,,False
00:02:22.509,P,,False
00:02:23.043,P,,False
00:02:26.513,P,,False
00:02:27.047,P,,False
00:02:27.514,P,,False
00:02:28.048,P,,False
00:02:30.050,P,,False
00:02:32.052,P,,False
00:02:33.520,P,,False
00:02:34.521,P,,False
00:02:35.055,P,,False
00:02:36.056,P,,False
00:02:37.057,P,,False
00:02:38.058,P,,False
00:02:38.525,P,,False
00:02:39.526,P,,False
00:02:40.060,P,,False
00:02:41.061,P,,False
00:02:41.528,P,,False
00:02:42.529,P,,False
00:02:43.063,P,,False
00:02:43.530,P,,False
00:02:44.064,P,,False
00:02:44.531,P,,False
00:02:45.065,P,,False
00:02:46.066,P,,False
00:02:46.533,P,,False
00:02:47.000,P,,False
00:02:48.001,P,,False
00:02:48.535,P,,False
00:02:50.537,-,,False
00:02:56.009,-,,False
00:02:57.544,-,,False
00:02:58.545,-,,False
00:03:02.549,-,,False
00:03:04.551,-,,False
00:03:06.019,-,,False
00:03:07.554,-,,False
00:03:19.032,-,,False
00:03:21.001,M,,False
00:03:22.002,M,,False
00:03:23.536,M,,False
00:03:24.004,M,,False
00:03:25.538,M,,False
00:03:26.006,M,,False
00:03:26.539,M,,False
00:03:27.007,M,,False
00:03:28.008,M,,False
00:03:33.013,O,,False
00:03:33.546,O,,False
00:03:36.549,O,,False
