at,scene-type,subtype label,modifier
00:00:21.554,G,,False
00:00:22.555,G,,False
00:00:26.559,G,,False
00:00:31.031,L,,False
00:00:34.034,F,,False
00:00:35.035,F,,False
00:00:37.504,F,,False
00:00:38.038,F,,False
00:00:40.040,-,,False
00:00:41.508,F,,False
00:00:42.042,F,,False
00:00:43.043,F,,False
00:00:43.510,F,,False
00:00:53.053,P,,False
00:00:57.057,M,,False
00:00:57.524,M,,False
00:00:58.058,M,,False
00:00:58.525,M,,False
00:01:00.060,L,,True
00:01:00.527,L,,True
00:01:01.061,L,,True
00:01:01.528,L,,True
00:01:02.062,L,,True
00:01:02.529,L,,True
00:01:03.063,L,,True
00:01:03.530,L,,True
00:01:04.531,L,,False
00:01:05.065,L,,False
00:01:07.000,L,,False
00:01:07.534,L,,False
00:01:09.002,L,,True
00:01:09.536,L,,True
00:01:10.537,L,,False
00:01:11.004,L,,False
00:01:12.005,L,,False
00:01:13.006,L,,False
00:01:14.007,L,,False
00:01:14.541,L,,False
00:01:15.008,L,,False
00:01:17.010,-,,False
00:01:17.544,-,,False
00:01:20.547,-,,False
00:01:21.548,-,,False
00:01:22.549,-,,False
00:01:24.017,-,,False
00:01:25.018,-,,False
00:01:26.019,-,,False
00:01:26.553,-,,False
00:01:27.020,-,,False
00:01:29.022,-,,False
00:01:30.557,-,,False
00:01:32.025,-,,False
00:01:32.559,-,,False
00:01:33.560,-,,False
00:01:36.563,-,,False
00:01:37.030,-,,False
00:01:41.534,M,,False
00:01:42.035,M,,False
00:01:45.538,E,,False
00:01:51.544,E,,False
00:02:37.056,P,,False
00:03:07.020,-,,False
00:03:09.022,-,,False
00:03:16.563,-,,False
00:03:23.036,F,,False
00:03:23.536,F,,False
00:03:24.037,F,,False
00:03:24.537,F,,False
00:03:25.038,F,,False
00:03:32.545,F,,False
00:04:07.547,F,,False
00:04:08.047,F,,False
00:04:08.548,F,,False
00:04:11.551,F,,False
00:04:12.051,F,,False
00:04:12.552,F,,False
00:04:14.554,F,,False
00:04:16.055,F,,False
00:04:52.558,-,,False
00:04:53.026,-,,False
00:04:53.559,-,,False
00:04:54.560,-,,False
00:04:55.561,-,,False
00:05:06.539,-,,False
00:05:12.045,I,,False
00:05:14.547,I,,False
00:05:16.549,I,,True
00:05:17.550,-,,False
00:05:22.055,F,,False
00:05:22.555,F,,False
00:05:23.056,F,,False
00:05:23.556,F,,False
00:05:24.057,F,,False
00:05:24.557,F,,False
00:05:26.059,F,,False
00:05:26.559,F,,False
00:05:27.060,F,,False
00:05:58.558,P,,False
00:06:00.059,P,,False
00:06:16.542,F,,False
00:06:17.043,F,,False
00:06:17.543,F,,False
00:06:20.546,F,,False
00:06:33.059,P,,False
00:07:10.563,F,,False
00:07:12.064,F,,False
00:07:13.065,F,,False
00:07:13.533,F,,False
00:07:14.033,F,,False
00:07:16.536,F,,False
00:07:17.537,F,,False
00:07:20.039,F,,False
00:07:29.549,F,,False
00:07:39.058,P,,False
00:07:40.560,P,,False
00:07:50.036,Y,,False
00:07:50.536,Y,,False
00:07:51.037,Y,,False
00:07:52.038,Y,,False
00:07:53.039,Y,,False
00:08:17.063,P,,False
00:08:33.045,-,,False
00:08:33.546,-,,False
00:08:43.055,P,,False
00:08:49.061,P,,False
00:09:03.042,-,,False
00:09:06.045,-,,False
00:09:13.052,I,,False
00:09:13.553,I,,False
00:09:14.053,I,,False
00:09:14.554,I,,False
00:09:15.054,I,,False
00:09:15.555,I,,False
00:09:16.055,I,,False
00:09:16.556,I,,False
00:09:17.056,I,,False
00:09:17.557,I,,False
00:09:18.057,I,,False
00:09:39.545,Y,,False
00:09:40.046,Y,,False
00:09:42.048,Y,,False
00:09:44.050,Y,,True
00:09:58.064,P,,False
00:09:59.065,P,,False
00:10:00.066,P,,False
00:10:01.033,P,,False
00:10:24.056,P,,False
00:10:25.057,P,,False
00:10:27.059,P,,False
00:10:41.040,P,,False
00:11:15.041,-,,False
00:13:02.548,G,,False
00:13:17.062,G,,False
00:14:06.045,P,,False
00:14:07.546,-,,False
00:14:49.054,F,,False
00:14:50.055,F,,False
00:14:51.056,F,,False
00:14:52.558,F,,False
00:15:50.049,-,,False
00:15:51.550,I,,False
00:15:52.051,I,,False
00:15:52.551,I,,False
00:15:53.052,I,,False
00:15:54.553,I,,False
00:15:55.054,I,,False
00:15:55.554,I,,False
00:16:05.564,-,,False
00:16:19.545,-,,False
00:16:32.558,F,,False
00:16:52.044,I,,False
00:17:00.052,P,,False
00:17:01.053,P,,False
00:17:06.558,-,,False
00:17:07.059,-,,False
00:17:07.559,-,,False
00:17:08.060,-,,False
00:17:11.563,-,,False
00:17:51.036,-,,False
00:17:52.037,F,,False
00:17:53.038,-,,False
00:17:54.039,F,,False
00:18:31.043,P,,False
00:18:32.544,P,,False
00:18:37.549,E,,False
00:18:47.059,F,,False
00:19:02.040,-,,False
00:19:06.044,F,,False
00:19:06.545,F,,False
00:19:08.046,F,,False
00:19:09.047,-,,False
00:19:13.552,-,,False
00:19:14.553,-,,False
00:19:16.555,-,,False
00:19:20.058,-,,False
00:19:34.540,F,,False
00:19:35.541,F,,False
00:19:36.041,F,,False
00:19:37.543,F,,False
00:19:38.043,F,,False
00:19:43.048,E,,False
00:19:46.051,E,,False
00:19:57.563,P,,False
00:20:05.037,F,,False
00:20:05.537,F,,False
00:20:06.038,F,,False
00:20:07.539,F,,False
00:20:11.543,-,,False
00:20:13.045,-,,False
00:20:15.047,E,,False
00:20:16.048,E,,False
00:20:16.548,E,,False
00:20:18.050,F,,False
00:20:20.552,F,,False
00:20:22.554,F,,False
00:20:25.557,E,,False
00:20:26.058,E,,False
00:20:26.558,E,,False
00:20:27.059,E,,False
00:20:27.559,E,,False
00:20:29.061,E,,False
00:20:29.561,E,,False
00:20:31.063,E,,False
00:20:32.064,E,,False
00:20:34.533,E,,False
00:20:37.035,E,,False
00:20:38.036,E,,False
00:20:39.037,F,,False
00:20:40.038,F,,False
00:20:43.542,F,,False
00:20:44.543,F,,False
00:20:46.545,F,,False
00:20:47.045,F,,False
00:20:48.046,F,,False
00:20:50.048,F,,False
00:20:51.550,F,,False
00:20:58.056,F,,False
00:20:58.557,F,,False
00:21:06.064,F,,False
00:21:07.032,F,,False
00:21:07.532,-,,False
00:21:08.533,F,,False
00:21:56.548,P,,False
00:23:21.533,P,,False
00:23:36.047,-,,False
00:23:36.548,-,,False
00:24:26.565,P,,False
00:24:37.542,P,,False
00:25:03.535,P,,False
00:25:04.536,P,,False
00:25:37.035,-,,False
00:26:08.033,M,,False
00:26:08.533,M,,False
00:26:13.538,F,,False
00:26:16.041,-,,False
00:26:33.558,C,,False
00:26:34.059,C,,False
00:26:34.559,C,,False
00:26:35.060,C,,False
00:26:35.560,C,,False
00:26:36.061,C,,False
00:26:36.561,C,,False
00:26:37.062,C,,False
00:26:37.562,C,,False
00:26:38.063,C,,False
00:26:38.563,C,,False
00:26:39.064,-,,False
00:26:40.532,C,,False
00:26:41.032,C,,False
00:26:41.533,C,,False
00:26:42.033,C,,False
00:26:42.534,C,,False
00:26:43.034,C,,False
00:26:43.535,C,,False
00:26:44.035,C,,False
00:26:44.536,C,,False
00:26:45.036,C,,False
00:26:45.537,C,,False
00:26:46.037,C,,True
00:26:47.539,L,,True
00:26:48.540,L,,True
00:26:49.541,L,,True
00:26:50.542,L,,True
00:26:51.042,L,,True
00:26:52.043,L,,True
00:26:53.545,L,,False
00:26:54.045,L,,False
00:26:57.048,L,,True
00:26:58.550,L,,True
00:27:01.052,L,,False
00:27:02.053,L,,False
00:27:03.054,L,,False
00:27:04.055,L,,False
00:27:04.556,L,,False
00:27:08.059,C,,False
00:27:08.560,C,,False
00:27:09.060,C,,False
00:27:09.561,C,,False
00:27:10.061,C,,False
00:27:10.562,C,,False
00:27:11.563,C,,False
00:27:12.063,C,,False
00:27:14.532,C,,False
00:27:15.033,C,,False
00:27:15.533,C,,False
00:27:16.534,C,,False
00:27:17.035,C,,False
00:27:17.535,C,,False
00:27:19.537,C,,False
00:27:21.539,C,,False
00:27:23.541,C,,False
00:27:24.042,C,,False
00:27:24.542,C,,False
00:27:25.043,C,,False
00:27:25.543,C,,False
