at,scene-type,scene-subtype,transitional
00:00:01.034,B,,False
00:00:01.034,B,,False
00:00:05.405,B,,False
00:00:05.405,B,,False
00:00:09.209,B,,False
00:00:09.209,B,,False
00:00:14.014,B,,False
00:00:14.014,B,,False
00:00:22.622,B,,False
00:00:22.622,B,,False
00:00:31.197,B,,False
00:00:31.197,B,,False
00:00:39.806,B,,False
00:00:39.806,B,,False
00:00:48.381,B,,False
00:00:48.381,B,,False
00:00:56.990,B,,False
00:00:56.990,B,,False
00:01:05.565,B,,False
00:01:05.565,B,,False
00:01:14.174,B,,False
00:01:14.174,B,,False
00:01:22.749,B,,False
00:01:22.749,B,,False
00:01:31.357,B,,False
00:01:31.357,B,,False
00:01:39.933,B,,False
00:01:39.933,B,,False
00:01:43.536,S,G,False
00:01:43.536,S,G,False
00:01:44.537,S,G,False
00:01:44.537,S,G,False
00:01:46.539,S,G,False
00:01:46.539,S,G,False
00:01:46.940,S,G,False
00:01:46.940,S,G,False
00:01:48.541,S,G,False
00:01:48.541,S,G,False
00:01:50.043,S,G,False
00:01:50.043,S,G,False
00:01:51.544,S,G,False
00:01:51.544,S,G,False
00:01:52.045,S,G,False
00:01:52.045,S,G,False
00:01:52.545,S,G,False
00:01:52.545,S,G,False
00:01:53.046,S,G,False
00:01:53.046,S,G,False
00:01:54.547,S,G,False
00:01:54.547,S,G,False
00:01:57.550,G,,False
00:01:57.550,G,,False
00:02:01.020,O,,True
00:02:01.020,O,,True
00:02:01.054,O,,True
00:02:01.054,O,,True
00:02:01.554,O,,False
00:02:01.554,O,,False
00:02:03.056,O,,False
00:02:03.056,O,,False
00:02:03.556,O,,False
00:02:03.556,O,,False
00:02:04.057,O,,False
00:02:04.057,O,,False
00:02:04.557,O,,False
00:02:04.557,O,,False
00:02:08.561,O,,False
00:02:08.561,O,,False
00:02:09.062,O,,False
00:02:09.062,O,,False
00:02:10.163,O,,False
00:02:10.163,O,,False
00:02:10.563,-,,False
00:02:10.563,-,,False
00:02:13.066,-,,False
00:02:13.066,-,,False
00:02:14.501,-,,False
00:02:14.501,-,,False
00:02:16.035,-,,False
00:02:16.035,-,,False
00:02:16.503,-,,False
00:02:16.503,-,,False
00:02:20.507,F,,False
00:02:20.507,F,,False
00:02:21.508,F,,False
00:02:21.508,F,,False
00:02:22.041,F,,False
00:02:22.041,F,,False
00:02:22.509,F,,False
00:02:22.509,F,,False
00:02:23.510,F,,False
00:02:23.510,F,,False
00:02:24.043,F,,False
00:02:24.043,F,,False
00:02:24.511,F,,False
00:02:24.511,F,,False
00:02:25.044,F,,False
00:02:25.044,F,,False
00:02:32.519,-,,False
00:02:32.519,-,,False
00:02:37.056,-,,False
00:02:37.056,-,,False
00:03:04.017,F,,False
00:03:04.017,F,,False
00:03:04.551,F,,False
00:03:04.551,F,,False
00:03:06.019,F,,False
00:03:06.019,F,,False
00:03:07.020,F,,False
00:03:07.020,F,,False
00:03:09.556,P,,False
