index	starts	ends	content
1	00:02:43.920	00:02:47.690	Good evening. Anyone with the mildest interest in the Presidential
2	00:02:47.700	00:02:50.710	election might be forgiven for thinking that abortion was the
3	00:02:50.720	00:02:54.050	number one issue dividing Ford and Carter. For the past
4	00:02:54.060	00:02:56.750	week or ten days, abortion has often appeared to dominate
5	00:02:56.760	00:02:59.840	the news, with both candidates appearing before a panel of
6	00:02:59.850	00:03:03.330	Roman Catholic bishops, with the Ford camp talking about the
7	00:03:03.340	00:03:08.780	crucial Catholic vote, and with anti-abortion demonstrators dogging Carter's trail.
8	00:03:08.790	00:03:11.420	Yesterday the dispute spread to Congress, with an argument over
9	00:03:11.430	00:03:14.500	whether to cut off federal funding of abortions for poor
10	00:03:14.510	00:03:18.020	women. The National Organization for Women has claimed that the
11	00:03:18.030	00:03:21.310	candidates are being intimidated by the bishops and are ignoring
12	00:03:21.320	00:03:23.910	the views of what they call "a majority of American
13	00:03:23.920	00:03:28.180	women." And a national organization of priests expressed deep concern
14	00:03:28.190	00:03:30.720	that the bishops were stressing abortion to the neglect of
15	00:03:30.730	00:03:34.080	other issues. So, while the polls may show that abortion
16	00:03:34.090	00:03:37.720	is one of the least urgent concerns of most voters,
17	00:03:37.730	00:03:41.200	the issue has firmly planted itself in the campaign. Tonight:
18	00:03:41.210	00:03:44.580	Where does the abortion issue really belong in this election?
19	00:03:44.590	00:03:48.600	First, where the candidates actually stand. Here's what Mr. Ford
20	00:03:48.610	00:03:51.300	told a news conference after his meeting with the bishops
21	00:03:51.310	00:03:55.370	on Friday: The Democratic platform and the Republican platform on
22	00:03:55.380	00:03:59.470	the issue of abortion are quite different. I subscribe to
23	00:03:59.480	00:04:04.750	the Republican platform and Governor Carter subscribes to the Democratic
24	00:04:04.760	00:04:09.830	platform. His position and mine are not identical; my position
25	00:04:09.840	00:04:13.870	is that of the Republican platform, and I'll stick with
26	00:04:13.880	00:04:19.710	it. I have had the position for some time that
27	00:04:19.720	00:04:23.020	there should be a Constitutional amendment that would permit the
28	00:04:23.030	00:04:27.540	individual states to make the decision based on a vote
29	00:04:27.550	00:04:31.440	of the people of each of the states. The bishops
30	00:04:31.450	00:04:34.720	said they were encouraged, but not totally satisfied by the
31	00:04:34.730	00:04:38.150	President's stand. On the other hand, they had been disappointed
32	00:04:38.160	00:04:41.550	in Jimmy Carter's statement ten days before that while he
33	00:04:41.560	00:04:45.600	personally opposes abortion he does not support a Constitutional amendment
34	00:04:45.610	00:04:50.400	on the subject. Anti-abortion, or pro-life people have shown themselves
35	00:04:50.410	00:04:53.030	to be more than disappointed in Mr. Carter. He's been
36	00:04:53.040	00:04:55.470	on the receiving end of a number of their demonstrations
37	00:04:55.480	00:05:02.260	recently; one example, a gathering in Scranton, Pennsylvania last week:
38	00:05:02.270	00:05:17.290	Life! Life! Life! It's rather ironic that abortion should turn
39	00:05:17.300	00:05:20.260	out to be such a thorny issue for Jimmy Carter,
40	00:05:20.270	00:05:22.810	because according to most people he scored his first victory
41	00:05:22.820	00:05:25.940	in the Iowa caucuses way back in January because of
42	00:05:25.950	00:05:29.620	pro-life support. But afterward he was accused of having misled
43	00:05:29.630	00:05:32.480	the people about where he stood. Some thought that because
44	00:05:32.490	00:05:35.590	he said he backed a national statute on abortion Carter
45	00:05:35.600	00:05:38.820	supported a Constitutional amendment on the issue. Carter said he
46	00:05:38.830	00:05:42.000	didn't and he doesn't, even though he is personally against
47	00:05:42.010	00:05:45.640	abortion. The impact of the abortion question appeared to fade
48	00:05:45.650	00:05:48.650	after the early primaries; the only major candidate who made
49	00:05:48.660	00:05:51.090	a profit on the issue was Ronald Reagan, who won
50	00:05:51.100	00:05:53.900	the backing of many anti-abortion groups for his support of
51	00:05:53.910	00:05:58.310	a Constitutional amendment banning abortions. The issue came up again
52	00:05:58.320	00:06:02.330	during the party's nominating conventions and platform hearings. The Democrats
53	00:06:02.340	00:06:05.320	stated in their platform that while they recognized the religious
54	00:06:05.330	00:06:07.860	and ethical nature of the question, they believed it was
55	00:06:07.870	00:06:11.100	undesirable to attempt to amend the Constitution to overturn the
56	00:06:11.110	00:06:14.540	Supreme Court's decision on the matter. The stand drew fire
57	00:06:14.550	00:06:17.440	from within the party, denounced during a nominating speech for
58	00:06:17.450	00:06:20.380	Ellen McCormick, the Long Island housewife who had run for
59	00:06:20.390	00:06:25.400	President as a pro-life candidate: I have supported the human
60	00:06:25.410	00:06:31.300	and civil rights movement all of my adult life. I
61	00:06:31.310	00:06:38.370	am deeply concerned that in this age of technology we
62	00:06:38.380	00:06:44.190	are not concerned with the protection of those who cannot
63	00:06:44.200	00:06:51.110	protect themselves: the unborn child...At their convention, the Republicans
64	00:06:51.120	00:06:55.470	nominated Gerald Ford but gave him an abortion platform plank
65	00:06:55.480	00:06:58.220	that appeared to have been designed by Ronald Reagan. It
66	00:06:58.230	00:07:01.180	called for the continuance of the public dialogue on abortion
67	00:07:01.190	00:07:03.580	and supported the efforts of those seeking the enactment of
68	00:07:03.590	00:07:09.580	a Constitutional amendment to "restore life for unborn children." The
69	00:07:09.590	00:07:13.870	Reverend James Ratigan is President of the National Federation of
70	00:07:13.880	00:07:18.110	Priests` Councils. Father Ratigan, yesterday your organization, as I said
71	00:07:18.120	00:07:22.500	at the beginning of the program, expressed some concern over
72	00:07:22.510	00:07:27.220	the stress that the bishops were placing on abortion. Why
73	00:07:27.230	00:07:29.510	did you do that? Is abortion not a number one
74	00:07:29.520	00:07:32.590	issue to you? It is a number one issue to
75	00:07:32.600	00:07:36.680	us and our board. The context in which we wrote
76	00:07:36.690	00:07:40.400	the letter to Cardinal Cook was that members from his
77	00:07:40.410	00:07:43.850	committee came out to speak to our executive board-28
78	00:07:43.860	00:07:47.960	priests from across the country--and we met to try
79	00:07:47.970	00:07:52.460	talk to them: how could we join together to ensure
80	00:07:52.470	00:07:55.400	that an amendment would be passed? In the course of
81	00:07:55.410	00:07:59.230	that, though, we did mention in the letter that one
82	00:07:59.240	00:08:02.210	of the overriding concerns that many of the members expressed
83	00:08:02.220	00:08:07.360	at the board meeting was that it seemed to be
84	00:08:07.370	00:08:09.750	an impression that they were getting that the bishops were
85	00:08:09.760	00:08:13.380	stressing this one issue. And back in February in their
86	00:08:13.390	00:08:16.960	pamphlet on the political responsibility in an election year they
87	00:08:16.970	00:08:19.800	called for us to look at all the candidates on
88	00:08:19.810	00:08:23.250	a very broad base of issues, and look for those
89	00:08:23.260	00:08:27.370	issues which would present a more wide range. And we
90	00:08:27.380	00:08:30.220	felt the bishops were falling into the trap themselves of
91	00:08:30.230	00:08:33.540	judging candidates on a single issue. Do you agree with
92	00:08:33.550	00:08:37.260	those who think that this antiabortion activity could hurt the
93	00:08:37.270	00:08:42.360	Church, cause a backlash and alienate members? It could, but
94	00:08:42.370	00:08:43.710	I don't think that would be a reason for us
95	00:08:43.720	00:08:48.610	not to continue our own fight to change the Constitution.
96	00:08:48.620	00:08:50.400	But I think that in the context of doing so
97	00:08:50.410	00:08:52.970	we have to do so in a way that will
98	00:08:52.980	00:08:55.760	eliminate that possibility as much as possible--but we do
99	00:08:55.770	00:08:59.450	have to speak out. Yours is a grassroots organization, so
100	00:08:59.460	00:09:03.630	to speak; you have, I gather, 117 councils in approximately
101	00:09:03.640	00:09:06.450	45 states--how do you assess the reaction to the
102	00:09:06.460	00:09:09.290	bishops` efforts at that level, at the grassroots level, in
103	00:09:09.300	00:09:12.830	the Church? Well, as the Board reported at the meeting,
104	00:09:12.840	00:09:14.950	there seems to be a certain hesitancy on the part
105	00:09:14.960	00:09:19.900	of many priests to get into the issue right now.
106	00:09:19.910	00:09:24.060	And I think that's partly because they sense that many
107	00:09:24.070	00:09:26.420	of the forces who are right now pushing for a
