index	starts	ends	content
1	00:01:53.210	00:01:55.870	Good evening. I'm Roger Mudd in New York. And I'm
2	00:01:55.880	00:01:59.380	Margaret Warner in Washington. After the News Summary, we update
3	00:01:59.390	00:02:03.130	the political turmoil in Moscow, preview President Clinton's health care
4	00:02:03.140	00:02:07.190	speech, look at one city's remedy, and have a Charlayne
5	00:02:07.200	00:02:49.050	Hunter-Gault conversation with journalist Michael O'Neill. At least 40 people
6	00:02:49.060	00:02:51.960	were killed this morning when an Amtrak passenger train, the
7	00:02:51.970	00:02:55.610	Sunset Limited, derailed on a bridge at Saraland, Alabama, just
8	00:02:55.620	00:02:58.750	north of Mobile. All three engines and four of the
9	00:02:58.760	00:03:01.670	eight cars left the rail just after 3 AM local
10	00:03:01.680	00:03:05.220	time. Two of the passenger cars plunged into the bayou,
11	00:03:05.230	00:03:08.730	and one of them was totally submerged. Rescue efforts were
12	00:03:08.740	00:03:13.380	hampered by darkness, fall, murky water, and some said alligators.
13	00:03:13.390	00:03:16.210	Officials said the Sunset Limited traveling from Los Angeles to
14	00:03:16.220	00:03:20.970	Miami carried 189 passengers and 17 crew members. Coast Guard
15	00:03:20.980	00:03:25.150	officials say 13 people are still unaccounted for. In Washington
16	00:03:25.160	00:03:29.060	this afternoon, an Amtrak spokesman held a news conference. There
17	00:03:29.070	00:03:33.330	really couldn't have been a worse combination of events. We
18	00:03:33.340	00:03:39.070	have a derailment, an emersion in water, fire. This is,
19	00:03:39.080	00:03:45.620	without doubt, the worst tragedy to -- that Amtrak has suffered
20	00:03:45.630	00:03:52.910	in its 23-year history. It is conceivable that today's catastrophic
21	00:03:52.920	00:04:01.160	accident could equal or eclipse the entire fatality rate for our
22	00:04:01.170	00:04:05.040	entire 23-year history. The cause of the accident is not
23	00:04:05.050	00:04:08.290	known. A freight train, reportedly, had earlier crossed the bridge
24	00:04:08.300	00:04:12.720	without incident. Officials from CSX Transportation, which owns the track,
25	00:04:12.730	00:04:17.170	and the National Transportation Safety Board will investigate. Margaret. Boris
26	00:04:17.180	00:04:19.720	Yeltsin appeared to have a clear edge today in his
27	00:04:19.730	00:04:23.890	struggle with hardline opponents. The streets of Moscow remained calm
28	00:04:23.900	00:04:27.540	as Yeltsin ventured out to greet supporters. He vowed not
29	00:04:27.550	00:04:31.230	to use force to overcome his opposition. Yeltsin dissolved the
30	00:04:31.240	00:04:35.280	conservative Russian parliament yesterday and ordered new parliamentary elections in
31	00:04:35.290	00:04:39.460	December. The parliament responded by swearing in a rival acting
32	00:04:39.470	00:04:43.720	president, Alexander Rutskoi, who addressed his supporters at the parliament
33	00:04:43.730	00:04:48.380	building today. Western leaders, meanwhile, rallied around Yeltsin, saying he
34	00:04:48.390	00:04:51.660	had no alternative but to break the deadlock between himself
35	00:04:51.670	00:04:56.990	and the Communist era parliament. President Clinton expressed his support
36	00:04:57.000	00:05:00.010	for Yeltsin again today. Mr. Clinton also said he was
37	00:05:00.020	00:05:05.030	hopeful the situation would remain calm. A second passenger jet
38	00:05:05.040	00:05:08.320	was shot down in the former Soviet republic of Georgia.
39	00:05:08.330	00:05:11.380	Up to 100 people were reportedly aboard the plane, which
40	00:05:11.390	00:05:14.440	was hit after landing at Sukhumi, the capital of a
41	00:05:14.450	00:05:18.030	breakaway region in Georgia. It was not clear how many
42	00:05:18.040	00:05:21.790	may have survived the attack. Twenty-eight people were killed yesterday
43	00:05:21.800	00:05:24.480	when another passenger jet was shot down into the Black
44	00:05:24.490	00:05:28.560	Sea near the same city. Georgian officials blamed both attacks
45	00:05:28.570	00:05:33.090	on rebels fighting for independence for their breakaway region. President
46	00:05:33.100	00:05:37.480	Clinton delivers his long-awaited, long-delayed healthcare reform speech tonight before
47	00:05:37.490	00:05:40.260	a joint session of the Congress. He and Vice President
48	00:05:40.270	00:05:43.320	Gore and Mrs. Clinton briefed congressional leaders from both parties
49	00:05:43.330	00:05:46.410	at the White House this morning. Reporters asked the President
50	00:05:46.420	00:05:49.020	why he thought his plan would succeed where past attempts
51	00:05:49.030	00:05:54.370	had failed. There is almost unanimous consensus that the cost
52	00:05:54.380	00:05:57.180	of continuing on the present course is greater than the
53	00:05:57.190	00:06:01.530	cost of change. With healthcare costs rising at more than
54	00:06:01.540	00:06:04.220	twice the rate of inflation and rising much faster than
55	00:06:04.230	00:06:08.950	that for small businesses, with many people--more people losing
56	00:06:08.960	00:06:11.560	their coverage every month so that we're paying more for
57	00:06:11.570	00:06:15.400	less healthcare, with the range of choices available to Americans
58	00:06:15.410	00:06:19.420	dropping dramatically and the administrative costs of the system escalating
59	00:06:19.430	00:06:23.580	at a breathtaking rate, that the cost of going on
60	00:06:23.590	00:06:25.760	is greater than the cost of change. I don't think
61	00:06:25.770	00:06:29.850	that there's ever been that much consensus before. Republican leaders
62	00:06:29.860	00:06:33.800	have pledged their cooperation, but after today's meeting, GOP Senators
63	00:06:33.810	00:06:38.130	and representatives spoke in differing tones about bipartisanship. I have
64	00:06:38.140	00:06:41.310	indicated to the President and Mrs. Clinton a number of
65	00:06:41.320	00:06:43.640	times we're going into this on our side, at least
66	00:06:43.650	00:06:45.510	as many people as I can convince, in a very
67	00:06:45.520	00:06:48.860	positive way. My view is that this is a good
68	00:06:48.870	00:06:51.610	beginning. It's going to be a long path before we
69	00:06:51.620	00:06:55.320	have final passage, and I really believe that in the
70	00:06:55.330	00:06:59.070	past in most healthcare areas we could have bipartisanship. The
71	00:06:59.080	00:07:02.700	President said in his inaugural address that the best way
72	00:07:02.710	00:07:05.860	to fix what's wrong with America is to use what's
73	00:07:05.870	00:07:09.690	right with America. He's applied just the opposite of that
74	00:07:09.700	00:07:16.260	principle in his response to healthcare. Any American citizen thinks
75	00:07:16.270	00:07:18.510	that they will be made better off in their healthcare
76	00:07:18.520	00:07:23.440	security by a government-mismanaged program of this magnitude I think
77	00:07:23.450	00:07:26.490	is going to be badly misguided. Again, I could not
78	00:07:26.500	00:07:29.860	be more disappointed. The President speaks to the Congress at
79	00:07:29.870	00:07:32.770	9 PM Eastern Time, and we'll have more on healthcare
80	00:07:32.780	00:07:35.850	later in the program. Also today, Mr. Clinton said the
81	00:07:35.860	00:07:38.520	federal government would pay for 90 percent of the cost
82	00:07:38.530	00:07:41.920	of the summer's Midwest floods, instead of the usual 75
83	00:07:41.930	00:07:47.290	percent. Flood damage in the nine states totaled $7.6 billion.
84	00:07:47.300	00:07:49.290	In a written statement, the President said the floods had
85	00:07:49.300	00:07:53.610	shown that natural disasters can affect the entire nation's economy.
86	00:07:53.620	00:07:57.590	Gen. John Shalikashvili, President Clinton's nominee to the Chairman of
87	00:07:57.600	00:08:00.820	the Joint Chiefs of Staff, told the Senate Armed Services
88	00:08:00.830	00:08:03.710	Committee today that he didn't learn of his father's World
89	00:08:03.720	00:08:08.250	War II Nazi affiliation until last month. After Mr. Clinton
90	00:08:08.260	00:08:10.920	named him to the post, reports surfaced that his father
91	00:08:10.930	00:08:15.170	had served in Nazi Germany's Vofen SS. It is most
92	00:08:15.180	00:08:20.170	troublesome to me that according to his own writings apparently
93	00:08:20.180	00:08:23.330	in the last months of the war, my father was
94	00:08:23.340	00:08:27.470	associated with some Georgian unit that was under the control
95	00:08:27.480	00:08:32.380	of the Vofen SS. I am deeply saddened that my
96	00:08:32.390	00:08:37.470	father had this tragic association. To me--and I believe
97	00:08:37.480	00:08:40.890	to all those who knew him--that is so absolutely
98	00:08:40.900	00:08:45.720	out of character. To me, he was a kind and
99	00:08:45.730	00:08:50.010	gentle man, and I loved him very much. He was
100	00:08:50.020	00:08:54.430	a man who perhaps loved his native Georgia too much,
101	00:08:54.440	00:08:57.000	certainly a man caught up in the awful tragedy of
102	00:08:57.010	00:09:01.730	World War II. Senators said the general's family wouldn't derail
