index	starts	ends	content
1	00:01:55.690	00:01:58.700	Good evening. I'm Jim Lehrer. On the NewsHour tonight, the
2	00:01:58.710	00:02:03.800	Bosnia mission, Elizabeth Farnsworth interviews Senator McCain, then come excerpts
3	00:02:03.810	00:02:07.020	from Congressional hearings and a discussion of why it takes
4	00:02:07.030	00:02:10.740	the United States to make and keep peace. New information
5	00:02:10.750	00:02:14.990	on breast cancer. Charlayne Hunter-Gault talks to Dr. Christine Byrd.
6	00:02:15.000	00:02:18.370	And the information highway future, David Gergen has a dialogue
7	00:02:18.380	00:02:21.050	with Bill Gates. It all follows our summary of the
8	00:02:21.060	00:02:51.600	news this Thursday. Senate Republicans began closing ranks today behind
9	00:02:51.610	00:02:55.170	the sending of U.S. troops to Bosnia. Majority Leader Bob
10	00:02:55.180	00:02:58.210	Dole said on the Senate floor he would reluctantly support
11	00:02:58.220	00:03:02.470	the President. I just hope we can all work together
12	00:03:02.480	00:03:06.140	in the coming days to fashion a resolution which supports
13	00:03:06.150	00:03:09.830	our military forces, reduces the risks they face, and brings
14	00:03:09.840	00:03:11.490	them home as soon as possible. Now some would say,
15	00:03:11.500	00:03:13.960	well, if you do this, you're supporting the President of
16	00:03:13.970	00:03:15.890	the United States. I'd say, oh, that's all right with
17	00:03:15.900	00:03:19.030	me. We have one President at a time. He is
18	00:03:19.040	00:03:22.130	the commander in chief. He's made the decision. I don't
19	00:03:22.140	00:03:25.150	agree with it. I think it's a mistake. We had
20	00:03:25.160	00:03:29.490	a better option, many better options. As I said, he
21	00:03:29.500	00:03:34.090	repeatedly rejected those options. Right after this News Summary, we'll
22	00:03:34.100	00:03:37.470	have a Newsmaker interview with Senator John McCain, the Arizona
23	00:03:37.480	00:03:40.810	Republican who spoke with Senator Dole on the Senate floor
24	00:03:40.820	00:03:44.240	today. On the House side today, two key committees heard
25	00:03:44.250	00:03:47.430	the official pitch for sending U.S. troops to Bosnia. It
26	00:03:47.440	00:03:51.790	came from top administration officials, including Secretary of State Christopher,
27	00:03:51.800	00:03:55.860	Defense Secretary Perry, and Joint Chiefs Chairman Shalikashvili. We'll have
28	00:03:55.870	00:03:59.340	excerpts from their testimony, plus more Bosnia coverage following the
29	00:03:59.350	00:04:04.580	McCain Newsmaker. Republican and Democratic budget negotiators cancelled their talks
30	00:04:04.590	00:04:07.650	for the next two days. They said they were deadlocked
31	00:04:07.660	00:04:10.040	in their attempt to agree on a seven-year plan to
32	00:04:10.050	00:04:15.310	balance the budget. Kwame Holman reports. This afternoon, congressional Republicans
33	00:04:15.320	00:04:18.780	unveiled the final version of their seven-year balanced budget, and
34	00:04:18.790	00:04:21.730	sent it to the White House for the President's consideration,
35	00:04:21.740	00:04:24.660	but House Speaker Newt Gingrich acknowledged the reception the plan
36	00:04:24.670	00:04:27.760	is likely to get when the President returns to Washington.
37	00:04:27.770	00:04:30.420	You know, obviously, the odds against his signing this are
38	00:04:30.430	00:04:35.480	pretty steep. Gingrich also complained the White House is not
39	00:04:35.490	00:04:38.770	negotiating in good faith toward a compromise on a seven-year
40	00:04:38.780	00:04:42.650	balanced budget. The White House will not admit how much
41	00:04:42.660	00:04:45.860	more spending they want or how much higher the taxes
42	00:04:45.870	00:04:49.690	are they want compared to our plans. That complaint was
43	00:04:49.700	00:04:53.650	echoed by Republican negotiators late this afternoon, following a two-hour
44	00:04:53.660	00:04:57.430	budget session with the Democrats. We have a right to
45	00:04:57.440	00:05:01.630	know what their budget looks like. They don't want to
46	00:05:01.640	00:05:04.960	tell us. It's very hard to negotiate when you don't
47	00:05:04.970	00:05:08.010	know what you're negotiating. But White House Chief of Staff
48	00:05:08.020	00:05:11.900	Leon Panetta emerged from the meeting blaming the Republicans. We
49	00:05:11.910	00:05:16.410	have constantly said we have got to protect Medicare, we
50	00:05:16.420	00:05:19.970	have got to protect Medicaid, education, the environment. We're not
51	00:05:19.980	00:05:22.720	going to raise taxes on working families. Let's talk through
52	00:05:22.730	00:05:26.610	those issues. We thought that was agreed to. Unfortunately, that's
53	00:05:26.620	00:05:29.590	not what happened today. I hope that after a good
54	00:05:29.600	00:05:32.320	night's sleep that the Republicans will be ready to get
55	00:05:32.330	00:05:34.450	to work and try to see if we can resolve
56	00:05:34.460	00:05:37.650	our differences. The two sides have agreed on one thing,
57	00:05:37.660	00:05:40.140	to take a break from negotiations and not meet again
58	00:05:40.150	00:05:44.740	until Monday. The Senate Whitewater Committee decided today to ask
59	00:05:44.750	00:05:48.540	First Lady Hillary Clinton to answer four questions in writing
60	00:05:48.550	00:05:51.640	under oath. Committee members want to know about a phone
61	00:05:51.650	00:05:54.180	call she might have made the day of the Vincent
62	00:05:54.190	00:05:57.810	Foster suicide. The call was made to a Washington number
63	00:05:57.820	00:06:00.980	from the Little Rock residence where Mrs. Clinton was staying.
64	00:06:00.990	00:06:03.810	Investigators have been unable to determine who was called, or
65	00:06:03.820	00:06:08.900	who did the calling. Four questions as they relate to
66	00:06:08.910	00:06:16.590	the telephone number 202-628-7087 which will be sent to the
