index	starts	ends	content
1	00:01:15.670	00:01:19.160	Good evening. Leading the news today, businessman Albert Hakim told
2	00:01:19.170	00:01:22.120	the Iran-Contra hearings that he put money aside for Col.
3	00:01:22.130	00:01:26.030	Oliver North's children. The Independent Counsel Lawrence Walsh asked the
4	00:01:26.040	00:01:29.280	committees not to grant immunity to Col. North. New York
5	00:01:29.290	00:01:32.470	Congressman Mario Biaggi and six others were indicted in the
6	00:01:32.480	00:01:36.640	Wedtech investigation. The author of the Sullivan Code governing U.S.
7	00:01:36.650	00:01:40.740	business in South Africa advised American companies to pull out.
8	00:01:40.750	00:01:43.080	We'll have details in our news summary in a moment.
9	00:01:43.090	00:01:46.780	Jim? After the news summary, the testimony of Assistant Secretary
10	00:01:46.790	00:01:50.370	of State Elliott Abrams and Albert Hakim before the Iran-Contra
11	00:01:50.380	00:01:55.080	hearings, with reactions and analysis from Senators Inouye and Rudman,
12	00:01:55.090	00:01:58.420	the Senate Committees' Chairman and Vice Chairman. And a newsmaker
13	00:01:58.430	00:02:30.900	interview about AIDS with World Health Organization official, Dr. Jonathan Mann.
14	00:02:30.910	00:02:35.630	Albert Hakim, the Iranian-born banker for the Iran-Contra operations, testified
15	00:02:35.640	00:02:39.830	today that $200,000 in profits from Iran arms sales was
16	00:02:39.840	00:02:43.810	set aside for Oliver North's children. Hakim managed the Swiss
17	00:02:43.820	00:02:47.900	bank accounts for the arms sales contra supply operation, managed
18	00:02:47.910	00:02:51.440	by Lt. Col. North from the National Security Council. He
19	00:02:51.450	00:02:54.110	said he put aside the money for the university education
20	00:02:54.120	00:02:57.850	of North's children, but did not tell North about it.
21	00:02:57.860	00:03:01.710	I came up with the idea that Ollie had to
22	00:03:01.720	00:03:08.020	be assured and I started out by putting this money
23	00:03:08.030	00:03:14.170	aside as death benefit for him, and I had also
24	00:03:14.180	00:03:20.530	learned through scattered discussions that Ollie was not spending time
25	00:03:20.540	00:03:25.200	at home and he was not attending to his family,
26	00:03:25.210	00:03:32.100	to his kids' education, and so forth. And I had
27	00:03:32.110	00:03:38.590	become emotionally very attached to Ollie--still am, really love
28	00:03:38.600	00:03:45.840	this man--I figured that the interest on $200,000 could
29	00:03:45.850	00:03:53.100	cover a good part of a child's university education. Hakim
30	00:03:53.110	00:03:56.670	also said he was told President Reagan personally approved his
31	00:03:56.680	00:04:01.060	activities. The previous witness, Assistant Secretary of State Elliott Abrams
32	00:04:01.070	00:04:03.890	said he still enjoyed the confidence of Secretary of State
33	00:04:03.900	00:04:08.100	George Schultz. Democratic members of the investigating committees said Abrams
34	00:04:08.110	00:04:12.170	would be forced to resign for misleading the Congress. Jim?
35	00:04:12.180	00:04:16.160	The Iran-Contra Independent Counsel asked the Select Committees today not
36	00:04:16.170	00:04:19.550	to grant immunity to Oliver North. Lawrence Walsh met with
37	00:04:19.560	00:04:22.830	the House and Senate Committee members at lunchtime. Afterward, he
38	00:04:22.840	00:04:26.570	explained his reasons for opposing immunity for the National Security
39	00:04:26.580	00:04:31.380	aide, and key figure in the Iran-Contra affair. Our reasons
40	00:04:31.390	00:04:37.280	for asking for it were, one, that Col. North is
41	00:04:37.290	00:04:41.940	a central figure in the activities that are under investigation.
42	00:04:41.950	00:04:50.120	Second, that there are now many witnesses who have been
43	00:04:50.130	00:04:56.630	giving testimony to his activity. And therefore, it may be
44	00:04:56.640	00:05:00.710	that by the time the Committee is through with the
45	00:05:00.720	00:05:06.080	testimony of Admiral Poindexter, they would not need the additional
46	00:05:06.090	00:05:09.850	testimony of Col. North. The Senate Committee's leader said a
47	00:05:09.860	00:05:13.930	decision on North's immunity will be made within 48 hours.
48	00:05:13.940	00:05:17.150	The Republican Vice Chairman, Senator Warren Rudman, said the committee
49	00:05:17.160	00:05:20.620	could not complete its work without talking to North. North
50	00:05:20.630	00:05:23.520	himself made an appearance in Federal Court in Washington this
51	00:05:23.530	00:05:27.580	afternoon. Inside the courtroom, his attorneys asked that the Independent
52	00:05:27.590	00:05:31.080	Counsel's investigation of him be stopped on grounds that the
53	00:05:31.090	00:05:35.980	law creating the Counsel is unconstitutional. The government of Iraq
54	00:05:35.990	00:05:39.400	is insisting that the USS Stark was inside a war
55	00:05:39.410	00:05:42.090	zone when it was accidentally attacked by one of their
56	00:05:42.100	00:05:45.680	planes. A Pentagon report today said the U.S. has challenged
57	00:05:45.690	00:05:49.040	that claim, saying the navy has numerous fixes showing the
58	00:05:49.050	00:05:52.180	Stark was well outside the war zone. The report said
59	00:05:52.190	00:05:55.080	the Iraqi claim was the principal difference that has persisted
60	00:05:55.090	00:05:58.840	in the joint U.S.-Iraqi investigation of the attack, which cost
61	00:05:58.850	00:06:02.860	the lives of 37 U.S. sailors. A New York Congressman
62	00:06:02.870	00:06:07.470	was indicted today on racketeering charges. Democrat Mario Biaggi was
63	00:06:07.480	00:06:11.290	accused of participating in turning the Wedtech Corporation of New
64	00:06:11.300	00:06:16.170	York into a racketeering enterprise. Wedtech is a government contractor,
65	00:06:16.180	00:06:20.660	already the target of other investigations involving allegations against Attorney
66	00:06:20.670	00:06:24.870	General Edwin Meese, among others. Today's charge alleges Biaggi, his
67	00:06:24.880	00:06:28.150	son and five others used Wedtech as a vehicle for
68	00:06:28.160	00:06:32.290	making illegal payments to public officials. Biaggi and a prosecutor
69	00:06:32.300	00:06:36.530	each talked to the press about today's indictment. These charges
70	00:06:36.540	00:06:40.460	raise serious questions about the way we practice politics and
71	00:06:40.470	00:06:43.650	conduct business in the city, state and nation. I must
72	00:06:43.660	00:06:48.520	emphasize from the outset this investigation is continuing. It has
73	00:06:48.530	00:06:51.650	not been completed, and there is much more that is
74	00:06:51.660	00:06:54.530	still under investigation and much more to go. I will
75	00:06:54.540	00:06:57.570	fight this indictment because I am innocent. I want to
76	00:06:57.580	00:07:00.860	prove that. After months of trying this case in the
77	00:07:00.870	00:07:05.800	media, the prosecution has finally come forth with an indictment.
78	00:07:05.810	00:07:09.040	The prosecutors refused my offer to submit to their lie
79	00:07:09.050	00:07:13.160	detector test, despite the fact that I earlier had passed
80	00:07:13.170	00:07:16.240	one on the key issues which were involved in the
81	00:07:16.250	00:07:20.890	investigation. A U.S. Foreign Service officer has been indicted on
82	00:07:20.900	00:07:25.310	charges of selling false U.S. entry visas to Iranians. The
83	00:07:25.320	00:07:29.450	21-count indictment was announced today in Washington, following the arrest
84	00:07:29.460	00:07:33.990	of the officer, Bernard Fennell, a 19-year State Department veteran.
85	00:07:34.000	00:07:37.040	He allegedly participated in a scheme with six others to
86	00:07:37.050	00:07:39.630	sell the visas while he was the First Secretary and
87	00:07:39.640	00:07:43.580	Counsel at the U.S. Embassy in Madrid, Spain. The Reverend
88	00:07:43.590	00:07:47.070	Leon Sullivan, who devised the code of conduct widely used
89	00:07:47.080	00:07:50.490	by American business in South Africa, called on all U.S.
90	00:07:50.500	00:07:53.660	companies to pull out in nine months. In a Washington
91	00:07:53.670	00:07:56.860	statement, the Philadelphia minister also called on the U.S. Government
92	00:07:56.870	00:08:00.640	to break off diplomatic relations and enact economic embargo of
93	00:08:00.650	00:08:03.950	South Africa. Sullivan said he no longer saw any hope
94	00:08:03.960	00:08:09.170	that his policies would change apartheid. As of May, 1985,
95	00:08:09.180	00:08:14.350	I stated it had been 24 months statutory apartheid was
96	00:08:14.360	00:08:20.200	not ended. There was not a clear commitment of the
97	00:08:20.210	00:08:25.630	vote for blacks equal to whites. I would call on
98	00:08:25.640	00:08:28.490	the companies to leave South Africa and call for an
99	00:08:28.500	00:08:36.940	American embargo. The conditions have not been remotely met, nor
100	00:08:36.950	00:08:43.320	has there been progress in that direction. Canada's political leaders
101	00:08:43.330	00:08:46.730	reached agreement today on a formula to bring French-speaking Quebec
102	00:08:46.740	00:08:49.970	into line with the new Canadian Constitution. The agreement was
103	00:08:49.980	00:08:53.290	reached in an all-night session between Prime Minister Brian Mulroney,
104	00:08:53.300	00:08:56.680	and the Premiers of Canada's ten provinces. Quebec, which has
105	00:08:56.690	00:09:00.830	1/4 of Canada's population, refused to sign the new constitution
106	00:09:00.840	00:09:03.820	six years ago, because it was not recognized as a
107	00:09:03.830	00:09:08.390	distinct society within Canada. The new formula satisfies that demand,
108	00:09:08.400	00:09:11.240	but has been widely criticized and must still be ratified
109	00:09:11.250	00:09:14.080	by federal and provincial parliaments. At one point in the
110	00:09:14.090	00:09:18.070	1970s, Quebec separatists wanted to break away from Canada to
111	00:09:18.080	00:09:22.210	form a separate nation. President Reagan flew off to Italy
112	00:09:22.220	00:09:25.480	today. He will spend five days at a villa outside
113	00:09:25.490	00:09:29.440	Venice, preparing for the Economic Summit, which begins Monday. Mr.
114	00:09:29.450	00:09:32.920	Reagan spoke briefly at a White House departure ceremony, saying
115	00:09:32.930	00:09:36.030	it was time to end trade and monetary imbalances among
116	00:09:36.040	00:09:39.770	the world industrial democracies. He also said they must work
117	00:09:39.780	00:09:45.030	to eliminate inequities in the international trade environment. Some 78,000
118	00:09:45.040	00:09:49.230	farmers, threatened with possible foreclosure, got a reprieve today. In
