index	starts	ends	content
1	00:02:19.610	00:02:22.860	The Chinese have a bold dream--to transform their country
2	00:02:22.870	00:02:25.270	into a modern industrial state by the end of the
3	00:02:25.280	00:02:28.570	century. But the China of today is still much like
4	00:02:28.580	00:02:33.360	any developing nation: short on skills, technology and capital. To
5	00:02:33.370	00:02:37.080	acquire them, the Chinese Communists are doing some very un-Marxist
6	00:02:37.090	00:03:07.890	things. Good evening. Early next month China will open its
7	00:03:07.900	00:03:11.220	first official trade exhibit in this country. Businessmen in San
8	00:03:11.230	00:03:14.430	Francisco, Chicago and New York will get a hard sales
9	00:03:14.440	00:03:18.740	pitch on products of China's industries. Since relations were normalized
10	00:03:18.750	00:03:21.610	last year, the two countries have had an unequal partnership
11	00:03:21.620	00:03:24.650	in trade. Right now, the U.S. is selling three times
12	00:03:24.660	00:03:27.860	as much to China as it's buying. But the Chinese
13	00:03:27.870	00:03:30.720	are determined to turn that 'round, and with it their
14	00:03:30.730	00:03:34.790	standard of living. It's all part of China's much-publicized Four
15	00:03:34.800	00:03:40.280	Modernizations Policy announced in February `78. By rapidly modernizing industry,
16	00:03:40.290	00:03:44.920	agriculture, technology and defense, the Chinese hope to increase per
17	00:03:44.930	00:03:49.050	capita income from the present equivalent of $150 to 1000
18	00:03:49.060	00:03:52.850	U.S. dollars a year by the year 2000. The Chinese
19	00:03:52.860	00:03:56.150	leaders have taken an interesting first step to motivate greater
20	00:03:56.160	00:04:01.240	production. They are permitting a significant amount of old-fashioned capitalism.
21	00:04:01.250	00:04:03.900	Recently they allowed a team from the BBC to film
22	00:04:03.910	00:04:08.330	some examples. So, tonight an unusual glimpse of China's new
23	00:04:08.340	00:04:12.550	business spirit. This report appeared on the BBC`s "Money" program.
24	00:04:12.560	00:04:17.740	The reporter is Paul Barry. If the Chinese have got their
25	00:04:17.750	00:04:20.740	figures right, one quarter of the world's population lives in
26	00:04:20.750	00:04:25.370	China. The national income per head is only 150 U.S.
27	00:04:25.380	00:04:28.520	dollars a year, scarcely higher than India, and the sort
28	00:04:28.530	00:04:34.090	of money a Westerner might spend in a weekend. But
29	00:04:34.100	00:04:36.760	you don't see beggars on the streets. If there's no
30	00:04:36.770	00:04:38.730	job or house for you in the city, they send
31	00:04:38.740	00:04:41.220	you to the countryside to work on the land. And
32	00:04:41.230	00:04:49.950	you go, because China is a very disciplined society. Each
33	00:04:49.960	00:04:53.070	year there are 12 million more mouths to feed, 12
34	00:04:53.080	00:04:55.720	million new pairs of hands to keep busy. It's a
35	00:04:55.730	00:05:05.360	miracle that they can raise living standards at all. To
36	00:05:05.370	00:05:09.020	give these extras jobs in industry would mean building 6000
37	00:05:09.030	00:05:12.850	new factories a year. That's the scale of China's modernization
38	00:05:12.860	00:05:28.430	task. When you look at China's industry, it's like going
39	00:05:28.440	00:05:32.610	back in time, revisiting the Industrial Revolution. Never mind that
40	00:05:32.620	00:05:35.380	it looks worse in parts of Wolverhampton, some of these
41	00:05:35.390	00:05:42.730	factories are China's pride and joy. The Far East Fan
42	00:05:42.740	00:05:49.040	Factory, near Canton, is one of them. There are 1500
43	00:05:49.050	00:05:52.660	factories in China making electric fans, and this is one
44	00:05:52.670	00:05:57.970	of the most modern. It turns out 60,000 fans a
45	00:05:57.980	00:06:00.320	year to cool the hot spots of Africa and the
46	00:06:00.330	00:06:03.030	Far East, and the assembly line makes it look bang
47	00:06:03.040	00:06:08.530	up to date. But when you get to the process,
48	00:06:08.540	00:06:14.650	you begin to have your doubts. Isn't this more like
