index	starts	ends	content
1	00:01:44.320	00:01:47.610	Good evening, I'm Jim Lehrer. On the NewsHour tonight, excerpts
2	00:01:47.620	00:01:51.340	from last night's Republican candidate forum in New Hampshire, with
3	00:01:51.350	00:01:55.670	analysis by Tom Oliphant and David Brooks, substituting for Mark
4	00:01:55.680	00:01:58.810	Shields and Paul Gigot; a Terence Smith look at the
5	00:01:58.820	00:02:01.460	opening of a new front in the TV morning news
6	00:02:01.470	00:02:05.080	war; and a Ray Suarez conversation with the new president
7	00:02:05.090	00:02:08.390	of Nigeria. It all follows our summary of the news
8	00:02:08.400	00:02:50.630	this Friday. President Clinton today proposed new rules to protect
9	00:02:50.640	00:02:54.820	patients' privacy. They'd be the first federal regulations designed to
10	00:02:54.830	00:02:59.370	keep computerized medical records confidential. They'd prevent the release of
11	00:02:59.380	00:03:04.230	sensitive files to employers, marketers, and others without patient consent.
12	00:03:04.240	00:03:07.090	They'd also allow patients to see who has viewed the
13	00:03:07.100	00:03:11.260	material and take legal action against anyone who abuses it.
14	00:03:11.270	00:03:15.400	The President spoke at the White House. Today with a click
15	00:03:15.410	00:03:18.800	of a mouse personal health information can easily and now
16	00:03:18.810	00:03:23.020	legally be passed around without patients' consent to people who
17	00:03:23.030	00:03:26.480	aren't doctors, for reasons that have nothing to do with
18	00:03:26.490	00:03:29.890	health care. Americans should never have to worry that their
19	00:03:29.900	00:03:35.470	employers are looking at the medications they take or the
20	00:03:35.480	00:03:40.020	ailments they've had. In 1999, Americans should never have to
21	00:03:40.030	00:03:46.330	worry about nightmare scenarios depicted in George Orwell's "1984." The
22	00:03:46.340	00:03:49.220	new privacy rules would go into effect in the year
23	00:03:49.230	00:03:54.540	2002 following public review. On Wall Street today, the stock
24	00:03:54.550	00:03:58.280	market kept climbing, the Dow Jones Industrial Average closed up
25	00:03:58.290	00:04:04.060	107 points at 10,729; the NASDAQ Index was up 91
26	00:04:04.070	00:04:08.100	points and closed at a record 2,966. It was an
27	00:04:08.110	00:04:12.600	apparent continuation of a rally started yesterday on government reports
28	00:04:12.610	00:04:16.360	of steady growth and low inflation in the third quarter.
29	00:04:16.370	00:04:19.510	The Senate today shelved a bill extending new trade privileges
30	00:04:19.520	00:04:22.570	to countries in Africa and the Caribbean. It would have
31	00:04:22.580	00:04:27.480	lowered tariffs and quotas on imports. Senators from textile-producing states
32	00:04:27.490	00:04:29.960	voted against it. Trade will be one of the issues
33	00:04:29.970	00:04:33.630	addressed during an interview with the president of Nigeria later
34	00:04:33.640	00:04:38.380	in our program tonight. Russia rejected international calls for diplomacy
35	00:04:38.390	00:04:41.690	and launched a new wave of attacks on Chechnya today.
36	00:04:41.700	00:04:45.240	Russian air force and artillery pounded the capital Grozny and
37	00:04:45.250	00:04:49.780	several villages. Troops blocked off border crossings, stranding thousands of
38	00:04:49.790	00:04:54.440	refugees. In Moscow, U.S. Deputy Secretary of State Strobe Talbott
39	00:04:54.450	00:04:57.970	met with Russian Foreign Minister Ivanov. He spoke about the
40	00:04:57.980	00:05:04.200	situation. We understand that Russia is grappling with a very
41	00:05:04.210	00:05:10.250	real and very grave threat in the form of extremism
42	00:05:10.260	00:05:15.170	and terrorism, and that obviously the Russian federation has not
43	00:05:15.180	00:05:19.810	just a right, but an obligation to protect the Russian
44	00:05:19.820	00:05:25.500	state and protect Russian citizens. It's the hope of the
45	00:05:25.510	00:05:27.750	United States, and I think many others in the international
