index	starts	ends	content
1	00:01:10.650	00:01:13.600	Good evening. I'm Jim Lehrer. On the NewsHour tonight: Our
2	00:01:13.610	00:01:16.450	summary of the news; then, a three-part look at the
3	00:01:16.460	00:01:20.720	escalating violence in Iraq--a report from Iraq by Jeffrey
4	00:01:20.730	00:01:24.040	Gettleman of the "New York Times," analysis of the Shiite
5	00:01:24.050	00:01:26.960	group and its leader that triggered some of the weekend
6	00:01:26.970	00:01:31.650	attacks, and reaction from Senate Foreign Relations Committee leaders, Senators
7	00:01:31.660	00:01:35.070	Lugar and Biden. We close with some thoughts about how
8	00:01:35.080	00:01:38.690	the steroids scandal is touching the new Major League Baseball
9	00:01:38.700	00:03:02.820	season. U.S.-Led forces struck back on several fronts against the
10	00:03:02.830	00:03:07.520	armed resistance in Iraq today. In Baghdad, U.S. Apache helicopters
11	00:03:07.530	00:03:12.650	fired into a Shiite Muslim neighborhood after receiving small-arms fire.
12	00:03:12.660	00:03:16.740	Troops stepped up patrols there and in another Shiite area,
13	00:03:16.750	00:03:19.600	where fierce fighting killed eight U.S. troops and at least
14	00:03:19.610	00:03:24.010	52 Iraqis this weekend. In all, 12 American troops were
15	00:03:24.020	00:03:28.360	killed in the last 24 hours. Also in Baghdad, U.S.
16	00:03:28.370	00:03:32.520	officials branded a radical Shiite cleric an "outlaw," and announced
17	00:03:32.530	00:03:34.840	a warrant for his arrest for the murder of a
18	00:03:34.850	00:03:40.220	rival cleric last year. Moqtada al-Sadr implored his followers to
19	00:03:40.230	00:03:45.090	stage the recent Shiite protests against the U.S. occupation. A
20	00:03:45.100	00:03:51.200	U.S. Military spokesman said al-Sadr's militia threatens the country's stability.
21	00:03:51.210	00:03:54.780	We will take action, as and when necessary, to maintain
22	00:03:54.790	00:04:02.170	a safe and secure environment in Iraq. Individuals who create
23	00:04:02.180	00:04:07.100	violence, who incite violence, who execute violence against persons inside
24	00:04:07.110	00:04:11.630	of Iraq will be hunted down and captured or killed.
25	00:04:11.640	00:04:15.840	It is that simple. In southern Iraq, Shiite protestors demanded
26	00:04:15.850	00:04:21.290	the release of al-Sadr's imprisoned supporters. British troops exchanged gunfire
27	00:04:21.300	00:04:25.520	with militiamen who seized the governor's office. And northwest of
28	00:04:25.530	00:04:30.140	Baghdad, hundreds of U.S. Marines and Iraqi troops launched operation
29	00:04:30.150	00:04:34.290	vigilant resolve in the city of Fallujah. They closed roads
30	00:04:34.300	00:04:38.960	and imposed a dusk-to-dawn curfew. U.S. commanders vowed to subdue
31	00:04:38.970	00:04:43.250	the city after insurgents and rioters killed and then mutilated
32	00:04:43.260	00:04:48.080	four American contractors there last week. President Bush said today
33	00:04:48.090	00:04:51.120	the United States would stick to a June 30 power
34	00:04:51.130	00:04:55.320	transfer in Iraq, despite the new violence. He told reporters
35	00:04:55.330	00:04:58.350	in North Carolina the U.S. had an obligation to do
36	00:04:58.360	00:05:01.630	so. The message to the Iraqi citizens is they don't
37	00:05:01.640	00:05:05.420	have to fear that America will turn and run. That's
38	00:05:05.430	00:05:07.280	an important message for them to hear. They think that
39	00:05:07.290	00:05:10.740	we're not sincere about staying the course. Many people will
40	00:05:10.750	00:05:13.600	not continue to take a risk toward, take the risk
41	00:05:13.610	00:05:16.860	toward freedom and democracy. The president said the U.S. would
42	00:05:16.870	00:05:20.850	maintain a very strong military presence in Iraq after the
43	00:05:20.860	00:05:24.310	handover. We'll have more on the Iraq violence story right
44	00:05:24.320	00:05:28.730	after this News Summary. Spanish authorities today announced two more
45	00:05:28.740	00:05:32.620	arrests in the Madrid train bombings. They were made Saturday,
46	00:05:32.630	00:05:36.260	the same day at least four other suspects blew themselves
47	00:05:36.270	00:05:40.070	up rather than surrender to police in Madrid. Three of
48	00:05:40.080	00:05:43.510	those killed have been linked to the bombings. The alleged
49	00:05:43.520	00:05:47.090	mastermind was among them. At least 16 people are being
50	00:05:47.100	00:05:51.600	held in the March 11 bombing that killed 191 people,
51	00:05:51.610	00:05:56.260	injured some 1,800. Secretary of State Powell was in Haiti
52	00:05:56.270	00:06:00.400	today. It was his first visit since former President Aristide
53	00:06:00.410	00:06:04.510	went into exile. Powell urged the country's new prime minister
54	00:06:04.520	00:06:07.780	to deny government posts to leaders of the rebellion that
55	00:06:07.790	00:06:11.690	put him in power, especially those with criminal records. Gerard
56	00:06:11.700	00:06:16.290	Latortue was appointed head of state after a week's-long popular
57	00:06:16.300	00:06:21.510	insurrection. He later hailed some rebel leaders as freedom fighters.
58	00:06:21.520	00:06:24.810	The sweeping power failure in eight states and Canada last
59	00:06:24.820	00:06:28.040	summer could happen again. That was the conclusion of a
60	00:06:28.050	00:06:33.100	final report issued today by a joint Canadian-American taskforce. It
61	00:06:33.110	00:06:36.430	blamed the power industry for failing to follow its voluntary
62	00:06:36.440	00:06:40.540	rules to ensure the reliable flow of electricity. And it
63	00:06:40.550	00:06:44.610	said power companies needed to have mandatory standards, and strong
64	00:06:44.620	00:06:48.750	enforcement of them. A flash flood killed at least 25
65	00:06:48.760	00:06:53.160	people in northern Mexico today. Rescue helicopters searched for 60
66	00:06:53.170	00:06:57.090	more missing residents in the border town of Piedras Negras,
67	00:06:57.100	00:07:01.530	150 miles southwest of San Antonio, Texas. Flooding in the
68	00:07:01.540	00:07:05.700	region began yesterday, when thunderstorms dumped up to two feet
69	00:07:05.710	00:07:10.720	of rain in parts of Mexico, Texas and New Mexico.
70	00:07:10.730	00:07:15.250	The Pulitzer Prizes for 2004 were announced today. In journalism,
71	00:07:15.260	00:07:18.540	the "Los Angeles Times" won in five categories, including for
72	00:07:18.550	00:07:23.770	its coverage of Southern California's wildfires last fall. The investigative
73	00:07:23.780	00:07:26.760	reporting prize went to "The Blade" of Toledo, Ohio, for
74	00:07:26.770	00:07:29.380	its investigative series on atrocities by the elite U.S. Army
75	00:07:29.390	00:07:32.980	unit, tiger force, during the Vietnam War. That series was
76	00:07:32.990	00:07:36.250	featured on the NewsHour last Friday. In the arts, the
77	00:07:36.260	00:07:39.600	biography winner was William Taubman for his book about Russian
78	00:07:39.610	00:07:43.990	leader Nikita Khrushchev. General nonfiction went to Anne Applebaum for
79	00:07:44.000	00:07:47.590	her history of the Soviet gulags. Edward P. Jones won
80	00:07:47.600	00:07:50.130	the fiction category for "The Known World," a novel about
81	00:07:50.140	00:07:54.210	slavery, Franz Wright, the poetry prize for "Walking to Martha's
82	00:07:54.220	00:07:59.920	Vineyard," Paul Moravec, the music prize for his "Tempest Fantasy,"
83	00:07:59.930	00:08:03.170	and for drama, Doug Wright for "I Am My Own
84	00:08:03.180	00:08:08.200	Wife." J.C. Penney sold its Eckerd drug store chain for
85	00:08:08.210	00:08:13.550	more than $4.5 billion today. The U.S.-based CVS Corporation and
86	00:08:13.560	00:08:17.610	a Canadian partner bought the chain of 2,800 Eckerd outlets
87	00:08:17.620	00:08:21.690	in 23 states. The deal makes CVS the largest drug
88	00:08:21.700	00:08:26.200	chain in the United States, with 5,000 stores. Bank of
89	00:08:26.210	00:08:30.010	America will cut 12,500 jobs, or 7 percent, of its
90	00:08:30.020	00:08:34.130	workforce. The announcement today follows completion of the bank's merger
91	00:08:34.140	00:08:37.550	with the Fleet Boston Financial Corporation. The bank said it
92	00:08:37.560	00:08:43.140	was trimming overlapping processes to save $650 million. It promised
93	00:08:43.150	00:08:47.220	customers no reduction in services. On Wall Street today, the
94	00:08:47.230	00:08:50.550	Dow Jones Industrial Average gained more than 87 points to
95	00:08:50.560	00:08:55.550	close at 10,558. The NASDAQ rose nearly 22 points to
96	00:08:55.560	00:09:00.070	close at 2079. That's it for the News Summary tonight.
97	00:09:00.080	00:09:02.230	Now it's on to our three-part look at the violence
98	00:09:02.240	00:09:16.980	in Iraq, and the opening of baseball's steroids season. The
99	00:09:16.990	00:09:20.330	new turmoil in Iraq. Part one: From on the ground,
100	00:09:20.340	00:09:26.570	and to Margaret Warner. The violence that killed eight American
101	00:09:26.580	00:09:30.440	soldiers and wounded more than three dozen yesterday, began with
102	00:09:30.450	00:09:35.570	Shiite protests in several Iraqi cities. The protests turned particularly
103	00:09:35.580	00:09:40.110	violent in the holy city of Najaf, and in Baghdad.
104	00:09:40.120	00:09:43.780	The fiercest fighting was in Baghdad's largest Shiite neighborhood, known
105	00:09:43.790	00:09:48.090	as Sadr City. It was there that the eight American
106	00:09:48.100	00:09:52.250	soldiers were killed. Overall, about 50 Iraqis were killed and
107	00:09:52.260	00:09:57.300	some 170 others wounded. The demonstrations throughout the country were
108	00:09:57.310	00:10:02.300	spearheaded by militant followers of a 31-year-old radical Islamic cleric,
109	00:10:02.310	00:10:09.230	Moqtada al-Sadr. Yesterday's clashes followed protests last week over the
110	00:10:09.240	00:10:14.120	coalition's decision to shut down al-Sadr's newspaper, and the Saturday
111	00:10:14.130	00:10:17.640	arrest of a top al-Sadr aide for alleged involvement in
112	00:10:17.650	00:10:21.010	the murder of a rival cleric last year. Today, the
113	00:10:21.020	00:10:25.580	U.S. Administrator in Iraq, Paul Bremer, declared al-Sadr an outlaw.
114	00:10:25.590	00:10:30.830	He is effectively attempting to establish his authority in place
115	00:10:30.840	00:10:35.350	of the legitimate authority of the Iraqi government and the
116	00:10:35.360	00:10:41.700	coalition. And as I said yesterday, we will not tolerate
117	00:10:41.710	00:10:50.170	this. We will reassert the law and order which the
118	00:10:50.180	00:10:56.180	Iraqi people expect of the coalition and the Iraqi forces.
119	00:10:56.190	00:10:59.960	Coalition authorities also disclosed today that an Iraqi judge had
120	00:10:59.970	00:11:03.400	issued an arrest warrant for al-Sadr several months ago in
121	00:11:03.410	00:11:07.690	connection with the rival cleric's murder. Brigadier General Mark Kimmitt
122	00:11:07.700	00:11:11.930	said the violence incited by al-Sadr's militia, the Amahdi army,
123	00:11:11.940	00:11:16.480	and other militias would not be tolerated. Militias are inconsistent
124	00:11:16.490	00:11:20.470	with a democratic and sovereign nation with a central government.
125	00:11:20.480	00:11:23.880	And we will take action, as and when necessary, to
126	00:11:23.890	00:11:31.420	maintain a safe and secure environment in Iraq. Individuals who
127	00:11:31.430	00:11:36.190	create violence, who incite violence, who execute violence against persons
128	00:11:36.200	00:11:39.930	inside of Iraq will be hunted down and captured or
129	00:11:39.940	00:11:45.270	killed. It is that simple. Despite a show of force
130	00:11:45.280	00:11:49.000	by coalition troops, new Shiite protests led by members of
131	00:11:49.010	00:11:54.330	al-Sadr's Amahdi militia erupted today in several Iraqi cities. And
132	00:11:54.340	00:11:57.760	for the latest developments inside Iraq, we're joined from Baghdad
133	00:11:57.770	00:12:01.280	by Jeffrey Gettleman of the "New York Times." Jeffrey, welcome.
134	00:12:01.290	00:12:03.340	I gather you've been in a lot of these hot
135	00:12:03.350	00:12:05.980	spots today. Give us a feeling for what it's like
136	00:12:05.990	00:12:09.890	on the ground. Sure. Today I went to two places.
137	00:12:09.900	00:12:13.880	I went to Fallujah in western Iraq, where right now
138	00:12:13.890	00:12:19.510	the marines are dealing with an insurgency by Sunni Muslims.
139	00:12:19.520	00:12:22.380	There was this horrible incident last week, where four people
140	00:12:22.390	00:12:25.450	were killed, four American civilians were killed in the center
141	00:12:25.460	00:12:28.770	of Fallujah, and their bodies were dragged through the streets.
142	00:12:28.780	00:12:32.290	And today, the marines began to surround the city and
143	00:12:32.300	00:12:35.880	plan a siege to find the people who were responsible
144	00:12:35.890	00:12:38.540	for this attack, and try to restore some order in
145	00:12:38.550	00:12:40.970	Fallujah. I did that today. And I also went to
146	00:12:40.980	00:12:43.670	a city called Kufa in the South, which has been
147	00:12:43.680	00:12:49.390	racked by violence where militiamen loyal to a Shia cleric
148	00:12:49.400	00:12:52.910	have taken over the town, kicked off the Iraqi police,
149	00:12:52.920	00:12:57.210	and established their own occupation-free zone in the area where
150	00:12:57.220	00:13:01.910	there's no coalition or occupation authorities, no Iraqi police, only
151	00:13:01.920	00:13:05.010	these members of this militia who wear all black, carry
152	00:13:05.020	00:13:08.750	machine guns and sort of rule the town as it
153	00:13:08.760	00:13:12.100	is right now. And are they very much in evidence?
154	00:13:12.110	00:13:13.740	Yeah, they are. They're all over the place. I mean,
155	00:13:13.750	00:13:18.500	what's going on is this one cleric, Moqtada al-Sadr, is
156	00:13:18.510	00:13:21.010	in a mosque right now, and he's refusing to come
157	00:13:21.020	00:13:24.460	out. The coalition authorities have issued an arrest warrant for
158	00:13:24.470	00:13:28.310	him because they say he's been behind this recent upsurgence
159	00:13:28.320	00:13:31.220	in violence, and also that he had played a part
160	00:13:31.230	00:13:35.510	in an assassination attempt or an assassination last year. So
161	00:13:35.520	00:13:39.410	his followers have surrounded his mosque. They have a lot
162	00:13:39.420	00:13:43.350	of guns, RPG's, which are rocket-propelled grenades, and they say
163	00:13:43.360	00:13:46.460	that they're preparing for a siege by American forces when
164	00:13:46.470	00:13:51.030	they come to take this cleric, Moqtada al-Sadr. Tell us
165	00:13:51.040	00:13:54.270	a little more about yesterday. I mean, was al-Sadr able
166	00:13:54.280	00:13:57.090	to just give the word and suddenly all these protests
167	00:13:57.100	00:14:00.710	erupted in all these different cities? Yesterday was really scary.
168	00:14:00.720	00:14:02.520	It was the first time since I've been here--I've
169	00:14:02.530	00:14:05.090	been here about three months--that there were really signs
170	00:14:05.100	00:14:08.220	that things were slipping out of control. The day began
171	00:14:08.230	00:14:13.610	with massive demonstrations in many cities across Iraq, in Baghdad,
172	00:14:13.620	00:14:17.140	in Najaf, Basra and a few other places. And they
173	00:14:17.150	00:14:21.070	were organized by this cleric, al-Sadr, who is protesting two
174	00:14:21.080	00:14:24.720	things, basically. One is the Americans shut down his newspaper
175	00:14:24.730	00:14:29.230	last week. He publishes a weekly newspaper, the American authorities
176	00:14:29.240	00:14:32.390	had accused it of printing lies that incited violence, and
177	00:14:32.400	00:14:35.530	so they took action last week and closed the newspaper.
178	00:14:35.540	00:14:39.130	That began the series of protests starting last week, that
179	00:14:39.140	00:14:42.530	sort of built to through this past week. The second
180	00:14:42.540	00:14:46.100	event was the arrest of one of al-Sadr's aides, who
181	00:14:46.110	00:14:50.790	supposedly was linked to an assassination of a rival cleric
182	00:14:50.800	00:14:54.820	last year. So there was a lot of energy in
183	00:14:54.830	00:14:58.690	the street. This cleric, al-Sadr, was calling for his followers
184	00:14:58.700	00:15:01.860	to protest these two things. Meanwhile, many of them are
185	00:15:01.870	00:15:04.820	armed. And as the day went on yesterday, things got
186	00:15:04.830	00:15:07.650	out of control. It started with stones being tossed in
187	00:15:07.660	00:15:10.850	a few places, then there were gunshots, and then just
188	00:15:10.860	00:15:14.360	sort of all-out mayhem erupted both here in Baghdad and
189	00:15:14.370	00:15:18.260	in a few other places. How seriously have the U.S.
190	00:15:18.270	00:15:21.810	forces and U.S. officials that you've talked to taken al-Sadr
191	00:15:21.820	00:15:25.280	up till now, in terms of whether he has a
192	00:15:25.290	00:15:29.770	big enough following, how powerful this militia of his is?
193	00:15:29.780	00:15:32.610	I think the U.S. authorities have been watching him, as
194	00:15:32.620	00:15:35.620	evidenced by shutting down his newspaper last week. They said
195	00:15:35.630	00:15:38.650	that was a very difficult decision because they anticipated that
196	00:15:38.660	00:15:41.790	it would provoke many of his followers to demonstrate in
197	00:15:41.800	00:15:44.150	the streets, but they were very worried that if he
198	00:15:44.160	00:15:47.980	continued to print this newspaper that contained lies according to
199	00:15:47.990	00:15:53.220	the coalition. One example was that al-Sadr had accused the
200	00:15:53.230	00:15:56.200	coalition of planning a suicide bombing or an attack against
201	00:15:56.210	00:15:59.170	the police station that everybody else here in Iraq had
202	00:15:59.180	00:16:01.870	basically thought was a suicide bombing. But they thought that
203	00:16:01.880	00:16:04.890	if this paper continued it could really cause a problem.
204	00:16:04.900	00:16:07.070	So they had been watching him, but I think more
205	00:16:07.080	00:16:11.250	of the focus been on another Shiite cleric, Ayatollah Sistani,
206	00:16:11.260	00:16:13.860	who is a much older man, he lives in Najaf,
207	00:16:13.870	00:16:17.430	he issues these religious decrees. And Sistani was playing a
208	00:16:17.440	00:16:21.060	much more active role in the governance of Iraq. So
209	00:16:21.070	00:16:24.060	while there was a lot of focus on Sistani, Sadr
210	00:16:24.070	00:16:26.720	was able to sort of create a following, build a
211	00:16:26.730	00:16:29.580	militia, and yesterday we saw the results of that. Now,
212	00:16:29.590	00:16:33.500	what do coalition officials say about, or how do they
213	00:16:33.510	00:16:36.950	explain the fact that this arrest warrant apparently, which was
214	00:16:36.960	00:16:40.070	disclosed today was issued for him months ago, but they've
215	00:16:40.080	00:16:43.820	never arrested him? You know, they really didn't address that
216	00:16:43.830	00:16:46.690	question. It came up, but there was no clear answer
217	00:16:46.700	00:16:49.780	why if the arrest warrant had been issued months ago
218	00:16:49.790	00:16:53.600	it was just coming out today, one day after al-Sadr
219	00:16:53.610	00:16:57.680	had provoked what proved to be the greatest insurrection since
220	00:16:57.690	00:17:02.980	occupation began. And U.S. officials--and we've run some of
221	00:17:02.990	00:17:05.860	this tape--had some very tough talk about how they
222	00:17:05.870	00:17:07.880	plan to crack down on these militias, they're not going
223	00:17:07.890	00:17:11.950	to tolerate them. Anybody who is involved will be put
224	00:17:11.960	00:17:15.030	out of business, and so on. What is their plan,
225	00:17:15.040	00:17:18.560	really, for cracking down on all of these? It's really
226	00:17:18.570	00:17:21.770	not clear. And like my visit to Kufa today showed,
227	00:17:21.780	00:17:23.940	it's going to be a serious challenge. I mean, the
228	00:17:23.950	00:17:26.930	town of Kufa, it's a small town along the banks
229	00:17:26.940	00:17:30.320	of the Euphrates River, it's actually quite pretty, the river
230	00:17:30.330	00:17:32.620	runs right through it, there are these palm trees lining
231	00:17:32.630	00:17:35.260	each side, and there's this beautiful mosque in the middle.
232	00:17:35.270	00:17:38.680	That's where al-Sadr is holed up right now. But he
233	00:17:38.690	00:17:42.480	has the place so surrounded with his followers, who are
234	00:17:42.490	00:17:45.250	so loyal to him, and almost fanatical. You see them
235	00:17:45.260	00:17:48.300	marching through the streets with these huge posters of al-Sadr,
236	00:17:48.310	00:17:50.810	chanting his name. They all say that they'll die for
237	00:17:50.820	00:17:54.220	him, and they've really dug in. So to uproot a
238	00:17:54.230	00:17:57.860	militia like that, it's going to be mayhem. And there's
239	00:17:57.870	00:18:00.250	a lot of people in Kufa today that I talked
240	00:18:00.260	00:18:03.150	to that are sort of dreading what may happen if
241	00:18:03.160	00:18:05.430	the U.S. troops come down there, or any troops come
242	00:18:05.440	00:18:08.870	down there to try to take him out because they're
243	00:18:08.880	00:18:11.620	so entrenched right now and the support for him is
244	00:18:11.630	00:18:15.510	so loyal right there, that it's hard to imagine how
245	00:18:15.520	00:18:18.930	this is going to be resolved without some serious fighting.
246	00:18:18.940	00:18:21.530	And do U.S. Officials or coalition officials you talked to
247	00:18:21.540	00:18:24.130	say they think they've got enough troops to handle all
248	00:18:24.140	00:18:26.760	of this? Well, that's one of those questions that keeps
249	00:18:26.770	00:18:28.860	coming up, and we keep getting the same answer. And
250	00:18:28.870	00:18:30.840	that is yes, we do have enough troops to handle
251	00:18:30.850	00:18:35.850	this. But part of that explanation was based on reassurances
252	00:18:35.860	00:18:39.810	given by American authorities that the Iraqi police forces and
253	00:18:39.820	00:18:42.960	security forces were ready to take on some of the
254	00:18:42.970	00:18:46.780	day-to-day security. But what was really frightening about yesterday was
255	00:18:46.790	00:18:50.220	that the Iraqi forces just collapsed, and Sadr City, where
256	00:18:50.230	00:18:53.880	there was serious fighting going on, the Iraqi police fled
257	00:18:53.890	00:18:57.880	and the Americans had to come in and battle these
258	00:18:57.890	00:19:00.080	forces loyal to Sadr to get them out of the
259	00:19:00.090	00:19:03.330	police stations they seized. In Kufa, there wasn't even a
260	00:19:03.340	00:19:06.350	battle. As soon as the armed militia arrived at the
261	00:19:06.360	00:19:10.870	doorsteps of the police station, the police left. So that
262	00:19:10.880	00:19:13.410	seems to raise the question of how ready are the
263	00:19:13.420	00:19:17.070	Iraqis right now to provide for their own security if
264	00:19:17.080	00:19:19.930	there is a handover and the American forces play more
265	00:19:19.940	00:19:23.830	of a secondary role. Jeffrey Gettleman, thanks so much. Thank
266	00:19:23.840	00:19:28.760	you. Now, part two: More on the Shia leader, and
267	00:19:28.770	00:19:33.130	to Gwen Ifill, For more about the latest Shiite uprising,
268	00:19:33.140	00:19:35.830	and what it means for the continuing occupation, we turn
269	00:19:35.840	00:19:39.030	to Samer Shehata, a visiting assistant professor of Middle East
270	00:19:39.040	00:19:42.900	politics at the Center for Contemporary Arab Studies at Georgetown
271	00:19:42.910	00:19:47.730	University; and Adeed Dawisha, professor of political science at Miami
272	00:19:47.740	00:19:51.360	University of Ohio--he's written extensively on the politics of
273	00:19:51.370	00:19:55.090	the Middle East. Professor Shehata, we've heard about the general
274	00:19:55.100	00:19:59.380	reluctance of the Shia population to this occupation and to
275	00:19:59.390	00:20:02.900	the legal steps which are being put in place to,
276	00:20:02.910	00:20:06.450	for the handover on June 30. What do we see
277	00:20:06.460	00:20:09.820	over the weekend with this new uprising that tells us
278	00:20:09.830	00:20:12.410	what effect that will have on the prospects for the
279	00:20:12.420	00:20:16.750	handover? Well, what we've seen is a Shia leader who
280	00:20:16.760	00:20:19.310	has been the most vehement in his criticism of the
281	00:20:19.320	00:20:23.620	occupation in his calling into question the legitimacy of the
282	00:20:23.630	00:20:27.860	Iraqi governing council, someone who's been excluded from the political
283	00:20:27.870	00:20:32.040	process--not easily willing to go way or to succumb
284	00:20:32.050	00:20:37.010	to the rule of the coalition provisional authority. It's not
285	00:20:37.020	00:20:41.040	clear how powerful Sadr is, it's not clear how many
286	00:20:41.050	00:20:44.840	people are in his militia as it were. But these
287	00:20:44.850	00:20:47.330	are the types of difficulties that the CPA is going
288	00:20:47.340	00:20:49.260	to face in the future because this isn't the only
289	00:20:49.270	00:20:53.610	militia, it's not the only Islamist based militia either. He
290	00:20:53.620	00:20:57.910	is 30 years old, relatively new to any positions of
291	00:20:57.920	00:21:01.180	leadership. But is he someone that the United States or
292	00:21:01.190	00:21:05.620	the coalition provisional authority has been taking seriously? Not really.
293	00:21:05.630	00:21:07.590	He is young, there's no question about that, and he's
294	00:21:07.600	00:21:11.910	also politically inexperienced, which is not a very good combination.
295	00:21:11.920	00:21:15.110	But he comes from a long lineage of Shia clerics
296	00:21:15.120	00:21:19.920	who have a significant amount of standing in Iraq. His
297	00:21:19.930	00:21:23.130	father was of course killed by Saddam Hussein or Saddam
298	00:21:23.140	00:21:28.760	Hussein's agents, as well as two of Sadr's brothers. His
299	00:21:28.770	00:21:31.030	father was also in prison for some time and has
300	00:21:31.040	00:21:36.670	established a charitable network of welfare, education and other organizations
301	00:21:36.680	00:21:40.070	that have real resonance in the kind of disenfranchised Shia
302	00:21:40.080	00:21:43.900	community of Baghdad and beyond. But the United States has
