index	starts	ends	content
1	00:01:45.710	00:01:49.160	Good evening. Three domestic stories occupy much of our attention
2	00:01:49.170	00:01:52.880	tonight. What does today's FCC ruling on long distance phone
3	00:01:52.890	00:01:57.270	charges mean to phone users? The state of black America.
4	00:01:57.280	00:01:59.840	The poor have been relegated to an out of sight,
5	00:01:59.850	00:02:04.290	out of mind status in American life. We talk to
6	00:02:04.300	00:02:06.690	the man making that charge, the head of the Urban
7	00:02:06.700	00:02:09.400	League. And we have an expert update on the birth
8	00:02:09.410	00:02:13.180	control pill: do the risks outweigh the benefits? Jim Lehrer's
9	00:02:13.190	00:02:17.180	off; Judy Woodruff's in Washington. Judy? Also tonight, we'll hear
10	00:02:17.190	00:02:19.990	Secretary of State Shultz explain that he didn't make much
11	00:02:20.000	00:02:23.660	headway with the Soviets on resuming arms talks. There's news
12	00:02:23.670	00:02:28.170	about the U.S. easing economic sanctions against Poland, and Argentina
13	00:02:28.180	00:02:32.340	cutting off aid to U.S.-backed rebels in Nicaragua. And finally,
14	00:02:32.350	00:02:35.690	we'll visit some American missionaries in El Salvador who work
15	00:02:35.700	00:02:41.520	behind the guerrilla lines. I'm not afraid. But I'm not
16	00:02:41.530	00:02:44.160	afraid anywhere. I'm not afraid in Cleveland, where I come
17	00:02:44.170	00:03:05.270	from. Secretary of State George Shultz said today he had
18	00:03:05.280	00:03:08.500	made no progress on reopening nuclear arms talks in his
19	00:03:08.510	00:03:13.010	five-hour session with Andrei Gromyko yesterday. Shultz arrived in Oslo
20	00:03:13.020	00:03:15.740	to brief the Norwegian government on the talks and gave
21	00:03:15.750	00:03:18.310	a press conference where he was questioned about the talks
22	00:03:18.320	00:03:21.840	with the Soviet foreign minister in Stockholm. On the question
23	00:03:21.850	00:03:24.480	of getting the Soviets to return to the two sets
24	00:03:24.490	00:03:31.010	of Geneva arms negotiations, Mr. Shultz said this. In the discussions
25	00:03:31.020	00:03:35.600	that I had with Mr. Gromyko we discussed many different
26	00:03:35.610	00:03:40.270	aspects of arms control, and insofar as the two talks
27	00:03:40.280	00:03:44.640	covering nuclear issues are concerned, I have nothing positive to
28	00:03:44.650	00:03:48.010	report to you. The Soviets have said they would not
29	00:03:48.020	00:03:50.960	return to the talks until the U.S. and NATO withdrew
30	00:03:50.970	00:03:54.740	the medium-range missiles they've begun deploying in Western Europe. Mr.
31	00:03:54.750	00:03:57.170	Shultz did say the Soviets may be getting ready to
32	00:03:57.180	00:04:01.180	reopen the East-West talks on limiting conventional forces in Europe.
