GUID,FRAME,SKIPPED,ANNOTATIONS
cpb-aacip-526-sb3ws8js1h,18180,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18195,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18210,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18225,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18240,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18255,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18270,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18285,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18300,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18315,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18330,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18345,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18360,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18375,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18390,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18405,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18420,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18435,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18450,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18465,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18480,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18495,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18510,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18525,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18540,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,18555,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,32970,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,32985,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,33000,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,33015,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,33030,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,33045,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,33060,True,not K-V
cpb-aacip-526-sb3ws8js1h,33075,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,33090,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,33105,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,33120,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,33135,True,DUPLICATE
cpb-aacip-526-sb3ws8js1h,35040,True,no text in image
