at,scene-type,skipped,role-fillers
00:47:46.866,credits,False,video/videotape=Bill Fairweather|audio=Francis X. Coakley
00:47:47.367,credits,False,video/videotape=Bill Fairweather|audio=Francis X. Coakley
00:47:47.867,credits,True,DUPLICATE
00:47:48.368,credits,False,video/videotape=Bill Fairweather|audio=Francis X. Coakley
00:47:48.868,credits,False,video/videotape=Bill Fairweather|audio=Francis X. Coakley|grip/gaffer=Derek Diggins
00:47:49.369,credits,True,DUPLICATE
00:47:49.869,credits,False,audio=Francis X. Coakley|grip/gaffer=Derek Diggins
00:47:50.370,credits,False,audio=Francis X. Coakley|grip/gaffer=Derek Diggins
00:47:50.870,credits,True,DUPLICATE
00:47:51.371,credits,False,audio=Francis X. Coakley|grip/gaffer=Derek Diggins
00:47:51.871,credits,False,audio=Francis X. Coakley|grip/gaffer=Derek Diggins|off-line editor=Andrew ?ablo?
00:47:52.372,credits,False,grip/gaffer=Derek Diggins|off-line editor=Andrew Jablon
00:47:52.872,credits,True,DUPLICATE
00:47:53.373,credits,False,grip/gaffer=Derek Diggins|off-line editor=Andrew Jablon
00:47:54.874,credits,False,grip/gaffer=Derek Diggins|off-line editor=Andrew Jablon|on-line editors=Marv Fenton
00:47:55.375,credits,False,off-line editor=Andrew Jablon|on-line editors=Mary Fenton|on-line editors=D?? ??????
00:47:55.875,credits,False,off-line editor=Andrew Jablon|on-line editors=Mary Fenton|on-line editors=Dan Lesiw
00:47:56.376,credits,False,off-line editor=Andrew Jablon|on-line editors=Mary Fenton|on-line editors=Dan Lesiw
00:47:56.876,credits,True,DUPLICATE
00:47:57.377,credits,True,DUPLICATE
00:47:57.877,credits,False,off-line editor=Andrew Jablon|on-line editors=Mary Fenton|on-line editors=Dan Lesiw
00:47:58.378,credits,False,on-line editors=Mary Fenton|on-line editors=Dan Lesiw|director of administration=Barbara Carey
00:47:58.878,credits,False,on-line editors=Mary Fenton|on-line editors=Dan Lesiw|director of administration=Barbara Carey
00:47:59.379,credits,True,DUPLICATE
00:47:59.879,credits,True,DUPLICATE
00:48:00.380,credits,True,DUPLICATE
00:48:00.880,credits,False,on-line editors=Mary Fenton|on-line editors=Dan Lesiw|director of administration=Barbara Carey
00:48:01.381,credits,False,director of administration=Barbara Carey|unit manager=Gail Martin
00:48:01.881,credits,False,director of administration=Barbara Carey|unit manager=Gail Martin
00:48:02.382,credits,True,DUPLICATE
00:48:02.882,credits,False,director of administration=Barbara Carey|unit manager=Gail Martin
00:48:03.383,credits,False,director of administration=Barbara Carey|unit manager=Gail Martin
00:48:15.895,credits,True,not K-V
00:48:16.396,credits,True,DUPLICATE
00:48:16.896,credits,True,DUPLICATE
00:48:17.397,credits,True,DUPLICATE
00:48:17.897,credits,True,DUPLICATE
00:48:18.398,credits,True,DUPLICATE
00:48:18.898,credits,True,DUPLICATE
00:48:19.399,credits,True,DUPLICATE
00:48:21.901,credits,True,DUPLICATE
00:48:22.402,credits,True,DUPLICATE
00:48:22.902,credits,True,DUPLICATE
00:48:23.403,credits,True,DUPLICATE
00:48:23.903,credits,True,DUPLICATE
00:48:24.404,credits,True,DUPLICATE
