at,scene-type,skipped,role-fillers
00:58:28.508,credits,False,Deputy Executive Producer=LINDA WINSLOW
00:58:29.009,credits,True,DUPLICATE
00:58:29.509,credits,True,DUPLICATE
00:58:30.010,credits,True,DUPLICATE
00:58:30.510,credits,True,DUPLICATE
00:58:31.011,credits,True,DUPLICATE
00:58:31.511,credits,False,Directed By=TONY MARSHALL
00:58:32.012,credits,True,DUPLICATE
00:58:32.512,credits,True,DUPLICATE
00:58:33.013,credits,True,DUPLICATE
00:58:33.513,credits,True,DUPLICATE
00:58:34.014,credits,True,DUPLICATE
00:58:34.514,credits,True,DUPLICATE
00:58:35.015,credits,False,LEWIS SILVERMAN=New York|DAN WERNER=Washington
00:58:35.515,credits,True,DUPLICATE
00:58:36.016,credits,True,DUPLICATE
00:58:36.516,credits,True,DUPLICATE
00:58:37.017,credits,True,DUPLICATE
00:58:37.517,credits,True,DUPLICATE
00:58:38.018,credits,True,DUPLICATE
00:58:38.518,credits,False,PATTI PARSON=Denver|GREGG RAMSHAW=Videotape
00:58:39.019,credits,True,DUPLICATE
00:58:39.519,credits,True,DUPLICATE
00:58:40.020,credits,True,DUPLICATE
00:58:40.520,credits,True,DUPLICATE
00:58:41.021,credits,True,DUPLICATE
00:58:41.521,credits,False,New York=RICHARD P. HUNT|Washington=ANNETTE MILLER|Denver=MARK STEVENS
00:58:42.022,credits,True,DUPLICATE
00:58:42.522,credits,True,DUPLICATE
00:58:43.023,credits,True,DUPLICATE
00:58:43.523,credits,True,DUPLICATE
00:58:44.024,credits,True,DUPLICATE
00:58:44.524,credits,True,DUPLICATE
00:58:45.025,credits,False,Reporters=JEFF SCOTT GOLDMAN|Reporters=LEE KOROMVOKIS
00:58:45.525,credits,True,DUPLICATE
00:58:46.026,credits,True,DUPLICATE
00:58:46.526,credits,True,DUPLICATE
00:58:47.027,credits,True,DUPLICATE
00:58:47.527,credits,True,DUPLICATE
00:58:48.028,credits,True,DUPLICATE
00:58:48.528,credits,False,"Produced by=Tim Smith|Produced by=Tony Van Witsen|Videotape Courtesy Of:=WCBS, NEW YORK|Videotape Courtesy Of:=KCTA, SEATTLE|Videotape Courtesy Of:=KQED, SAN FRANCISCO|Videotape Courtesy Of:=WFLI, INDIANA|Videotape Courtesy Of:=WFAA, DALLAS"
00:58:49.029,credits,True,DUPLICATE
00:58:49.529,credits,True,DUPLICATE
00:58:50.030,credits,True,DUPLICATE
