GUID,FRAME,SWT-TYPE,SKIPPED,ANNOTATIONS
cpb-aacip-398-5370s4sx,85920,credits,False,",video/videotape,Bill Fairweather
,audio,Francis X. Coakley"
cpb-aacip-398-5370s4sx,85935,credits,False,",video/videotape,Bill Fairweather
,audio,Francis X. Coakley"
cpb-aacip-398-5370s4sx,85950,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,85965,credits,False,",video/videotape,Bill Fairweather
,audio,Francis X. Coakley"
cpb-aacip-398-5370s4sx,85980,credits,False,",video/videotape,Bill Fairweather
,audio,Francis X. Coakley
,grip/gaffer,Derek Diggins"
cpb-aacip-398-5370s4sx,85995,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,86010,credits,False,",audio,Francis X. Coakley
,grip/gaffer,Derek Diggins"
cpb-aacip-398-5370s4sx,86025,credits,False,",audio,Francis X. Coakley
,grip/gaffer,Derek Diggins"
cpb-aacip-398-5370s4sx,86040,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,86055,credits,False,",audio,Francis X. Coakley
,grip/gaffer,Derek Diggins"
cpb-aacip-398-5370s4sx,86070,credits,False,",audio,Francis X. Coakley
,grip/gaffer,Derek Diggins
,off-line editor,Andrew ?ablo?"
cpb-aacip-398-5370s4sx,86085,credits,False,",grip/gaffer,Derek Diggins
,off-line editor,Andrew Jablon"
cpb-aacip-398-5370s4sx,86100,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,86115,credits,False,",grip/gaffer,Derek Diggins
,off-line editor,Andrew Jablon"
cpb-aacip-398-5370s4sx,86160,credits,False,",grip/gaffer,Derek Diggins
,off-line editor,Andrew Jablon
,on-line editors,Marv Fenton"
cpb-aacip-398-5370s4sx,86175,credits,False,",off-line editor,Andrew Jablon
,on-line editors,Mary Fenton
,on-line editors,D?? ??????"
cpb-aacip-398-5370s4sx,86190,credits,False,",off-line editor,Andrew Jablon
,on-line editors,Mary Fenton
,on-line editors,Dan Lesiw"
cpb-aacip-398-5370s4sx,86205,credits,False,",off-line editor,Andrew Jablon
,on-line editors,Mary Fenton
,on-line editors,Dan Lesiw"
cpb-aacip-398-5370s4sx,86220,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,86235,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,86250,credits,False,",off-line editor,Andrew Jablon
,on-line editors,Mary Fenton
,on-line editors,Dan Lesiw"
cpb-aacip-398-5370s4sx,86265,credits,False,",on-line editors,Mary Fenton
,on-line editors,Dan Lesiw
,director of administration,Barbara Carey"
cpb-aacip-398-5370s4sx,86280,credits,False,",on-line editors,Mary Fenton
,on-line editors,Dan Lesiw
,director of administration,Barbara Carey"
cpb-aacip-398-5370s4sx,86295,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,86310,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,86325,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,86340,credits,False,",on-line editors,Mary Fenton
,on-line editors,Dan Lesiw
,director of administration,Barbara Carey"
cpb-aacip-398-5370s4sx,86355,credits,False,",director of administration,Barbara Carey
,unit manager,Gail Martin"
cpb-aacip-398-5370s4sx,86370,credits,False,",director of administration,Barbara Carey
,unit manager,Gail Martin"
cpb-aacip-398-5370s4sx,86385,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,86400,credits,False,",director of administration,Barbara Carey
,unit manager,Gail Martin"
cpb-aacip-398-5370s4sx,86415,credits,False,",director of administration,Barbara Carey
,unit manager,Gail Martin"
cpb-aacip-398-5370s4sx,86790,credits,True,not K-V
cpb-aacip-398-5370s4sx,86805,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,86820,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,86835,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,86850,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,86865,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,86880,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,86895,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,86970,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,86985,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,87000,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,87015,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,87030,credits,True,DUPLICATE
cpb-aacip-398-5370s4sx,87045,credits,True,DUPLICATE
