GUID,FRAME,SWT-TYPE,SKIPPED,ANNOTATIONS
cpb-aacip-398-00ns1wds,150,credits,True,no text in image
cpb-aacip-398-00ns1wds,165,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,180,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,195,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,210,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,225,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,240,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,255,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,270,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,285,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,2910,credits,True,no text in image
cpb-aacip-398-00ns1wds,2925,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,2940,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,2955,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,2970,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,2985,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,300,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3000,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3015,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3030,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3045,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3060,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3075,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3090,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3105,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3120,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3135,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,315,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3150,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3165,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3180,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3195,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3420,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3435,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3450,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3465,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3480,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3495,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3510,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3525,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3540,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3555,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3720,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3735,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3750,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3765,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3780,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3795,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3810,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3825,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3840,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3855,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3870,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,3885,credits,True,DUPLICATE
cpb-aacip-398-00ns1wds,39060,credits,True,DUPLICATE
