GUID,FRAME,SKIPPED,ANNOTATIONS
cpb-aacip-151-nc5s75735d,25440,False,
cpb-aacip-151-nc5s75735d,25455,True,DUPLICATE
cpb-aacip-151-nc5s75735d,25470,True,DUPLICATE
cpb-aacip-151-nc5s75735d,25485,True,DUPLICATE
cpb-aacip-151-nc5s75735d,25500,True,DUPLICATE
cpb-aacip-151-nc5s75735d,25515,True,DUPLICATE
cpb-aacip-151-nc5s75735d,25530,True,DUPLICATE
cpb-aacip-151-nc5s75735d,25545,True,DUPLICATE
cpb-aacip-151-nc5s75735d,25590,True,DUPLICATE
cpb-aacip-151-nc5s75735d,25605,True,DUPLICATE
cpb-aacip-151-nc5s75735d,25620,True,DUPLICATE
cpb-aacip-151-nc5s75735d,25635,True,DUPLICATE
cpb-aacip-151-nc5s75735d,25650,True,DUPLICATE
cpb-aacip-151-nc5s75735d,25665,True,DUPLICATE
