at,scene-type,skipped,role-fillers
00:56:23.383,credits,True,DUPLICATE
00:56:23.883,credits,True,DUPLICATE
00:56:24.384,credits,True,DUPLICATE
00:56:24.884,credits,True,DUPLICATE
00:56:25.385,credits,True,DUPLICATE
00:56:25.885,credits,True,DUPLICATE
00:57:38.458,credits,False,Deputy Executive Producer=LINDA WINSLOW
00:57:38.958,credits,True,DUPLICATE
00:57:39.459,credits,False,Directed by=STEVE HOWARD
00:57:39.959,credits,True,DUPLICATE
00:57:40.460,credits,True,DUPLICATE
00:57:40.960,credits,True,DUPLICATE
00:57:41.461,credits,True,DUPLICATE
00:57:41.961,credits,False,Managing Producer-Denver=PATTI PARSON
00:57:42.462,credits,True,DUPLICATE
00:57:42.962,credits,True,DUPLICATE
00:57:43.463,credits,True,DUPLICATE
00:57:43.963,credits,False,Senior Producer-News=RUSS CLARKSON|Associate Producers=SARAH BOEHNERT CLUNE|Assignment Editor=GEORGETTE KNUCKLES
00:57:44.464,credits,True,DUPLICATE
00:57:44.964,credits,True,DUPLICATE
00:58:00.480,credits,False,Production Coordinator=JUDY ARBOGAST|Production Associate/Office Coordinator=DEBRA SLIVKA
00:58:00.980,credits,True,DUPLICATE
00:58:01.481,credits,True,DUPLICATE
00:58:01.981,credits,False,Production Assistants=CARL BALLARD|Production Assistants=EMILY BIRR|Production Assistants=TERENCE BURLIJ|Production Assistants=LETE CHILDS|Production Assistants=ALEXIS COX|Production Assistants=NICOLE CUKINGNAN
00:58:02.482,credits,True,DUPLICATE
00:58:02.982,credits,True,DUPLICATE
00:58:03.483,credits,False,Production Assistants=ANTOINETTE DEAN|Production Assistants=MATT ENGELBERG|Production Assistants=MONIQUE L. HAYES|Production Assistants=VALERIE MCCABE|Production Assistants=CAROLINE NATHAN|Production Assistants=KRISTINA TABOR
00:58:03.983,credits,True,DUPLICATE
00:58:04.484,credits,True,DUPLICATE
00:58:04.984,credits,False,Editorial Assistants=DAVID WALSH|Editorial Assistants=TIFFANY MULLON|Information Systems Manager=TIM PERRY|Computer Support Specialist=TONY LUCAS
00:58:05.485,credits,True,DUPLICATE
00:58:05.985,credits,True,DUPLICATE
00:58:06.486,credits,True,DUPLICATE
00:58:06.986,credits,True,DUPLICATE
00:58:07.487,credits,False,Art Director=CALVIN SOLOMON|Senior Designer=DAWN ANDRES BLACK|Graphic Designer/Chyron Operator=MICHAEL HARRY|Graphic Designer=EDDIE HASSENFRATZ|Make-Up=MARGARET G. HUBBARD
00:58:07.987,credits,True,DUPLICATE
00:58:08.488,credits,True,DUPLICATE
00:58:08.988,credits,True,DUPLICATE
00:58:13.493,credits,False,Desk Assistants=JANINE MACK|Desk Assistants=DAVID PETERS|Desk Assistants=JENNIFER SCHONBERG|Desk Assistants=ANNA SHOUP|Desk Assistants=ESPRIT SMITH|Desk Assistants=JAMES YOLLES
00:58:13.993,credits,True,DUPLICATE
00:58:14.494,credits,False,Associate Director=MARY LAWRENCE|Technical Director=GREGORY L. KING
00:58:14.994,credits,True,DUPLICATE
00:58:15.495,credits,True,DUPLICATE
00:58:15.995,credits,True,DUPLICATE
00:58:16.496,credits,True,DUPLICATE
00:58:16.996,credits,False,Executive Producer=LESTER M. CRYSTAL
00:58:17.497,credits,True,DUPLICATE
00:58:17.997,credits,True,DUPLICATE
00:58:18.498,credits,True,DUPLICATE
00:58:18.998,credits,True,DUPLICATE
00:58:19.499,credits,True,DUPLICATE
00:58:20.000,credits,False,"A Coproduction of:=MACNEIL / LEHRER PRODUCTIONS & WETA, Arlington, VA in association with Thirteen / WNET New York"
00:58:20.500,credits,True,DUPLICATE
